#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1321.0,+62/-64,0.293,34.84,14.81,16.865,3031.5,21.442,✔️,35.29,True,GPU
31,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1312.0,+47/-56,0.189,35.62,22.42,17.42,427.39,0.404,✔️,0.0,False,CPU
32,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [35.29% IMPUTED],1310.0,+61/-64,0.279,35.83,15.77,17.373,87.65,2.505,✔️,35.29,True,GPU
33,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1308.0,+60/-52,0.248,35.98,16.1,17.411,47.65,43.738,✔️,0.0,False,GPU
34,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [29.41% IMPUTED],1305.0,+50/-56,0.226,36.3,19.59,17.287,6.63,1.48,✔️,29.41,True,GPU
35,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1290.0,+41/-57,0.16,37.67,24.34,17.757,427.39,0.034,✔️,0.0,False,CPU
36,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1285.0,+44/-37,0.157,38.16,25.5,17.671,846.89,0.13,✔️,0.0,False,GPU
37,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1280.0,+45/-41,0.163,38.56,25.12,17.208,7.49,0.244,✔️,0.0,False,GPU
38,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1280.0,+35/-31,0.118,38.62,26.8,17.346,12685.08,62.13,✔️,0.0,False,GPU
39,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1268.0,+47/-44,0.13,39.7,29.11,17.365,2875.52,1.952,✔️,0.0,False,CPU
40,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527) [25.49% IMPUTED],1268.0,+58/-48,0.182,39.75,23.55,18.719,205.88,1.343,➖,25.49,True,GPU
41,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1267.0,+58/-57,0.219,39.8,18.1,18.345,3031.5,0.462,✔️,35.29,True,GPU
42,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1266.0,+52/-51,0.182,39.87,16.67,18.533,14.11,2.075,➖,0.0,False,GPU
43,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1251.0,+37/-38,0.116,41.27,29.84,18.88,1711.25,0.141,✔️,0.0,False,CPU
44,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1249.0,+43/-53,0.131,41.44,26.73,18.859,1.99,0.033,✔️,0.0,False,CPU
45,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [35.29% IMPUTED],1240.0,+62/-61,0.198,42.28,20.89,19.107,3.36,0.313,✔️,35.29,True,GPU
46,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1239.0,+38/-36,0.095,42.43,26.86,19.395,14.87,0.307,✔️,0.0,False,GPU
47,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1218.0,+44/-39,0.085,44.34,32.43,19.516,1711.25,0.015,✔️,0.0,False,CPU
48,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1218.0,+34/-38,0.072,44.38,33.47,18.765,10.06,1.689,✔️,0.0,False,GPU
49,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1207.0,+37/-38,0.063,45.37,35.79,19.001,1.94,0.123,✔️,0.0,False,CPU
50,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1204.0,+44/-43,0.083,45.66,31.72,19.982,263.04,0.766,✔️,0.0,False,CPU
