,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),EXAONE-Tabular (default),RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),LightGBM (T+E),CatBoost (T+E),iLTM (T+E),ModernNCA (T+E),LimiX (default),XGBoost (T+E),TabSwift (default),TabPFNv2 (T+E),xRFM (T+E),Mitra (default),TabICL (default),ChimeraBoost (T+E),BetaTabPFN (default),SAP-RPT-OSS (default),TorchMLP (T+E),EBM (T+E),ExtraTrees (T+E),FastaiMLP (T+E),RandomForest (T+E),Nori-30M (default),Nori (default),TabSTAR (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
LightGBM (T+E),0.092374735,0.18583877,0.20784314,0.23311546,0.23093684,0.30588236,0.3167756,0.41263622,0.42679742,0.42810455,,0.51437914,0.5253813,0.5034858,0.47668847,0.7058825,0.58387804,0.5286492,0.59128547,0.5568627,0.61045754,0.6857298,0.65599126,0.6505447,0.68583876,0.75370383,0.7979304,0.76688445,0.8446623,0.74161214,0.7437908,0.83986926,0.8649237,0.93137264,0.9017429,0.9183006,0.93050116
CatBoost (T+E),0.0969499,0.18278866,0.19694988,0.2302832,0.23289761,0.306427,0.32200435,0.4130719,0.38736382,0.41220048,0.4856209,,0.532244,0.533769,0.48104575,0.6332244,0.57930285,0.5239652,0.59629625,0.54313725,0.6111111,0.66862744,0.66122,0.675817,0.6973856,0.7294118,0.796732,0.76274496,0.84923756,0.7289761,0.72352946,0.8387799,0.835512,0.90740734,0.88169926,0.91437906,0.9172113
iLTM (T+E),0.09847494,0.15947711,0.1864924,0.2178649,0.23888883,0.31067538,0.27886707,0.36274514,0.367756,0.41557735,0.47461873,0.46775594,,0.48779953,0.4576253,0.5728758,0.54596955,0.5169935,0.5859478,0.5332244,0.58398694,0.59999996,0.6416122,0.6542484,0.7239652,0.6869281,0.78311557,0.8023966,0.8392158,0.72723305,0.74509805,0.8092593,0.8478214,0.8764707,0.91023964,0.9041394,0.8884533
ModernNCA (T+E),0.08867102,0.14553379,0.17886713,0.21023968,0.25446624,0.2908497,0.35795215,0.4119826,0.41655773,0.43137252,0.49651423,0.466231,0.5122005,,0.5206972,0.574292,0.5703704,0.48453158,0.5699346,0.5211329,0.5793028,0.5884531,0.6400872,0.6220044,0.65925926,0.672767,0.7470587,0.7244008,0.7753813,0.732244,0.7429194,0.76949894,0.79825705,0.8492375,0.8461873,0.8700436,0.83769053
LimiX (default),0.097276695,0.21111111,0.22570808,0.22995642,0.23943357,0.27973855,0.3753812,0.40773416,0.3631808,0.4734205,0.52331156,0.5189543,0.5423747,0.47930282,,0.55468404,0.50675386,0.53485847,0.5180828,0.55283237,0.57407415,0.62178653,0.58692807,0.6102397,0.6187363,0.67472774,0.6623093,0.69117653,0.69564265,0.7050109,0.7004357,0.7529412,0.7689543,0.74422663,0.77647066,0.8154685,0.86710244
XGBoost (T+E),0.074291945,0.15239652,0.16732025,0.21394335,0.18605666,0.28649238,0.23267974,0.3861656,0.36339873,0.35599133,0.29411763,0.3667756,0.4271242,0.42570803,0.44531593,,0.5084967,0.4859477,0.54912853,0.5120915,0.5610022,0.5625272,0.62919384,0.6069717,0.6589324,0.68344223,0.75533766,0.7252723,0.8282136,0.7159042,0.7281047,0.81851864,0.8340958,0.8570806,0.8850763,0.89825696,0.9141612
TabSwift (default),0.100435734,0.0932462,0.17734204,0.15555556,0.19542484,0.28801742,0.36514163,0.33322442,0.27788672,0.3962963,0.41612196,0.42069712,0.45403045,0.4296296,0.4932462,0.49150324,,0.4997821,0.51677555,0.517647,0.48714596,0.514597,0.56296295,0.61089325,0.6148148,0.60348576,0.6795208,0.7614379,0.69564265,0.69738567,0.7117647,0.812854,0.8830065,0.83834434,0.9254902,0.8732026,0.85076255
TabPFNv2 (T+E),0.08235294,0.1832244,0.24553378,0.23246187,0.20174289,0.28300655,0.41296297,0.37734205,0.3993464,0.46732032,0.47135076,0.47603488,0.48300654,0.5154684,0.4651416,0.5140523,0.5002179,,0.5442266,0.532244,0.50566447,0.56383437,0.6240741,0.55915034,0.55969495,0.64542496,0.57941175,0.6757081,0.60893244,0.6084967,0.6233115,0.7248365,0.72352946,0.7102397,0.77320266,0.80479306,0.84052294
xRFM (T+E),0.08061002,0.14400873,0.16427013,0.2063181,0.18888889,0.30174294,0.21263619,0.30991286,0.33572984,0.39193892,0.4087146,0.4037037,0.41405225,0.43006533,0.48191726,0.4508715,0.48322442,0.4557734,,0.5172113,0.5089325,0.5030501,0.5899782,0.55795205,0.587146,0.61633986,0.7108933,0.69248366,0.7629629,0.71939003,0.7352943,0.75925916,0.8424836,0.8089325,0.9028322,0.922549,0.909586
Mitra (default),0.07668845,0.15751635,0.18801741,0.20163395,0.18932462,0.28474945,0.34488016,0.35511982,0.37494552,0.42832243,0.44313726,0.45686272,0.46677557,0.47886705,0.44716766,0.48790848,0.48235294,0.46775597,0.48278865,,0.52657956,0.5555556,0.6102396,0.5572985,0.5956426,0.6607843,0.5694989,0.6891068,0.5773421,0.608061,0.6150327,0.7498911,0.72690636,0.701525,0.78997827,0.7891068,0.851634
TabICL (default),0.04379085,0.11448803,0.1782135,0.14520699,0.21427014,0.20729847,0.33747277,0.41296297,0.36993462,0.3714597,0.3895425,0.3888889,0.4160131,0.42069715,0.4259259,0.43899783,0.51285404,0.4943355,0.49106756,0.47342047,,0.49389976,0.55315906,0.5618737,0.562963,0.5938997,0.6320261,0.65708065,0.60588235,0.7115468,0.70871466,0.77952075,0.7755992,0.7525054,0.79477125,0.8788672,0.8681917
ChimeraBoost (T+E),0.07886711,0.13398692,0.13856208,0.20610018,0.193573,0.27647057,0.29901958,0.3466231,0.33115464,0.32679737,0.31427017,0.3313726,0.4,0.41154686,0.3782135,0.43747276,0.48540303,0.4361656,0.49694988,0.44444442,0.5061002,,0.54956424,0.5867102,0.58976036,0.64313734,0.66339874,0.6562092,0.72745097,0.6496732,0.651634,0.8013072,0.7849675,0.814597,0.8588236,0.83289754,0.8795207
BetaTabPFN (default),0.07636165,0.13322441,0.15555556,0.15664488,0.15751635,0.19651414,0.25751632,0.35054466,0.33507624,0.2527233,0.3440087,0.33877993,0.35838786,0.35991284,0.41307187,0.37080613,0.43703705,0.37592593,0.41002175,0.38976038,0.44684097,0.45043576,,0.5206972,0.516122,0.5755992,0.55468416,0.6315904,0.54749453,0.63551193,0.63267976,0.8296297,0.7148148,0.68932456,0.7928105,0.87211335,0.9041394
SAP-RPT-OSS (default),0.09063181,0.15119825,0.15228757,0.18409587,0.1761438,0.24074072,0.2559913,0.3015251,0.32004356,0.30435732,0.34945533,0.32418305,0.34575164,0.3779956,0.3897603,0.3930283,0.38910675,0.4408497,0.44204798,0.44270152,0.43812636,0.41328976,0.4793028,,0.5030501,0.5071896,0.5803922,0.6381264,0.59901965,0.6237472,0.63943356,0.6921569,0.7000001,0.7361656,0.8019609,0.8058824,0.87450975
TorchMLP (T+E),0.053594775,0.09041394,0.10588236,0.15250546,0.122657955,0.22962964,0.1956427,0.26938996,0.25381267,0.2577342,0.31416118,0.3026144,0.27603483,0.34074074,0.38126364,0.34106752,0.38518515,0.44030502,0.412854,0.40435734,0.437037,0.41023964,0.48387802,0.4969499,,0.5,0.66056645,0.68213516,0.70065355,0.6359477,0.6381264,0.7874729,0.75076246,0.7250545,0.8411765,0.8413943,0.8798476
EBM (T+E),0.06666666,0.12701525,0.11198258,0.17233114,0.13594772,0.18583876,0.19782133,0.2961873,0.31830066,0.23703705,0.2462963,0.27058825,0.31307185,0.3272331,0.32527232,0.31655777,0.3965142,0.3545751,0.38366014,0.33921567,0.4061003,0.35686275,0.4244008,0.49281046,0.5,,0.6171024,0.57592595,0.63159037,0.63202614,0.6479303,0.7851852,0.70174295,0.7061002,0.7854031,0.8313727,0.904793
ExtraTrees (T+E),0.049237475,0.057516348,0.07342048,0.10795209,0.11721134,0.26797387,0.14662309,0.1888889,0.17222221,0.22418296,0.20206973,0.20326798,0.21688454,0.2529412,0.33769068,0.24466233,0.3204793,0.42058823,0.2891068,0.43050107,0.36797386,0.3366013,0.4453159,0.41960785,0.33943355,0.3828976,,0.49389976,0.6332244,0.65860564,0.6583877,0.6583878,0.7496731,0.64444447,0.8183007,0.88583875,0.7785402
FastaiMLP (T+E),0.077342056,0.0953159,0.113725506,0.13028322,0.12363834,0.1603486,0.102723315,0.2174292,0.20000002,0.18366013,0.23311546,0.23725493,0.19760346,0.2755991,0.3088235,0.27472764,0.23856208,0.32429194,0.30751634,0.3108932,0.34291932,0.34379083,0.3684095,0.3618736,0.31786492,0.42407405,0.50610024,,0.56045747,0.5832244,0.58910674,0.6694989,0.6039214,0.6150327,0.74466234,0.7636166,0.86056644
RandomForest (T+E),0.039215688,0.06318083,0.0671024,0.100871466,0.091067545,0.27625275,0.10501088,0.15468411,0.15403052,0.21285401,0.15533769,0.15076254,0.1607843,0.22461875,0.30435732,0.1717865,0.30435726,0.3910676,0.23703706,0.42265794,0.39411765,0.272549,0.45250544,0.40098038,0.2993464,0.36840957,0.3667756,0.4395425,,0.67124176,0.6684095,0.654902,0.72418296,0.6137255,0.7895425,0.8453159,0.76753813
Nori-30M (default),0.08474945,0.11459695,0.17080612,0.15620914,0.15446623,0.26100215,0.2061002,0.1607843,0.2054466,0.29237473,0.2583878,0.27102393,0.2727669,0.267756,0.2949891,0.28409582,0.30261436,0.39150324,0.28061002,0.39193904,0.2884532,0.3503268,0.36448807,0.3762527,0.36405227,0.3679738,0.3413944,0.41677558,0.32875815,,0.5577342,0.49193898,0.5257081,0.5642702,0.6102397,0.63638353,0.63551193
Nori (default),0.04880175,0.083877996,0.13943355,0.1459695,0.12091503,0.26383442,0.16819172,0.13747276,0.17167757,0.26535946,0.25620914,0.27647057,0.25490198,0.2570806,0.29956424,0.27189538,0.28823528,0.37668845,0.2647059,0.38496736,0.29128543,0.34836602,0.3673203,0.36056647,0.3618736,0.3520697,0.3416122,0.4108932,0.33159038,0.44226584,,0.48997822,0.5285403,0.54684097,0.6130719,0.63572985,0.63551193
TabSTAR (T+E),0.099128544,0.09716776,0.10784314,0.11917212,0.11372549,0.1422658,0.14488018,0.19912857,0.18213508,0.14705883,0.16013072,0.16122004,0.19074073,0.23050106,0.24705885,0.18148148,0.18714596,0.27516338,0.24074076,0.25010893,0.22047931,0.19869278,0.17037034,0.30784312,0.21252722,0.2148148,0.34161216,0.33050108,0.34509805,0.50806105,0.5100218,,0.44095862,0.5320262,0.5577342,0.6283224,0.67755985
OrionMSP (default),0.0372549,0.032461878,0.057080615,0.062962964,0.05010894,0.1583878,0.10479303,0.085838795,0.08867103,0.13464053,0.13507625,0.16448803,0.15217866,0.20174292,0.23104572,0.16590416,0.116993465,0.2764706,0.15751633,0.27309367,0.22440088,0.21503265,0.28518516,0.3,0.24923748,0.2982571,0.2503268,0.39607844,0.275817,0.47429192,0.47145966,0.5590414,,0.49564272,0.6614379,0.66688454,0.72265804
PerpetualBooster (T+E),0.010239651,0.052505445,0.037254903,0.06993464,0.032026142,0.1997821,0.05141612,0.088235304,0.11023965,0.108061016,0.068627454,0.092592604,0.12352943,0.1507625,0.25577345,0.1429194,0.16165577,0.28976035,0.19106753,0.29847494,0.24749455,0.18540302,0.31067535,0.26383442,0.27494553,0.29389977,0.35555556,0.38496733,0.38627446,0.43572983,0.45315903,0.46797383,0.5043572,,0.60065365,0.61612195,0.68562084
TabFlex (default),0.03398693,0.028104577,0.038344227,0.059912853,0.04640523,0.16296297,0.0832244,0.07189543,0.05991286,0.08496732,0.09825707,0.118300654,0.08976035,0.15381262,0.2235294,0.11492374,0.0745098,0.22679737,0.09716775,0.21002178,0.20522875,0.14117648,0.20718956,0.1980392,0.15882353,0.21459696,0.18169934,0.2553377,0.21045752,0.3897603,0.38692808,0.44226575,0.33856213,0.3993464,,0.5808279,0.60239655
KNN (T+E),0.039215688,0.0503268,0.04575164,0.047058824,0.067756,0.060348585,0.07037037,0.0791939,0.07799564,0.09324619,0.08169934,0.085620925,0.09586056,0.12995644,0.18453158,0.10174292,0.1267974,0.19520696,0.07745098,0.21089321,0.12113291,0.16710238,0.12788671,0.19411764,0.1586057,0.16862746,0.11416123,0.23638344,0.15468408,0.36361656,0.36427018,0.37167758,0.33311546,0.38387802,0.41917214,,0.6224401
Linear (T+E),0.025272332,0.0466231,0.047494557,0.04357299,0.06535949,0.032026146,0.056427017,0.14139433,0.12897603,0.06230937,0.06949892,0.082788676,0.111546844,0.16230936,0.13289759,0.08583879,0.14923747,0.1594771,0.09041394,0.14836602,0.13180828,0.120479316,0.09586056,0.1254902,0.12015251,0.09520697,0.22145969,0.13943355,0.23246187,0.36448804,0.36448804,0.32244012,0.27734205,0.31437913,0.3976035,0.37755993,
