,model,season,region_id,source,term,value
1433,MPI-ESM1-2-LR,DJF,9,conversion,uncalibrated change,0.013682108297268385
1434,MPI-ESM1-2-LR,DJF,9,dynamical,bias,0.011591659989286393
1435,MPI-ESM1-2-LR,DJF,9,dynamical,change,-0.004435477561086393
1436,MPI-ESM1-2-LR,DJF,9,dynamical,uncalibrated change,-0.0019076262993111628
1437,MPI-ESM1-2-LR,DJF,9,nonlinear,bias,-0.005947622967579061
1438,MPI-ESM1-2-LR,DJF,9,nonlinear,change,-0.0004880153731350132
1439,MPI-ESM1-2-LR,DJF,9,nonlinear,uncalibrated change,-7.801757484718393e-05
1440,MPI-ESM1-2-LR,DJF,10,conversion,bias,0.031300157214707545
1441,MPI-ESM1-2-LR,DJF,10,conversion,change,0.019138982454194865
1442,MPI-ESM1-2-LR,DJF,10,conversion,uncalibrated change,0.03488037814187802
1443,MPI-ESM1-2-LR,DJF,10,dynamical,bias,0.008939409653977238
1444,MPI-ESM1-2-LR,DJF,10,dynamical,change,-0.0023702237840474657
1445,MPI-ESM1-2-LR,DJF,10,dynamical,uncalibrated change,-0.002972705510070452
1446,MPI-ESM1-2-LR,DJF,10,nonlinear,bias,0.0029196711223825676
1447,MPI-ESM1-2-LR,DJF,10,nonlinear,change,-0.0007421983955542978
1448,MPI-ESM1-2-LR,DJF,10,nonlinear,uncalibrated change,-0.0009220731812524061
1449,MPI-ESM1-2-LR,DJF,11,conversion,bias,-0.043194989285648674
1450,MPI-ESM1-2-LR,DJF,11,conversion,change,0.025938138545894576
1451,MPI-ESM1-2-LR,DJF,11,conversion,uncalibrated change,0.006183444957426128
1452,MPI-ESM1-2-LR,DJF,11,dynamical,bias,0.020409418637982023
1453,MPI-ESM1-2-LR,DJF,11,dynamical,change,-0.007493130332462863
1454,MPI-ESM1-2-LR,DJF,11,dynamical,uncalibrated change,-0.0010405871271308256
1455,MPI-ESM1-2-LR,DJF,11,nonlinear,bias,-0.017326673320196675
1456,MPI-ESM1-2-LR,DJF,11,nonlinear,change,-0.003933093902151867
1457,MPI-ESM1-2-LR,DJF,11,nonlinear,uncalibrated change,-0.0006448833538294388
1458,MPI-ESM1-2-LR,DJF,12,conversion,bias,-0.032448835212783224
1459,MPI-ESM1-2-LR,DJF,12,conversion,change,0.039544306604681015
1460,MPI-ESM1-2-LR,DJF,12,conversion,uncalibrated change,0.018823176953798555
1461,MPI-ESM1-2-LR,DJF,12,dynamical,bias,0.023512806573428566
1462,MPI-ESM1-2-LR,DJF,12,dynamical,change,-0.0033979163028702805
1463,MPI-ESM1-2-LR,DJF,12,dynamical,uncalibrated change,-0.0009722448878770827
1464,MPI-ESM1-2-LR,DJF,12,nonlinear,bias,-0.016852739151053814
1465,MPI-ESM1-2-LR,DJF,12,nonlinear,change,-0.002896951638449704
1466,MPI-ESM1-2-LR,DJF,12,nonlinear,uncalibrated change,-0.0008139190783088127
1467,MPI-ESM1-2-LR,DJF,13,conversion,bias,-0.04142675506778746
1468,MPI-ESM1-2-LR,DJF,13,conversion,change,0.042024109738175955
1469,MPI-ESM1-2-LR,DJF,13,conversion,uncalibrated change,0.0063272816105134945
1470,MPI-ESM1-2-LR,DJF,13,dynamical,bias,-0.010281579134030092
1471,MPI-ESM1-2-LR,DJF,13,dynamical,change,0.004293716150338471
1472,MPI-ESM1-2-LR,DJF,13,dynamical,uncalibrated change,0.0007174589665155586
1473,MPI-ESM1-2-LR,DJF,13,nonlinear,bias,0.008392840106996143
1474,MPI-ESM1-2-LR,DJF,13,nonlinear,change,0.003588209620661921
1475,MPI-ESM1-2-LR,DJF,13,nonlinear,uncalibrated change,0.0006623594670529447
1476,MPI-ESM1-2-LR,DJF,14,conversion,bias,-0.04447047192121165
1477,MPI-ESM1-2-LR,DJF,14,conversion,change,0.02594426067161032
1478,MPI-ESM1-2-LR,DJF,14,conversion,uncalibrated change,0.0029378966856936327
1479,MPI-ESM1-2-LR,DJF,14,dynamical,bias,-0.017025121784430074
1480,MPI-ESM1-2-LR,DJF,14,dynamical,change,0.0011665313451997106
1481,MPI-ESM1-2-LR,DJF,14,dynamical,uncalibrated change,0.00013349817013525058
1482,MPI-ESM1-2-LR,DJF,14,nonlinear,bias,0.015074509548708516
1483,MPI-ESM1-2-LR,DJF,14,nonlinear,change,0.0006481199026588754
1484,MPI-ESM1-2-LR,DJF,14,nonlinear,uncalibrated change,0.00012672415753295347
1485,MPI-ESM1-2-LR,DJF,15,conversion,bias,0.0
1486,MPI-ESM1-2-LR,DJF,15,conversion,change,0.0
1487,MPI-ESM1-2-LR,DJF,15,conversion,uncalibrated change,0.0
1488,MPI-ESM1-2-LR,DJF,15,dynamical,bias,0.0
