#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),2049.0,+245/-153,0.955,4.92,2.09,1.035,71.97,4.382,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2014.0,+267/-154,0.907,5.61,3.44,1.569,26.03,2.375,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1976.0,+239/-121,0.889,6.48,3.67,1.923,21.38,2.314,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1950.0,+171/-96,0.891,7.14,3.17,2.768,49.29,4.094,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1850.0,+272/-119,0.781,10.16,4.16,2.531,12.09,2.053,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1850.0,+210/-99,0.797,10.16,5.24,3.63,7.56,0.618,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1780.0,+188/-100,0.69,12.81,7.2,3.241,14.09,0.439,✔️,0.0,False,GPU,model,
7,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1766.0,+184/-97,0.647,13.42,6.82,4.32,322.87,5.571,✔️,0.0,False,GPU,system,
8,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1763.0,+174/-97,0.692,13.52,9.46,4.035,12.37,1.566,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1720.0,+141/-63,0.636,15.44,11.07,4.459,9.2,0.585,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1701.0,+152/-73,0.575,16.36,8.38,5.223,4823.37,140.737,✔️,0.0,False,GPU,model,
