#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
58,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1152.0,+49/-60,0.017,51.23,40.15,23.553,169.75,0.603,✔️,0.0,False,CPU,model,
59,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1145.0,+78/-81,0.083,51.78,35.49,24.713,14.46,2.705,➖,0.0,False,GPU,model,
60,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1120.0,+40/-62,0.004,53.68,42.62,24.203,169.75,0.059,✔️,0.0,False,CPU,model,
61,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1101.0,+56/-78,0.029,55.06,43.65,26.038,117.85,0.773,✔️,0.0,False,CPU,model,
62,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1097.0,+56/-50,0.008,55.31,40.98,24.558,4.95,0.091,✔️,0.0,False,CPU,model,
63,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),1071.0,+95/-117,0.1,57.2,20.62,29.647,391.11,4.052,✔️,0.0,False,GPU,model,
64,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1067.0,+62/-89,0.008,57.45,37.44,25.869,2.56,0.267,✔️,0.0,False,CPU,model,
65,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1067.0,+59/-77,0.013,57.45,45.44,27.403,117.85,0.29,✔️,0.0,False,CPU,model,
66,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1054.0,+89/-110,0.045,58.3,38.02,30.315,162.68,0.405,✔️,0.0,False,CPU,model,
67,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),1048.0,+105/-109,0.055,58.71,37.26,29.582,0.85,0.129,➖,0.0,False,GPU,model,
68,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1029.0,+90/-117,0.03,59.92,39.34,30.929,162.68,0.054,✔️,0.0,False,CPU,model,
69,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1026.0,+59/-102,0.01,60.12,45.5,27.767,139.88,3.917,✔️,0.0,False,CPU,model,
70,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1004.0,+76/-99,0.009,61.49,54.38,27.876,1.09,0.191,✔️,0.0,False,CPU,model,
71,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+61/-81,0.003,61.7,55.43,28.209,0.25,0.029,✔️,0.0,False,CPU,model,
72,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),989.0,+73/-101,0.01,62.34,55.1,31.011,2.8,0.564,✔️,0.0,False,GPU,model,
73,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),972.0,+87/-114,0.022,63.3,43.81,32.756,0.84,0.094,✔️,0.0,False,CPU,model,
74,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),950.0,+55/-79,0.0,64.48,53.3,31.412,15.8,0.029,✔️,0.0,False,CPU,model,
75,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),925.0,+70/-131,0.0,65.69,48.86,32.508,139.88,0.193,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),630.0,+96/-169,0.0,74.54,68.05,46.297,0.15,0.023,✔️,0.0,False,CPU,model,
