,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),ChimeraBoost (T+E),RealMLP (T+E),ModernNCA (T+E),CatBoost (T+E),LightGBM (T+E),iLTM (T+E),XGBoost (T+E),TabM (T+E),TabDPT (T+E),TabDPT-Turbo (default),xRFM (T+E),TorchMLP (T+E),TabICL (default),TabSwift (default),EBM (T+E),LimiX (default),RandomForest (T+E),BetaTabPFN (default),ExtraTrees (T+E),Nori-30M (default),SAP-RPT-OSS (default),Nori (default),FastaiMLP (T+E),PerpetualBooster (T+E),OrionMSP (default),TabSTAR (T+E),KNN (T+E),Linear (T+E),TabFlex (default)
TorchMLP (T+E),0.0074074073,0.022222223,0.11111112,0.1925926,0.10370371,0.19259259,0.22222224,0.16296297,0.17777778,0.20740741,0.24444444,0.118518524,0.2,0.33333334,0.28148147,0.23703705,0.4,,0.52592593,0.51851857,0.54814816,0.6,0.725926,0.6814815,0.7555555,0.6666667,0.8148148,0.65925926,0.7407407,0.7333333,0.94814813,0.94814813,0.9407407,0.94074076,0.94814813
TabICL (default),0.022222223,0.02962963,0.08888889,0.11111112,0.14814815,0.2,0.2,0.28148147,0.24444443,0.20740741,0.22222222,0.1851852,0.26666668,0.28148147,0.42962962,0.35555556,0.43703705,0.47407407,,0.5407408,0.61481476,0.52592593,0.4814815,0.6259259,0.6,0.67407405,0.71111107,0.6666667,0.7481482,0.6666667,0.8333333,0.95555556,0.88148147,0.837037,0.8185185
TabSwift (default),0.0074074073,0.02962963,0.022222223,0.05925926,0.08888889,0.0962963,0.2962963,0.24444444,0.21481483,0.25185186,0.2740741,0.2962963,0.34814817,0.2740741,0.2888889,0.19259259,0.4888889,0.4814815,0.45925924,,0.54814816,0.59259254,0.5555556,0.6074074,0.6222222,0.6962963,0.6666667,0.6814815,0.7481482,0.79259264,0.89629626,0.8666667,0.8518519,0.8148148,0.89629626
EBM (T+E),0.0074074073,0.0074074073,0.15555556,0.22962965,0.08148148,0.17777778,0.014814815,0.17777778,0.17777778,0.10370371,0.15555556,0.20000002,0.13333334,0.2888889,0.3703704,0.3925926,0.3703704,0.45185184,0.3851852,0.45185187,,0.46666667,0.6148149,0.59259254,0.6666667,0.6,0.6666667,0.65185183,0.6444444,0.65185183,0.7185185,0.94074076,0.837037,0.93333334,0.78518516
LimiX (default),0.06666667,0.096296296,0.13333334,0.12592593,0.14814815,0.22222224,0.2962963,0.11111112,0.118518524,0.31851852,0.34074074,0.3111111,0.34814817,0.2888889,0.27407408,0.22222224,0.2962963,0.4,0.47407407,0.4074074,0.53333336,,0.5111111,0.49629632,0.4814815,0.6296297,0.6,0.5703704,0.62222224,0.5629629,0.68888885,0.68888885,0.7111111,0.762963,0.7037037
RandomForest (T+E),0.0074074073,0.014814815,0.037037037,0.08148148,0.02962963,0.05925926,0.0,0.08148148,0.14074074,0.074074075,0.06666667,0.08888889,0.06666667,0.17777778,0.22222222,0.21481483,0.23703702,0.27407408,0.5185185,0.44444445,0.38518518,0.4888889,,0.6222222,0.5555555,0.65185183,0.66666675,0.64444447,0.5925926,0.65185183,0.9481482,0.87407404,0.92592597,0.8666667,0.9703704
BetaTabPFN (default),0.0074074073,0.0,0.037037037,0.051851854,0.06666667,0.13333336,0.037037037,0.096296296,0.11851852,0.10370371,0.08888889,0.0962963,0.08148148,0.059259262,0.25185186,0.25925928,0.24444444,0.31851855,0.37407407,0.3925926,0.4074074,0.5037037,0.37777779,,0.47407407,0.51851857,0.6222222,0.51111114,0.68888885,0.5925926,0.737037,0.962963,0.9185185,0.837037,0.81111115
ExtraTrees (T+E),0.0074074073,0.0074074073,0.022222223,0.0074074073,0.014814815,0.022222223,0.037037037,0.06666667,0.06666667,0.02962963,0.014814815,0.06666667,0.051851854,0.11111112,0.21481483,0.15555556,0.1925926,0.24444444,0.4,0.37777776,0.33333334,0.5185185,0.44444448,0.52592593,,0.6666667,0.5925926,0.65925926,0.5407407,0.63703704,0.8962963,0.8148148,0.82962966,0.8148148,0.9111111
Nori-30M (default),0.044444446,0.0074074073,0.06666667,0.06666667,0.11111112,0.05925926,0.25185186,0.20740741,0.11851852,0.25925925,0.25185186,0.32592592,0.2962963,0.31851852,0.118518524,0.17037037,0.32592595,0.33333334,0.32592592,0.3037037,0.4,0.37037036,0.34814817,0.4814815,0.33333334,,0.42962962,0.58518517,0.44444445,0.63703704,0.65185183,0.6,0.5407408,0.6296297,0.7185185
SAP-RPT-OSS (default),0.0,0.014814815,0.051851854,0.051851854,0.02962963,0.0962963,0.074074075,0.074074075,0.096296296,0.08148148,0.096296296,0.08888889,0.096296296,0.13333334,0.17037037,0.21481483,0.27407408,0.18518518,0.2888889,0.33333334,0.33333334,0.4,0.33333337,0.37777776,0.4074074,0.5703704,,0.61481476,0.53333336,0.6814815,0.7185185,0.725926,0.8592593,0.87407404,0.7851852
Nori (default),0.0074074073,0.0074074073,0.0074074073,0.06666667,0.05925926,0.014814815,0.24444444,0.13333334,0.096296296,0.26666668,0.25185186,0.2888889,0.26666668,0.25925925,0.051851854,0.06666667,0.28148147,0.34074074,0.33333334,0.31851852,0.34814817,0.42962965,0.35555556,0.4888889,0.34074074,0.41481483,0.38518518,,0.44444445,0.57777774,0.65925926,0.6,0.5407408,0.6296297,0.725926
FastaiMLP (T+E),0.0074074073,0.05925926,0.06666667,0.10370371,0.08888889,0.17777778,0.08148148,0.014814815,0.08888889,0.08888889,0.15555556,0.02962963,0.13333334,0.11851852,0.20740741,0.23703703,0.17777778,0.25925928,0.25185186,0.25185186,0.35555553,0.37777779,0.4074074,0.31111112,0.45925924,0.5555555,0.46666667,0.5555555,,0.5703704,0.53333336,0.7185185,0.7185185,0.92592597,0.6666667
PerpetualBooster (T+E),0.0,0.0,0.06666667,0.06666667,0.0074074073,0.022222223,0.08888889,0.014814815,0.0074074073,0.022222223,0.014814815,0.13333334,0.0962963,0.08148148,0.014814815,0.08888889,0.16296297,0.26666668,0.33333334,0.20740741,0.34814817,0.43703705,0.34814817,0.4074074,0.362963,0.362963,0.31851855,0.42222223,0.42962965,,0.7185185,0.51111114,0.6296297,0.7037037,0.72592586
OrionMSP (default),0.0,0.0,0.0,0.0,0.0,0.0074074073,0.0,0.0,0.02962963,0.0074074073,0.0074074073,0.014814815,0.0,0.0,0.0074074073,0.06666667,0.022222223,0.051851854,0.16666667,0.10370371,0.28148147,0.3111111,0.051851854,0.26296297,0.10370371,0.34814817,0.28148147,0.34074074,0.4666667,0.28148147,,0.56296295,0.5925926,0.6074074,0.58888894
TabSTAR (T+E),0.0,0.0,0.0,0.014814815,0.0,0.0,0.0,0.0,0.051851854,0.0,0.0074074073,0.0074074073,0.0074074073,0.0,0.096296296,0.074074075,0.0962963,0.051851854,0.044444446,0.13333334,0.059259262,0.31111112,0.12592593,0.037037037,0.18518518,0.4,0.27407408,0.4,0.28148147,0.4888889,0.43703705,,0.6074074,0.7111111,0.5925926
KNN (T+E),0.0,0.02962963,0.044444446,0.02962963,0.037037037,0.05925926,0.0074074073,0.0074074073,0.0074074073,0.0074074073,0.014814815,0.014814815,0.0074074073,0.037037037,0.10370371,0.096296296,0.022222223,0.05925926,0.11851852,0.14814815,0.16296296,0.2888889,0.074074075,0.08148148,0.17037039,0.4592593,0.14074074,0.4592593,0.28148147,0.3703704,0.4074074,0.39259258,,0.7185185,0.4666667
Linear (T+E),0.0,0.014814815,0.051851854,0.051851854,0.022222223,0.10370371,0.0,0.0,0.06666667,0.0074074073,0.014814815,0.014814815,0.0,0.044444446,0.16296296,0.17777778,0.014814815,0.05925926,0.16296296,0.18518518,0.06666667,0.23703703,0.13333334,0.16296296,0.1851852,0.37037036,0.12592593,0.37037036,0.074074075,0.2962963,0.39259258,0.28888887,0.28148147,,0.45925924
TabFlex (default),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444446,0.0074074073,0.0,0.0074074073,0.0,0.0,0.022222223,0.074074075,0.014814815,0.051851854,0.1814815,0.10370371,0.21481483,0.29629627,0.02962963,0.18888889,0.08888889,0.28148147,0.21481483,0.27407408,0.33333334,0.27407408,0.41111115,0.4074074,0.53333336,0.5407407,
