window,catalog_offset,bgs_id,reference,name,length_m,year_known,precision,scan_quality,scan_url
4,370283,402663,SU18SE38,M4 SWINDON AH165,5.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/402663
4,370283,402664,SU18SE39,M4 SWINDON TP166,1.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/402664
4,370283,402665,SU18SE40,M4 SWINDON IP167,1.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/402665
5,493710,558712,TM04SE11,NORTHLAND FARM HINTLESHAM,82.29,1937,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558712
5,493710,558713,TM04SE12,PARK FARM HINTLESHAM,14.11,1941,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558713
5,493710,558714,TM04SE13,BURSTALL COTTAGE HOTEL BURSTALL,62.17,1946,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558714
5,493710,558715,TM04SE14,THE RECTORY HINTLESHAM,12.95,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558715
5,493710,558716,TM04SE15,HILL FARM HINTLESHAM,80.16,1953,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558716
5,493710,558717,TM04SE16,HINTLE PLACE HINTLESHAM,12.89,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558717
5,493710,558718,TM04SE17,BURNESTON HINTLESHAM,67.51,1935,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558718
5,493710,558719,TM04SE18,RED HOUSE FARM HINTLESHAM,85.34,1951,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558719
5,493710,558720,TM04SE19,COUNCIL HOUSES TIMPERLEYS HINTLESHAM,83.82,1951,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558720
5,493710,558721,TM04SE20,POLICE HOUSE HINTLESHAM,76.2,1949,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558721
6,617138,720726,NY01NE39,ROWRAH HOLLINS 13,245.67,1915,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720726
6,617138,720727,NY01NE40,KIRKLAND 1,17.98,1909,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720727
6,617138,720728,NY01NE41,KIRKLAND 2,22.83,1909,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720728
6,617138,720729,NY01NE42,KIRKLAND 3,37.03,1909,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720729
6,617138,720730,NY01NE43,STOCKHOW HALL ESTATE NO. 3 BORE (CROSS SECTION),76.2,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720730
6,617138,720731,NY01NE44,STOCKHOW HALL ESTATE NO. 4 BORE (CROSS SECTION),42.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720731
6,617138,720732,NY01NE45,STOCKHOW HALL ESTATE NO.11 BORE (CROSS SECTION),15.24,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720732
6,617138,720733,NY01NE46,STOCKHOW ESTATE NO.12 BORE (CROSS SECTION),16.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720733
6,617138,720734,NY01NE47,STOCKHOW HALL ESTATE NO.13 BORE (CROSS SECTION),18.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720734
6,617138,720735,NY01NE48,STOCKHOW HALL ESTATE NO.14 BORE (CROSS SECTION),13.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720735
7,740565,860404,NS85NE202,KINGSHILL NO.1 COLLIERY 2,,1921,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860404
7,740565,860405,NS85NE203,KINGSHILL NO.1 COLLIERY 5,,1934,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860405
7,740565,860406,NS85NE204,KINGSHILL NO.1 COLLIERY 9,,1942,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860406
7,740565,860408,NS85NE206,KINGSHILL NO.1 COLL.U/G 1/63,,1963,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860408
7,740565,860409,NS85NE207,KINGSHILL NO.1 COLLIERY 1/64,,1964,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860409
7,740565,860410,NS85NE208,AUCHTERHEAD BORE NO.2,274.37,1908,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860410
7,740565,860411,NS85NE209,CHAPEL BORE NO.26,49.0,1906,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860411
7,740565,860412,NS85NE210,CHAPEL BORE NO.31,52.0,1906,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860412
7,740565,860413,NS85NE211,CHAPEL BORE NO.41,36.0,1906,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860413
8,863993,1006716,NS43NW10449/1A,"KILMARNOCK, BLACKWOOD DYEWORKS 1A",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006716
8,863993,1006717,NS43NW10449/1B,"KILMARNOCK, BLACKWOOD DYEWORKS 1B",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006717
8,863993,1006718,NS43NW10449/2A,"KILMARNOCK, BLACKWOOD DYEWORKS 2A",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006718
8,863993,1006719,NS43NW10449/2B,"KILMARNOCK, BLACKWOOD DYEWORKS 2B",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006719
8,863993,1006720,NS43NW10449/3A,"KILMARNOCK, BLACKWOOD DYEWORKS 3A",4.87,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006720
8,863993,1006721,NS43NW10449/3B,"KILMARNOCK, BLACKWOOD DYEWORKS 3B",6.09,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006721
8,863993,1006722,NS43NW10449/3M,"KILMARNOCK, BLACKWOOD DYEWORKS 3M",16.15,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006722
8,863993,1006723,NS43NW10449/4M,"KILMARNOCK, BLACKWOOD DYEWORKS 4M",32.46,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006723
8,863993,1006725,NS43NW10449/5B,"KILMARNOCK, BLACKWOOD DYEWORKS 5B",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006725
8,863993,1006726,NS43NW10449/7A,KILMARNOCK BLACKWOOD DYEWORKS 7EA,42.97,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006726
9,987420,15566202,NY51SE132,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP279,2.43,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566202
9,987420,15566203,NY51SE133,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP280,3.35,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566203
9,987420,15566204,NY51SE134,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP283,3.23,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566204
9,987420,15566205,NY51SE135,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP284,1.23,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566205
9,987420,15566206,NY51SE136,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP286,2.13,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566206
9,987420,15566207,NY51NE64,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP287,4.87,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566207
9,987420,15566208,NY51NE65,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP288,6.09,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566208
10,1110848,17935678,SP83NE4679,CENTRAL MILTON KEYNES - E1.1 FOOTBRIDGE M206,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935678
10,1110848,17935679,NS46SE408,"PAISLEY, GREEN ROAD 1AC",29.5,1987,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935679
10,1110848,17935680,NS46SE409,"PAISLEY, GREEN ROAD 2",10.0,1987,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935680
10,1110848,17935681,NS46SE410,"PAISLEY, GREEN ROAD 3",10.0,1987,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935681
10,1110848,17935682,SP83NE4680,FISHERMEAD 7 HOUSING M284,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935682
10,1110848,17935683,SP83NE4681,FISHERMEAD 7 HOUSING M285,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935683
10,1110848,17935684,SP83NE4682,FISHERMEAD 7 HOUSING M286,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935684
10,1110848,17935685,SP83NE4683,FISHERMEAD 7 HOUSING M287,5.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935685
10,1110848,17935686,SP83NE4684,FISHERMEAD 7 HOUSING M288,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935686
10,1110848,17935687,SP83NE4685,FISHERMEAD 7 HOUSING M289,6.5,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935687
11,1234275,18919336,NZ35NE2048,HUMBLEDON HILL DEVELOPMENT SUNDERLAND TPB,2.4,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919336
11,1234275,18919337,NZ35NE2049,HUMBLEDON HILL DEVELOPMENT SUNDERLAND 4,3.5,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919337
11,1234275,18919338,SE12NE1696,"560 HUNSWORTH LANE, EAST BIERLEY BRADFORD 1",1.8,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919338
