record_id,reference,source_url,document_url,document_filename,n_pages,scan_type,ocr_readability,layout_type,target_entity_type,target_entity_label,document_borehole_id,document_easting,document_northing,document_final_depth_m,borehole_id_present,easting_present_in_scan_body,northing_present_in_scan_body,final_depth_present,field_pages,header_region_useful,multiple_entities_same_page,handwriting_level,rotation_or_skew,bgs_wrapper_contains_registry_metadata,registry_easting,registry_northing,registry_length_m,registry_precision,quality_notes,difficulty,license_source_checked,license_notes,keep_for_demo,keep_for_benchmark_candidate
701632,NJ96NE17865/5,https://ogcapi.bgs.ac.uk/v2/collections/published.gdi_bore_layer_web/items,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/701632,701632_NJ96NE17865-5.pdf,2,scanned,medium,multi_trial_pit_sheet+site_plan,trial_pit,TRIAL PIT NO. 5,TRIAL PIT NO. 5,,,2.5,yes,no,no,yes,1,no,yes,none,mild,yes,398520,867000,2.5,+/- 10 METRES,Multiple trial pits on page 1; site plan on page 2; registry coordinates visible in BGS wrapper rather than clearly in historical scan body,hard,yes,BGS OpenGeoscience scanned records; Open Government Licence; attribution: Contains British Geological Survey materials (c) UKRI 2026; verify third-party material before redistributing full PDFs,no,yes
623562,NJ35NE18367/129,https://ogcapi.bgs.ac.uk/v2/collections/published.gdi_bore_layer_web/items,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/623562,623562_NJ35NE18367-129.pdf,6,scanned,medium,borehole_log+site_plans,borehole,BOREHOLE 129,BOREHOLE 129,335244.0,858196.0,15.0,yes,yes,yes,yes,1;2,yes,no,none,mild,yes,335240,858190,15.0,+/- 10 METRES,Borehole log on pages 1-2; site plans on pages 3-6; document coordinates differ slightly from registry coordinates; END OF BOREHOLE at 15.0 m on page 2,medium,yes,BGS OpenGeoscience scanned records; Open Government Licence; attribution: Contains British Geological Survey materials (c) UKRI 2026; verify third-party material before redistributing full PDFs,yes,yes
