#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
51,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1226.0,+102/-107,0.043,49.0,45.02,14.015,257.64,0.06,✔️,0.0,False,CPU,model,
52,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1204.0,+131/-156,0.055,50.46,41.06,14.82,2.47,0.755,✔️,0.0,False,GPU,model,
53,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1204.0,+104/-123,0.045,50.46,46.73,12.084,4452.11,0.089,✔️,0.0,False,CPU,model,
54,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1200.0,+63/-93,0.013,50.69,49.38,12.892,2.03,0.296,✔️,0.0,False,CPU,model,
55,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1176.0,+72/-114,0.012,52.19,50.1,14.759,177.92,0.433,✔️,0.0,False,CPU,model,
56,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1168.0,+134/-192,0.066,52.69,42.26,15.327,2006.55,0.103,✔️,0.0,False,CPU,model,
57,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1166.0,+105/-123,0.021,52.85,49.53,13.61,2.15,0.18,✔️,0.0,False,CPU,model,
58,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1157.0,+72/-86,0.004,53.38,51.59,15.1,526.19,0.77,✔️,0.0,False,CPU,model,
59,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1132.0,+62/-111,0.0,54.88,53.61,15.479,177.92,0.147,✔️,0.0,False,CPU,model,
60,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1122.0,+144/-197,0.069,55.46,43.72,15.869,2006.55,0.013,✔️,0.0,False,CPU,model,
61,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1117.0,+85/-121,0.001,55.81,53.79,15.827,526.19,0.119,✔️,0.0,False,CPU,model,
62,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1074.0,+92/-127,0.007,58.23,55.05,16.331,2.57,0.242,✔️,0.0,False,CPU,model,
63,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1048.0,+66/-105,0.001,59.62,58.27,16.184,527.3,2.83,✔️,0.0,False,CPU,model,
64,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1023.0,+119/-188,0.017,60.92,57.44,16.943,7.59,0.012,✔️,0.0,False,CPU,model,
65,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1023.0,+88/-149,0.0,60.92,58.74,16.046,20.5,0.081,✔️,0.0,False,CPU,model,
66,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1014.0,+88/-114,0.0,61.38,59.88,16.664,527.3,0.311,✔️,0.0,False,CPU,model,
67,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+58/-101,0.0,62.12,61.47,17.125,0.63,0.064,✔️,0.0,False,CPU,model,
68,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),980.0,+233/-338,0.064,63.08,44.41,24.554,46109.53,22.149,✔️,0.0,False,GPU,model,
69,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),952.0,+102/-170,0.0,64.38,62.79,18.694,22.8,0.017,✔️,0.0,False,CPU,model,
70,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),940.0,+237/-329,0.05,64.92,52.09,24.735,46109.53,5.06,✔️,0.0,False,GPU,model,
71,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),881.0,+88/-149,0.0,67.38,66.43,20.551,3.08,0.293,✔️,0.0,False,CPU,model,
72,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),860.0,+86/-137,0.0,68.15,67.59,19.701,373.42,81.49,✔️,0.0,False,GPU,model,
73,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),854.0,+114/-158,0.0,68.38,67.42,21.942,90.87,0.906,✔️,0.0,False,CPU,model,
74,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),792.0,+260/-340,0.024,70.46,64.28,27.838,302.9,4.583,✔️,0.0,False,GPU,model,
75,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),723.0,+94/-167,0.0,72.38,72.04,24.027,90.87,0.055,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),626.0,+145/-251,0.0,74.54,73.93,30.55,0.25,0.044,✔️,0.0,False,CPU,model,
77,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),470.0,+107/-372,0.0,76.96,76.83,37.448,177.06,0.14,✔️,0.0,False,CPU,model,
78,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),411.0,+128/-528,0.0,77.65,77.51,37.63,177.06,0.059,✔️,0.0,False,CPU,model,
79,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),278.0,+114/-452,0.0,78.92,78.91,40.037,0.88,0.109,✔️,0.0,False,CPU,model,
