,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),RealMLP (T+E),LimiX (default),TabPFNv2 (T+E),Mitra (default),TabDPT-Turbo (default),TabDPT (T+E),TabM (T+E),BetaTabPFN (default),TabICL (default),iLTM (T+E),LightGBM (T+E),CatBoost (T+E),TabSwift (default),xRFM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),EBM (T+E),ChimeraBoost (T+E),ModernNCA (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
SAP-RPT-OSS (default),0.10714286,0.10714286,0.25,0.14285715,0.21428572,0.2857143,0.2857143,0.25,0.39285713,0.39285713,0.35714287,0.35714287,0.35714287,0.42857143,0.39285713,0.39285713,0.42857143,0.35714287,0.35714287,0.5,0.5,,0.42857143,0.5,0.53571427,0.64285713,0.71428573,0.64285713,0.60714287,0.64285713,0.75,0.64285713,0.8214286,0.71428573,0.89285713
EBM (T+E),0.10714286,0.10714286,0.21428572,0.17857143,0.17857143,0.21428572,0.17857143,0.21428572,0.21428572,0.2857143,0.35714287,0.35714287,0.25,0.32142857,0.42857143,0.39285713,0.32142857,0.39285713,0.39285713,0.5,0.42857143,0.5714286,,0.42857143,0.4642857,0.60714287,0.71428573,0.75,0.71428573,0.71428573,0.71428573,0.71428573,0.89285713,0.89285713,0.96428573
ChimeraBoost (T+E),0.071428575,0.035714287,0.10714286,0.14285715,0.17857143,0.14285715,0.21428572,0.25,0.2857143,0.25,0.32142857,0.32142857,0.35714287,0.25,0.42857143,0.32142857,0.39285713,0.4642857,0.5714286,0.5,0.42857143,0.5,0.5714286,,0.5,0.5714286,0.64285713,0.5714286,0.75,0.71428573,0.75,0.71428573,0.8214286,0.78571427,0.89285713
ModernNCA (T+E),0.10714286,0.035714287,0.071428575,0.10714286,0.071428575,0.10714286,0.21428572,0.25,0.21428572,0.17857143,0.42857143,0.35714287,0.32142857,0.4642857,0.4642857,0.4642857,0.4642857,0.39285713,0.42857143,0.42857143,0.4642857,0.4642857,0.53571427,0.5,,0.53571427,0.64285713,0.6785714,0.6785714,0.71428573,0.75,0.75,0.75,0.8035714,0.78571427
TorchMLP (T+E),0.035714287,0.035714287,0.071428575,0.14285715,0.071428575,0.10714286,0.17857143,0.21428572,0.21428572,0.2857143,0.32142857,0.35714287,0.2857143,0.35714287,0.2857143,0.32142857,0.25,0.32142857,0.5,0.42857143,0.39285713,0.35714287,0.39285713,0.42857143,0.4642857,,0.60714287,0.60714287,0.64285713,0.6785714,0.6785714,0.6785714,0.89285713,0.8214286,0.85714287
FastaiMLP (T+E),0.10714286,0.10714286,0.14285715,0.14285715,0.10714286,0.035714287,0.14285715,0.25,0.25,0.25,0.25,0.32142857,0.25,0.35714287,0.2857143,0.21428572,0.25,0.32142857,0.21428572,0.35714287,0.32142857,0.2857143,0.2857143,0.35714287,0.35714287,0.39285713,,0.5714286,0.60714287,0.53571427,0.6785714,0.6785714,0.85714287,0.78571427,0.78571427
ExtraTrees (T+E),0.071428575,0.071428575,0.035714287,0.071428575,0.10714286,0.17857143,0.21428572,0.14285715,0.21428572,0.25,0.21428572,0.25,0.32142857,0.2857143,0.25,0.21428572,0.25,0.25,0.32142857,0.32142857,0.25,0.35714287,0.25,0.42857143,0.32142857,0.39285713,0.42857143,,0.64285713,0.64285713,0.60714287,0.64285713,0.75,0.9285714,0.78571427
TabSTAR (T+E),0.14285715,0.17857143,0.17857143,0.21428572,0.21428572,0.17857143,0.25,0.17857143,0.2857143,0.25,0.25,0.25,0.17857143,0.25,0.2857143,0.32142857,0.25,0.25,0.25,0.32142857,0.21428572,0.39285713,0.2857143,0.25,0.32142857,0.35714287,0.39285713,0.35714287,,0.42857143,0.5714286,0.4642857,0.53571427,0.60714287,0.6785714
RandomForest (T+E),0.071428575,0.035714287,0.071428575,0.071428575,0.071428575,0.14285715,0.25,0.14285715,0.14285715,0.25,0.17857143,0.25,0.25,0.21428572,0.25,0.14285715,0.21428572,0.17857143,0.35714287,0.25,0.17857143,0.35714287,0.2857143,0.2857143,0.2857143,0.32142857,0.4642857,0.35714287,0.5714286,,0.5,0.53571427,0.60714287,0.75,0.71428573
PerpetualBooster (T+E),0.0,0.0,0.035714287,0.071428575,0.035714287,0.071428575,0.071428575,0.14285715,0.17857143,0.17857143,0.25,0.2857143,0.21428572,0.21428572,0.17857143,0.14285715,0.17857143,0.14285715,0.2857143,0.2857143,0.2857143,0.25,0.2857143,0.25,0.25,0.32142857,0.32142857,0.39285713,0.42857143,0.5,,0.42857143,0.60714287,0.60714287,0.71428573
OrionMSP (default),0.035714287,0.035714287,0.0,0.035714287,0.035714287,0.10714286,0.071428575,0.08928572,0.17857143,0.16071428,0.071428575,0.035714287,0.17857143,0.25,0.17857143,0.21428572,0.21428572,0.2857143,0.14285715,0.17857143,0.21428572,0.35714287,0.2857143,0.2857143,0.25,0.32142857,0.32142857,0.35714287,0.53571427,0.4642857,0.5714286,,0.71428573,0.64285713,0.75
TabFlex (default),0.0,0.071428575,0.071428575,0.14285715,0.10714286,0.035714287,0.14285715,0.10714286,0.17857143,0.14285715,0.035714287,0.071428575,0.10714286,0.14285715,0.14285715,0.10714286,0.17857143,0.21428572,0.035714287,0.14285715,0.21428572,0.17857143,0.10714286,0.17857143,0.25,0.10714286,0.14285715,0.25,0.4642857,0.39285713,0.39285713,0.2857143,,0.53571427,0.64285713
KNN (T+E),0.071428575,0.035714287,0.035714287,0.071428575,0.035714287,0.071428575,0.071428575,0.071428575,0.10714286,0.10714286,0.035714287,0.10714286,0.14285715,0.10714286,0.10714286,0.071428575,0.071428575,0.17857143,0.10714286,0.10714286,0.17857143,0.2857143,0.10714286,0.21428572,0.19642857,0.17857143,0.21428572,0.071428575,0.39285713,0.25,0.39285713,0.35714287,0.4642857,,0.5714286
Linear (T+E),0.035714287,0.035714287,0.035714287,0.071428575,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.035714287,0.10714286,0.10714286,0.071428575,0.035714287,0.071428575,0.10714286,0.035714287,0.035714287,0.10714286,0.071428575,0.10714286,0.10714286,0.035714287,0.10714286,0.21428572,0.14285715,0.21428572,0.21428572,0.32142857,0.2857143,0.2857143,0.25,0.35714287,0.42857143,
