#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
29,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1422.0,+121/-87,0.133,32.36,24.26,21.578,7359.32,9.023,✔️,0.0,False,GPU,model,
30,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1420.0,+149/-111,0.238,32.59,21.46,23.025,13.71,0.733,✔️,0.0,False,GPU,model,
31,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1418.0,+125/-67,0.157,32.69,25.62,22.026,2551.65,4.526,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1410.0,+116/-74,0.114,33.28,27.59,22.362,34415.89,1003.647,✔️,0.0,False,GPU,model,
33,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1399.0,+276/-245,0.361,34.19,8.76,22.059,22.56,1.484,➖,0.0,False,GPU,model,
34,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1372.0,+211/-199,0.243,36.34,16.05,25.799,1076.45,1.541,✔️,0.0,False,CPU,model,
35,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1362.0,+79/-91,0.125,37.11,31.91,24.109,45754.93,0.315,✔️,0.0,False,CPU,model,
36,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1356.0,+88/-76,0.111,37.53,33.06,23.518,29.23,0.249,✔️,0.0,False,CPU,model,
37,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1344.0,+143/-122,0.09,38.48,30.71,24.385,4142.9,2.104,✔️,0.0,False,CPU,model,
38,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1343.0,+114/-120,0.186,38.63,19.45,24.764,2097.62,0.514,✔️,0.0,False,GPU,model,
39,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1339.0,+216/-180,0.175,38.9,17.36,24.979,2775.63,12.586,✔️,0.0,False,CPU,model,
40,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1333.0,+134/-139,0.122,39.41,32.6,24.765,2362.59,0.126,✔️,0.0,False,CPU,model,
41,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1326.0,+203/-215,0.229,39.91,15.5,26.482,755.27,2.155,✔️,0.0,False,CPU,model,
42,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1324.0,+213/-210,0.218,40.1,13.31,27.216,1076.45,0.31,✔️,0.0,False,CPU,model,
43,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1323.0,+130/-119,0.104,40.16,35.39,24.651,2362.59,1.125,✔️,0.0,False,CPU,model,
44,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1319.0,+92/-100,0.06,40.52,35.69,23.676,34415.89,299.32,✔️,0.0,False,GPU,model,
45,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1317.0,+84/-93,0.085,40.67,34.85,24.857,45754.93,0.07,✔️,0.0,False,CPU,model,
46,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1307.0,+225/-198,0.181,41.46,19.49,26.776,46.25,45.719,✔️,0.0,False,GPU,model,
47,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1304.0,+150/-134,0.113,41.62,31.01,26.135,15.52,0.045,✔️,0.0,False,CPU,model,
48,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1298.0,+117/-160,0.1,42.14,36.12,27.069,5.04,0.071,➖,0.0,False,GPU,model,
49,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1284.0,+173/-178,0.147,43.19,32.71,25.649,5.32,0.43,✔️,0.0,False,CPU,model,
50,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1279.0,+185/-164,0.091,43.57,28.04,26.264,2775.63,1.431,✔️,0.0,False,CPU,model,
51,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1276.0,+131/-154,0.111,43.77,31.92,26.713,4142.9,0.287,✔️,0.0,False,CPU,model,
52,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1275.0,+203/-245,0.174,43.89,12.01,27.843,755.27,0.317,✔️,0.0,False,CPU,model,
53,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1261.0,+178/-212,0.132,44.94,32.98,27.054,11.75,0.127,✔️,0.0,False,CPU,model,
54,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1252.0,+28/-38,0.0,45.57,43.95,25.388,5.48,0.599,✔️,0.0,False,CPU,model,
55,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1223.0,+104/-120,0.022,47.71,39.57,29.449,20.96,0.482,✔️,0.0,False,GPU,model,
56,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1212.0,+57/-80,0.0,48.52,45.07,27.862,19.64,7.682,✔️,0.0,False,GPU,model,
57,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1167.0,+97/-168,0.056,51.64,45.58,29.395,10.84,2.189,✔️,0.0,False,GPU,model,
58,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1102.0,+70/-136,0.0,55.83,41.25,31.698,14.75,0.337,✔️,0.0,False,CPU,model,
59,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1085.0,+219/-327,0.061,56.86,26.41,39.396,173.46,1.637,✔️,0.0,False,CPU,model,
60,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1044.0,+110/-217,0.0,59.23,55.91,41.288,905.41,0.875,✔️,0.0,False,CPU,model,
61,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1044.0,+76/-156,0.0,59.25,55.63,34.964,22.95,3.32,➖,0.0,False,GPU,model,
