block,n,score_A,score_B,score_d,score_win,score_t,genuineness_A,genuineness_B,genuineness_d,genuineness_win,genuineness_t,blend_A,blend_B,blend_d,blend_win,blend_t,strength_raw_A,strength_raw_B,strength_raw_d,strength_raw_win,strength_raw_t,wer_A,wer_B,wer_d,wer_win,wer_t,spk_sim_A,spk_sim_B,spk_sim_d,spk_sim_win,spk_sim_t,naturalness_A,naturalness_B,naturalness_d,naturalness_win,naturalness_t,quality_A,quality_B,quality_d,quality_win,quality_t,dur_A,dur_B,dur_d,dur_win,dur_t,dflu_A,dflu_B,dflu_d,dflu_win,dflu_t,wps_A,wps_B,wps_d,wps_win,wps_t,vuln_A,vuln_B,vuln_d,vuln_win,vuln_t
ALL,808,0.6186000051178591,0.6174498769637955,-0.0011501281540634985,0.4863861386138614,-0.4243248444595436,0.999339108910891,1.0296881188118812,0.030349009900990105,0.4814356435643564,1.4876366980285505,3.2426707920792084,3.1757487623762377,-0.0669220297029703,0.4900990099009901,-0.9523759656923338,0.7906533573000157,0.8171966397532611,0.02654328245324533,0.45173267326732675,1.0786510619479677,0.09137599390904728,0.09265908887086644,0.001283094961819151,0.2079207920792079,0.722370202029031,0.5147922087874017,0.5226715475353182,0.007879338747916432,0.5383663366336634,2.5931382987079585,0.6391422767593677,0.637699031791762,-0.001443244967605762,0.4665841584158416,-0.22999305122180713,3.400443688118812,3.400562809405941,0.00011912128712869796,0.5321782178217822,0.03237719496845461,9.554257425742575,9.884554455445546,0.3302970297029702,0.4962871287128713,2.6000824619586997,1.414,1.450766089108911,0.03676608910891089,0.5160891089108911,1.427873823645321,2.488182792450511,2.453843107122789,-0.03433968532772255,0.4628712871287129,-2.0673016760866956,1.9862475247524751,1.9748960396039603,-0.011351485148514862,0.5012376237623762,-0.41047743927708585
edge,28,0.5232402586138678,0.5147962894303026,-0.00844396918356517,0.35714285714285715,-0.7546986832856202,1.8532857142857144,1.8854642857142856,0.032178571428571445,0.5,0.270074461812036,7.770821428571429,7.3975,-0.37332142857142847,0.35714285714285715,-1.3650590169710373,2.917464285714285,2.7968571428571427,-0.12060714285714279,0.32142857142857145,-1.1444741054811138,0.15472497266363727,0.15284572096295698,-0.0018792517006802694,0.14285714285714285,-0.1555006417883329,0.4591644439352856,0.46032850157814115,0.0011640576428555407,0.5,0.058983687407365655,0.7318127020669623,0.7655205167738685,0.03370781470690633,0.5,0.7699880126324435,3.3403392857142853,3.348669642857143,0.008330357142857125,0.5,0.5299698796231529,8.0,7.905714285714285,-0.09428571428571424,0.35714285714285715,-0.3473798259317362,2.4222142857142854,2.36375,-0.05846428571428573,0.5,-0.23467368080212977,1.8918371688333466,1.8998275212302038,0.007990352396857423,0.6428571428571429,0.12882125807536204,3.8520714285714286,3.923285714285714,0.0712142857142857,0.42857142857142855,0.25873143629963613
emotion,320,0.5920745865579619,0.5910981088602981,-0.0009764776976636762,0.484375,-0.22471868865970107,0.7364062499999999,0.78244375,0.0460375,0.4875,1.5152493723183083,3.2179499999999996,3.1992249999999998,-0.01872500000000001,0.478125,-0.1704802104634239,0.5964716021825398,0.5702652653769842,-0.026206336805555553,0.31875,-0.9484634314211037,0.0738054626923774,0.07567006796290067,0.001864605270523264,0.2125,0.7248087856486828,0.49048300857223703,0.5012464727973102,0.010763464225073151,0.55,2.1870075250224312,0.5915365264531925,0.5908793706438458,-0.0006571558093468481,0.496875,-0.06939472820956752,3.42434375,3.42143515625,-0.0029085937500000214,0.534375,-0.6807310706547114,8.96475,8.966249999999999,0.0015000000000000347,0.49375,0.008466478432220998,1.0735218750000002,1.107871875,0.034350000000000006,0.53125,0.9974692252780134,2.7024980575309376,2.7099595500213205,0.007461492490383165,0.45,0.302416668188205,1.776409375,1.781759375,0.005349999999999985,0.503125,0.15905114099952897
explicit,2,0.5711480895862227,0.554648298893534,-0.01649979069268867,0.0,-2.3488416623370383,1.504,1.5465,0.04249999999999998,0.5,0.11954992967617567,2.521,2.8215,0.30049999999999977,0.5,0.21783254802448854,2.2665,1.964,-0.3025000000000002,0.0,-1.0066555740399121,0.2153846153846154,0.24871794871794872,0.033333333333333326,0.5,0.99999999997,0.553246855986396,0.5112932758044614,-0.041953580181934624,0.0,-1.1889385602619997,0.7313924050632912,0.7745454545454544,0.043153049482163364,0.5,0.9999999999768266,3.4182499999999996,3.45875,0.0405000000000002,1.0,2.999999999777778,9.719999999999999,8.4,-1.3199999999999998,0.0,-4.714285714268882,2.3449999999999998,2.1734999999999998,-0.17149999999999999,0.5,-0.4824191279873911,1.4476883297313985,1.6137941919191918,0.16610586218779327,1.0,3.3449037163560473,2.374,2.8064999999999998,0.4325,1.0,2.0843373493875443
sports,2,0.5775079718881454,0.5675412106777886,-0.009966761210356806,0.5,-0.26917066956287433,3.991,3.2105,-0.7805000000000001,0.0,-1.953692115139041,4.757999999999999,4.973,0.21500000000000052,0.5,0.1732473811440994,2.12,2.141,0.02100000000000002,0.5,0.0820312499996796,0.09425403225806452,0.016129032258064516,-0.078125,0.0,-0.9999999999871999,0.4389267148982137,0.4968465370072809,0.05791982210906718,1.0,1.154614621260533,0.6,0.6092592592592592,0.00925925925925919,0.5,0.9999999998920002,3.3495,3.353875,0.004375000000000018,0.5,0.06003430531650079,4.92,5.720000000000001,0.8000000000000003,0.5,0.99999999999875,2.8609999999999998,2.5995,-0.26149999999999984,0.0,-3.4635761588945244,6.394878706199461,5.759958071278826,-0.6349206349206349,0.0,-0.999999999998425,2.117,2.2915,0.1745000000000001,0.5,0.8925831202000385
voicenet,456,0.6434581076152308,0.6427399794479391,-0.0007181281672916989,0.49780701754385964,-0.19677641872949006,1.1160833333333333,1.1388135964912283,0.02273026315789473,0.4780701754385965,0.8074363097720488,2.9784934210526317,2.8937149122807013,-0.08477850877192983,0.506578947368421,-0.8811268679502836,0.7840241228070175,0.8580877192982457,0.07406359649122808,0.5548245614035088,1.930233357285036,0.09925982124360136,0.10053672787416015,0.0012769066305587944,0.20833333333333334,0.5219481090961277,0.5354311192656745,0.541697941762251,0.0062668224965764215,0.5328947368421053,1.58815144442418,0.6666266023871623,0.6622307789132355,-0.004395823473926945,0.44298245614035087,-0.5165345297586654,3.387507675438596,3.389051535087719,0.0015438596491227957,0.5307017543859649,0.2705521785534397,10.082982456140352,10.675263157894737,0.592280701754386,0.5087719298245614,3.1828852450034684,1.580594298245614,1.6271250000000002,0.04653070175438596,0.5087719298245614,1.3056659572295723,2.3618327699362234,2.297314691727081,-0.06451807820914202,0.4605263157894737,-2.7740728224845745,2.0166600877192984,1.9857565789473686,-0.030903508771929825,0.5021929824561403,-0.7810470168655868
