#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1771.0,+363/-101,0.738,7.38,3.34,10.055,10.99,0.677,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1734.0,+396/-158,0.691,8.62,3.47,5.511,2793.87,8.928,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1734.0,+222/-73,0.674,8.62,4.6,11.621,253.44,3.242,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1707.0,+669/-263,0.79,9.62,1.61,7.054,49.97,7.689,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1644.0,+197/-118,0.597,12.31,9.22,13.485,2793.87,1.512,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1635.0,+229/-126,0.579,12.75,9.56,13.166,9.9,0.591,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1588.0,+325/-158,0.542,15.12,6.94,11.357,8.93,0.49,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1536.0,+238/-104,0.447,18.19,10.48,13.887,9.88,0.825,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1521.0,+355/-192,0.486,19.12,6.99,15.32,4.73,0.225,✔️,0.0,False,GPU
9,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1498.0,+276/-156,0.435,20.62,5.63,13.398,41.12,8.609,➖,0.0,False,GPU
10,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1487.0,+166/-105,0.432,21.38,10.93,17.699,5547.02,3.267,✔️,0.0,False,CPU
11,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1456.0,+204/-94,0.341,23.5,16.98,15.976,2807.98,0.179,✔️,0.0,False,CPU
12,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1456.0,+178/-96,0.334,23.5,19.16,16.761,2807.98,1.223,✔️,0.0,False,CPU
