#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
30,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1388.0,+290/-241,0.394,31.76,7.25,21.409,22.56,1.484,➖,0.0,False,GPU
31,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1362.0,+209/-185,0.259,33.76,15.08,25.234,1076.45,1.541,✔️,0.0,False,CPU
32,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1362.0,+75/-85,0.178,33.81,28.92,23.493,45754.93,0.315,✔️,0.0,False,CPU
33,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1356.0,+84/-68,0.154,34.21,29.16,22.878,29.23,0.249,✔️,0.0,False,CPU
34,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1343.0,+153/-118,0.131,35.26,27.13,23.763,4142.9,2.104,✔️,0.0,False,CPU
35,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1339.0,+108/-112,0.198,35.57,18.36,24.174,2097.62,0.514,✔️,0.0,False,GPU
36,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1338.0,+223/-179,0.227,35.67,14.0,24.34,2775.63,12.586,✔️,0.0,False,CPU
37,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1317.0,+200/-208,0.24,37.24,14.84,25.928,755.27,2.155,✔️,0.0,False,CPU
38,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1317.0,+92/-98,0.098,37.28,32.24,23.049,34415.89,299.32,✔️,0.0,False,GPU
39,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1315.0,+78/-86,0.123,37.39,31.92,24.247,45754.93,0.07,✔️,0.0,False,CPU
40,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1314.0,+203/-205,0.229,37.51,12.92,26.663,1076.45,0.31,✔️,0.0,False,CPU
41,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1303.0,+230/-196,0.189,38.32,15.29,26.221,46.25,45.719,✔️,0.0,False,GPU
42,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1302.0,+140/-123,0.122,38.45,28.85,25.536,15.52,0.045,✔️,0.0,False,CPU
43,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1296.0,+115/-146,0.138,38.9,32.28,26.507,5.04,0.071,➖,0.0,False,GPU
44,🌳,Tree-based,[LightGBM (default)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1283.0,+170/-169,0.159,39.87,29.56,25.027,5.32,0.43,✔️,0.0,False,CPU
45,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1278.0,+194/-165,0.121,40.21,23.31,25.64,2775.63,1.431,✔️,0.0,False,CPU
46,🧠🔁,Neural Network,[TorchMLP (tuned)](https://arxiv.org/abs/2003.06505),1273.0,+124/-151,0.12,40.65,28.8,26.124,4142.9,0.287,✔️,0.0,False,CPU
47,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1264.0,+200/-227,0.184,41.29,11.79,27.301,755.27,0.317,✔️,0.0,False,CPU
48,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1261.0,+151/-183,0.135,41.52,32.48,25.511,2032.73,0.268,✔️,0.0,False,CPU
49,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1252.0,+32/-36,0.0,42.16,40.37,24.771,5.48,0.599,✔️,0.0,False,CPU
50,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1251.0,+148/-164,0.124,42.28,36.35,25.581,2032.73,1.367,✔️,0.0,False,CPU
51,🧠🔁,Neural Network,[ModernNCA (default)](https://arxiv.org/abs/2407.03257),1223.0,+106/-125,0.025,44.33,36.15,28.879,20.96,0.482,✔️,0.0,False,GPU
52,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1211.0,+62/-78,0.0,45.2,41.55,27.272,19.64,7.682,✔️,0.0,False,GPU
53,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1171.0,+182/-234,0.119,47.96,37.08,28.443,8.45,0.239,✔️,0.0,False,CPU
54,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1163.0,+95/-164,0.064,48.52,42.14,28.84,10.84,2.189,✔️,0.0,False,GPU
55,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1099.0,+68/-133,0.0,52.68,39.15,31.177,14.75,0.337,✔️,0.0,False,CPU
56,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1080.0,+214/-321,0.07,53.81,25.12,39.001,173.46,1.637,✔️,0.0,False,CPU
57,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1042.0,+75/-151,0.0,56.01,52.42,34.504,22.95,3.32,➖,0.0,False,GPU
58,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1042.0,+109/-216,0.0,56.05,52.45,40.799,905.41,0.875,✔️,0.0,False,CPU
59,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1037.0,+96/-148,0.0,56.31,55.13,30.902,581.49,277.193,✔️,0.0,False,GPU
60,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1036.0,+146/-192,0.0,56.37,50.22,32.743,42561.15,35.622,✔️,0.0,False,GPU
