,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabDPT (T+E),Mitra (default),"AutoGluon 1.4 (best, 4h)",LimiX (default),TabM (T+E),LightGBM (T+E),TabSwift (default),CatBoost (T+E),iLTM (T+E),TabICL (default),SAP-RPT-OSS (default),xRFM (T+E),ModernNCA (T+E),BetaTabPFN (default),XGBoost (T+E),ChimeraBoost (T+E),EBM (T+E),TorchMLP (T+E),ExtraTrees (T+E),FastaiMLP (T+E),Nori-30M (default),TabSTAR (T+E),Nori (default),RandomForest (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
ExtraTrees (T+E),0.06574074,0.06666667,0.05679013,0.062037036,0.06697531,0.072222225,0.09197531,0.15679014,0.097839504,0.14984569,0.21003087,0.17993827,0.17916666,0.17808641,0.2240741,0.26234567,0.26234567,0.2712963,0.2800926,0.29660496,0.2756173,0.27947533,0.35462964,0.34753087,0.32932097,0.33055556,0.4117284,0.32500002,0.4009259,0.40354934,0.37901235,,0.47438273,0.6552469,0.59321,0.6580246,0.71188277,0.6885803,0.64753085,0.77962965,0.9092594,0.76342595
FastaiMLP (T+E),0.05092593,0.084876545,0.057716053,0.057716053,0.052314818,0.1072531,0.096296296,0.101080246,0.12407407,0.14135803,0.20941359,0.13935186,0.1845679,0.22160493,0.1904321,0.17500003,0.2800926,0.2108025,0.2654321,0.23302466,0.29907408,0.2675926,0.38086417,0.31820983,0.36157408,0.35339502,0.39228398,0.33364195,0.38641974,0.4526235,0.34228387,0.5256173,,0.5947531,0.6490741,0.6030864,0.62422836,0.6333333,0.633642,0.77716047,0.7824074,0.83333325
Nori-30M (default),0.08487655,0.11697531,0.06574074,0.12685186,0.0712963,0.1345679,0.16882716,0.1941358,0.19567901,0.19351853,0.2753086,0.20555554,0.22006173,0.17839506,0.28055558,0.26018518,0.26358023,0.28148147,0.2611111,0.30216044,0.2759259,0.2506173,0.27283955,0.35401234,0.2617284,0.3299383,0.3157407,0.27901232,0.35308638,0.35462964,0.37685183,0.3447531,0.40524688,,0.4469135,0.5462963,0.320679,0.47314814,0.53395057,0.5651235,0.67623454,0.63796294
TabSTAR (T+E),0.12191358,0.1404321,0.13179012,0.13179012,0.13209876,0.13765433,0.15864198,0.16111112,0.15277778,0.16265434,0.22006173,0.20524691,0.22716051,0.24197531,0.1845679,0.21851853,0.22037038,0.20833333,0.22376543,0.20956792,0.22839506,0.26712963,0.29382718,0.32191357,0.30092594,0.30493823,0.22592592,0.25401232,0.23796296,0.27962962,0.27947527,0.4067901,0.35092592,0.55308646,,0.5558642,0.43641973,0.44259262,0.5500001,0.5432099,0.63703704,0.66358024
Nori (default),0.043518525,0.06604939,0.03209877,0.08950617,0.032098766,0.11574074,0.1441358,0.16512345,0.1728395,0.17901234,0.25123456,0.18271606,0.2154321,0.17314814,0.26759258,0.2574074,0.24537039,0.2679012,0.2580247,0.27561724,0.28055558,0.24074075,0.27376544,0.35030863,0.25771606,0.3240741,0.31666666,0.27407405,0.34845677,0.3537037,0.37067902,0.34197533,0.3969136,0.45370373,0.4441358,,0.3216049,0.47407404,0.53395057,0.5660494,0.67530864,0.63796294
RandomForest (T+E),0.04351852,0.049382713,0.055555556,0.034876544,0.057407405,0.07407407,0.07067902,0.104320996,0.082716055,0.108950615,0.14969137,0.114814825,0.1287037,0.12654322,0.19444445,0.17006175,0.22746915,0.22746915,0.19228396,0.24598762,0.18271607,0.19074075,0.34228393,0.29027778,0.23703702,0.2595679,0.38179013,0.21558644,0.33055556,0.3614197,0.30987653,0.2881173,0.3757716,0.679321,0.5635803,0.67839503,,0.63086414,0.5978396,0.7141975,0.8117283,0.7262345
OrionMSP (default),0.028395064,0.05277778,0.03888889,0.046604943,0.034259263,0.04598766,0.05015432,0.06790124,0.080864206,0.08919754,0.17870371,0.14845678,0.097839504,0.11851854,0.17546298,0.18348765,0.1976852,0.19074076,0.1882716,0.12253087,0.22993827,0.2094136,0.24845679,0.307716,0.2138889,0.27345678,0.29444444,0.23503089,0.23209876,0.30524695,0.3314815,0.31141979,0.36666667,0.5268519,0.5574074,0.52592593,0.36913577,,0.5848766,0.6916666,0.6978395,0.77067906
PerpetualBooster (T+E),0.022530867,0.014506172,0.025000002,0.021604938,0.03209877,0.046604946,0.038580254,0.036111113,0.04969136,0.0712963,0.12962963,0.06666668,0.119135804,0.11882716,0.14197531,0.06790124,0.1802469,0.119135804,0.09104939,0.14259261,0.12191359,0.11944444,0.2117284,0.24104936,0.20277779,0.2104938,0.27037036,0.16234569,0.17839509,0.27129626,0.27839503,0.35246915,0.366358,0.4660494,0.44999996,0.4660494,0.40216053,0.41512346,,0.5484568,0.61049384,0.6780864
TabFlex (default),0.034567904,0.04814815,0.0308642,0.05123457,0.0308642,0.039814815,0.052469138,0.06574074,0.054320987,0.084876545,0.13611111,0.117901236,0.054012347,0.0925926,0.1138889,0.12160495,0.19320989,0.12037037,0.13919753,0.062345676,0.16450618,0.12407407,0.21512347,0.1910494,0.13148147,0.19938271,0.21481483,0.16280863,0.16419753,0.21450618,0.20339507,0.22037037,0.22283949,0.43487656,0.4567901,0.4339506,0.28580248,0.3083333,0.4515432,,0.6006173,0.6280864
KNN (T+E),0.035185184,0.043209877,0.029012349,0.028703706,0.027160494,0.052777782,0.04475309,0.071296304,0.04938272,0.05432099,0.075925924,0.096604936,0.070370376,0.06898149,0.098148145,0.1058642,0.1410494,0.116666675,0.1095679,0.117901236,0.11820989,0.12962964,0.12222222,0.21635804,0.10046296,0.18101853,0.14722222,0.14104939,0.1964506,0.17098767,0.20000002,0.090740755,0.2175926,0.32376546,0.36296296,0.32469139,0.1882716,0.30216047,0.38950622,0.39938274,,0.58240736
Linear (T+E),0.028703706,0.029629631,0.037962966,0.03611111,0.036111113,0.04444444,0.054629635,0.04938272,0.058024697,0.040123463,0.07160494,0.07993827,0.10864198,0.13240741,0.0558642,0.088734575,0.08950618,0.06975309,0.09228396,0.13425927,0.11419753,0.15185185,0.11882717,0.12530865,0.12191358,0.20216049,0.067901224,0.12160495,0.15339507,0.10709876,0.1455247,0.23657407,0.16666667,0.36203706,0.3364198,0.36203706,0.27376544,0.22932097,0.3219136,0.37191355,0.4175926,
