#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1897.0,+221/-122,0.741,6.13,2.03,5.571,27.18,13.118,✔️,0.0,False,GPU
1,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1889.0,+111/-58,0.691,6.33,2.81,4.722,182.61,2.229,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1825.0,+131/-63,0.613,8.2,4.79,5.86,432.15,4.214,✔️,0.0,False,CPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1767.0,+211/-125,0.638,10.27,3.4,5.928,1.02,0.214,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1729.0,+130/-62,0.504,11.8,9.26,8.183,2.64,0.702,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1685.0,+144/-95,0.491,13.8,7.7,7.718,739.1,11.65,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1681.0,+187/-112,0.505,14.0,6.15,8.631,0.56,0.118,✔️,0.0,False,GPU
7,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1641.0,+121/-114,0.464,16.07,11.07,8.144,2522.59,6.234,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1638.0,+134/-92,0.458,16.2,9.83,8.87,739.1,1.134,✔️,0.0,False,GPU
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1588.0,+87/-78,0.414,19.0,13.76,9.397,1714.29,1.743,✔️,0.0,False,GPU
10,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular) [33.33% IMPUTED],1560.0,+244/-174,0.573,20.73,2.48,6.482,1.7,0.484,✔️,33.33,True,GPU
11,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1555.0,+106/-72,0.342,21.03,11.88,10.112,477.59,0.189,✔️,0.0,False,CPU
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1553.0,+73/-55,0.314,21.13,16.73,11.113,129.25,2.621,✔️,0.0,False,CPU
13,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1544.0,+102/-74,0.33,21.73,12.49,10.324,477.59,0.016,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1528.0,+133/-82,0.321,22.73,15.85,10.665,1176.25,0.556,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1524.0,+128/-104,0.326,22.97,16.87,11.129,2522.59,0.318,✔️,0.0,False,GPU
16,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1524.0,+96/-59,0.287,23.0,17.82,10.902,289.35,0.706,✔️,0.0,False,CPU
17,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1509.0,+108/-85,0.329,24.0,14.83,10.223,1.88,0.011,✔️,0.0,False,CPU
