segment,dist_start_km,dist_end_km,v_target_kmh,v_coast_kmh
0,0.0,0.12087325593696076,44.855638085218416,35.72667574922347
1,0.12087325593696076,0.24174651187392152,30.5967608623951,30.5967608623951
2,0.24174651187392152,0.3626197678108823,44.005218320811345,29.450262156176876
3,0.3626197678108823,0.48349302374784303,29.76680264745701,20.580045696271167
4,0.48349302374784303,0.6043662796848038,32.401624334384955,30.401484486558694
5,0.6043662796848038,0.7252395356217646,22.01179624800932,22.01179624800932
6,0.7252395356217646,0.8461127915587253,19.032045737352096,19.032045737352096
7,0.8461127915587253,0.9669860474956861,43.59742273001373,19.65204026589015
8,0.9669860474956861,1.087859303432647,29.36532868446487,29.36532868446487
9,1.087859303432647,1.2087325593696077,32.65611785459958,21.089731963636122
10,1.2087325593696077,1.3296058153065684,28.350215339592538,28.350215339592538
11,1.3296058153065684,1.4504790712435291,44.36034268863656,27.573663344514426
12,1.4504790712435291,1.57135232718049,20.7611842273085,20.7611842273085
13,1.57135232718049,1.6922255831174506,27.39941547143035,17.76144380703625
14,1.6922255831174506,1.8130988390544114,38.91746415350469,27.141494039887494
15,1.8130988390544114,1.9339720949913721,32.80855941906512,32.80855941906512
16,1.9339720949913721,2.054845350928333,39.14223305708204,19.506390544978387
17,2.054845350928333,2.175718606865294,42.25071699483155,29.29464410539674
18,2.175718606865294,2.2965918628022544,36.79665785190727,21.981044975600792
19,2.2965918628022544,2.4174651187392153,39.88338202749137,17.69639486722428
20,2.4174651187392153,2.538338374676176,26.93838486753807,26.93838486753807
21,2.538338374676176,2.659211630613137,24.869509579684873,20.13217277453589
22,2.659211630613137,2.7800848865500973,34.016581401588404,27.298191851359462
23,2.7800848865500973,2.9009581424870583,17.613546404657065,17.613546404657065
24,2.9009581424870583,3.021831398424019,18.993602432666492,16.003313906197604
25,3.021831398424019,3.14270465436098,35.91852964195287,35.91852964195287
26,3.14270465436098,3.2635779102979403,31.001282455742434,26.389288329260626
27,3.2635779102979403,3.3844511662349013,20.991563793523692,20.221312082209607
28,3.3844511662349013,3.505324422171862,17.339659338448243,17.339659338448243
29,3.505324422171862,3.6261976781088228,15.740390885417575,15.740390885417575
