# x_m,y_m,w_tr_right_m,w_tr_left_m
-316.857,353.079,8.4,9.2
-312.507,350.624,8.56,8.94
-308.178,348.11,8.67,8.63
-303.927,345.455,8.62,8.68
-299.633,342.839,8.72,8.48
-295.319,340.23,8.62,8.48
-290.988,337.628,8.51,8.79
-286.629,335.049,8.6,8.7
-282.284,332.435,8.61,8.79
-277.903,329.861,8.72,8.78
-273.518,327.277,8.86,8.54
-269.192,324.577,7.4,8.2
-264.845,321.88,7.97,8.73
-260.432,319.263,8.75,8.25
-256.107,316.435,7.3,7.3
-251.585,313.924,8.11,8.49
-246.923,311.65,9.77,7.93
-242.135,309.619,9.87,10.13
-237.392,307.439,10.57,11.23
-232.375,305.929,9.04,9.96
-227.375,304.386,11.11,8.69
-222.284,303.139,8.42,8.78
-217.185,302.002,8.65,8.83
-211.871,302.049,8.83,7.85
-206.687,301.981,9.85,7.11
-201.542,302.046,3.83,6.31
-196.44,302.082,4.26,5.56
-191.335,302.158,4.77,4.74
-186.369,301.528,4.64,4.56
-181.409,300.782,4.54,4.49
-176.457,299.859,4.46,4.4
-171.52,298.688,4.3,4.28
-166.622,297.18,4.16,4.16
-161.801,295.258,4.02,4.02
-157.228,292.745,3.72,4.05
-152.99,289.714,3.25,4.25
-149.073,286.318,3.42,3.7
-145.464,282.64,3.48,3.12
-142.14,278.748,3.42,3.29
-138.941,274.794,3.41,3.41
-135.814,270.819,3.47,3.47
-132.768,266.81,3.53,3.52
-129.77,262.794,3.58,3.58
-126.866,258.735,3.54,3.74
-124.036,254.643,3.38,4.01
-121.241,250.529,3.6,3.9
-118.463,246.388,4.07,4.1
-115.696,242.213,4.42,4.42
-112.863,238.069,4.75,4.75
-109.95,233.968,5.08,5.08
-106.911,229.957,5.48,5.35
-103.749,226.04,5.95,5.55
-100.469,222.219,5.82,5.68
-97.072,218.499,5.75,5.75
-93.548,214.902,5.78,5.72
-89.945,211.38,5.82,5.68
-86.265,207.935,5.8,5.75
-82.512,204.569,5.8,5.8
-78.687,201.283,5.82,5.82
-74.81,198.057,5.85,5.85
-70.88,194.891,5.88,5.88
-66.901,191.787,5.9,5.9
