station_shell_m,station_new_m,lat,lon,w_left_m,w_right_m,width_m,centerline_shift_m
0.0,0.0,25.48839866161711,51.45014949370238,8.508333333333454,8.191666666666784,16.700000000000237,2.591666666667129
5.0,5.001709883003816,25.488437925505934,51.45012494036392,8.368750000000118,8.281250000000117,16.650000000000233,2.531250000000462
10.0,10.004780492098815,25.488477249600518,51.45010047668938,8.335000000000118,8.36500000000012,16.700000000000237,2.465000000000461
15.0,15.00848207684726,25.4885167941605,51.45007643511046,8.34500000000012,8.355000000000118,16.700000000000237,2.35500000000046
20.0,20.011919019152188,25.48855633718461,51.45005239591202,8.250000000000117,8.350000000000119,16.600000000000236,2.2500000000004583
25.0,25.014920533895697,25.48859583320422,51.450028272060095,8.340000000000119,8.260000000000117,16.600000000000236,2.160000000000457
30.0,30.01778898325245,25.48863534970776,51.45000419167928,8.230000000000118,8.270000000000117,16.500000000000234,2.070000000000456
35.0,35.020527763955684,25.48867488622832,51.44998015386757,8.320000000000118,8.280000000000118,16.600000000000236,1.9800000000004545
40.0,40.02353078411432,25.488714532152013,51.44995633021407,8.330000000000119,8.270000000000117,16.600000000000236,1.8700000000004529
45.0,45.02569075338842,25.48875401745295,51.4499322023262,8.300000000000118,8.40000000000012,16.700000000000237,1.800000000000452
50.0,50.027748614174165,25.488793521633387,51.44990811406199,8.270000000000117,8.43000000000012,16.700000000000237,1.730000000000451
55.0,55.02947572409482,25.488832954772807,51.44988389172224,8.320000000000118,8.280000000000118,16.600000000000236,1.6800000000004502
60.0,60.03103689542592,25.488872361425774,51.449859620517074,8.360000000000118,8.340000000000119,16.700000000000237,1.6400000000004495
65.0,65.03246187711721,25.488911741279107,51.44983529935939,8.39000000000012,8.310000000000118,16.700000000000237,1.6100000000004493
70.0,70.03384947625855,25.488950871391022,51.44981049466548,8.260000000000119,8.44000000000012,16.700000000000237,1.64000000000045
75.0,75.03545836510048,25.488990419264763,51.44978650280621,8.32000000000012,8.480000000000121,16.80000000000024,1.580000000000449
80.0,80.03711076107784,25.489030027519632,51.44976263121398,8.990000000000128,8.310000000000118,17.300000000000246,1.510000000000448
85.0,85.04138470624629,25.489070138926007,51.44973974505667,8.370000000000118,8.330000000000119,16.700000000000237,1.3300000000004455
90.0,90.04266117892954,25.48910973246869,51.44971585164752,8.430000000000119,8.37000000000012,16.80000000000024,1.2700000000004448
95.0,95.04543812716118,25.489149694356183,51.44969268222203,8.470000000000121,9.430000000000136,17.900000000000254,1.1300000000004429
100.0,100.04664714773564,25.489189360050474,51.44966893586816,8.540000000000123,8.260000000000117,16.80000000000024,1.0600000000004417
105.0,105.04739753722558,25.4892288625227,51.449644871056776,8.470000000000118,8.230000000000118,16.700000000000237,1.0300000000004412
110.0,110.04905227016124,25.48926780503773,51.44961970543497,8.470000000000123,8.730000000000125,17.200000000000244,1.1300000000004422
115.0,115.04970998467692,25.48930720179288,51.449595433138896,8.370000000000118,8.330000000000117,16.700000000000237,1.1300000000004418
120.0,120.05033925189528,25.48934661086755,51.44957118570171,8.370000000000118,8.330000000000117,16.700000000000237,1.1300000000004418
125.0,125.0509525150325,25.489385987736103,51.44954687518508,8.360000000000118,8.240000000000116,16.600000000000236,1.1400000000004418
130.0,130.05153687940094,25.489425463694666,51.44952276104371,8.370000000000118,8.330000000000117,16.700000000000237,1.1300000000004418
135.0,135.05207947747633,25.48946490629659,51.44949858161645,8.270000000000119,8.430000000000119,16.700000000000237,1.1300000000004418
140.0,140.0526761725112,25.48950449044697,51.44947468339237,8.400000000000118,8.40000000000012,16.80000000000024,1.1000000000004415
145.0,145.0531830959639,25.48954404002909,51.449450717675546,8.420000000000119,8.280000000000117,16.700000000000237,1.0800000000004413
150.0,150.05398887595666,25.489583248139784,51.449426074556406,8.260000000000117,8.44000000000012,16.700000000000237,1.1400000000004422
155.0,155.0544251896529,25.489622771120334,51.44940205710304,8.270000000000117,8.43000000000012,16.700000000000237,1.1300000000004422
160.0,160.05604789847845,25.48966177710088,51.44937701166084,8.760000000000158,8.540000000000088,17.300000000000246,1.24000000000041
165.0,165.05815739198422,25.48970070335878,51.449351806614246,8.030000000000182,8.670000000000055,16.700000000000237,1.3700000000003776
170.0,170.06027029618542,25.48973963671281,51.4493266148031,7.900000000000214,7.5000000000003455,15.40000000000056,1.5000000000003453
175.0,175.06117234136624,25.48977883838723,51.44930195733218,7.830000000000248,7.570000000000312,15.40000000000056,1.5700000000003125
180.0,180.06300531773817,25.489817827431484,51.44927687576604,7.71000000000028,7.69000000000028,15.40000000000056,1.6900000000002795
185.0,185.06560237168696,25.489857999084112,51.44925415466941,7.860000000000248,7.540000000000312,15.40000000000056,1.5400000000003118
190.0,190.0678385120191,25.48989813071759,51.44923135575189,7.900000000000214,7.400000000000344,15.300000000000558,1.400000000000344
195.0,195.0694938349328,25.489938178284675,51.449208390673306,8.020000000000183,8.680000000000055,16.700000000000237,1.2800000000003764
200.0,200.0713459605332,25.48997827206801,51.44918551939649,8.15000000000015,8.450000000000086,16.600000000000236,1.1500000000004085
205.0,205.07162926795613,25.49001762731988,51.449161173143125,8.210000000000116,8.39000000000012,16.600000000000236,1.1900000000004431
210.0,210.071732660548,25.490057115056043,51.44913709228389,8.200000000000117,8.50000000000012,16.700000000000237,1.2000000000004434
215.0,215.07180377879556,25.490096603947013,51.44911301438516,8.190000000000117,6.910000000000098,15.100000000000216,1.2100000000004436
220.0,220.07183197882384,25.490136136942457,51.44908902534901,8.090000000000115,8.51000000000012,16.600000000000236,1.2100000000004436
225.0,225.07183683001423,25.490175626327808,51.44906494979481,8.180000000000117,8.52000000000012,16.700000000000237,1.2200000000004436
230.0,230.0740511100969,25.49021581197821,51.44904226709769,8.330000000000119,8.270000000000117,16.600000000000236,1.0700000000004417
235.0,235.07407671148567,25.49025521239119,51.44901801488951,8.300000000000118,8.300000000000118,16.600000000000236,1.1000000000004415
240.0,240.0762234210333,25.490294088110943,51.448992714648746,8.150000000000116,8.45000000000012,16.600000000000236,1.2500000000004436
245.0,245.07608080888863,25.490333614809185,51.44896871654336,8.250000000000115,8.45000000000012,16.700000000000237,1.2500000000004436
250.0,250.07615778730496,25.490373356398504,51.44894514840194,8.300000000000116,7.100000000000101,15.400000000000215,1.200000000000443
255.0,255.07595512447065,25.4904128764537,51.44892113826129,8.200000000000117,8.40000000000012,16.600000000000236,1.200000000000443
260.0,260.08591613250405,25.49045099648325,51.44889433455828,7.980000000000112,9.320000000000132,17.300000000000242,1.5200000000004474
265.0,265.0884456312275,25.49048976508533,51.44886882823235,7.71000000000011,8.890000000000127,16.600000000000236,1.69000000000045
270.0,270.098857548753,25.49052782902267,51.44884191967565,7.480000000000105,6.020000000000087,13.500000000000192,2.0200000000004548
275.0,275.1134283267472,25.49056562331376,51.44881447860562,6.9900000000001,6.510000000000092,13.500000000000192,2.41000000000046
280.0,280.1222466805365,25.49060375854868,51.44878772230353,6.680000000000096,6.620000000000093,13.300000000000187,2.7200000000004647
285.0,285.121387684581,25.490643327717248,51.44876382408624,6.700000000000095,6.500000000000092,13.200000000000188,2.7000000000004647
290.0,290.1444673566606,25.49068494542298,51.44874399878878,7.190000000000132,6.31000000000006,13.500000000000192,2.210000000000428
295.0,295.1678478810249,25.49072656536748,51.448724171657226,7.681818181818351,5.8181818181818405,13.500000000000192,1.7181818181822088
300.0,300.1905817497171,25.490768143468557,51.448704254403694,8.165454545454752,10.234545454545808,18.40000000000056,1.234545454545808
305.0,305.20906678778255,25.490809503945567,51.448683898085,8.600909090909335,9.617272727273043,18.21818181818238,0.7990909090912257
