cruise_kmh_target,actual_avg_kmh,duration_min,within_35min_limit,motor_clipped_points,h2_liters,art54e_score_km_per_m3
30,29.065287436417286,30.35373388031936,True,0,77.94768330837432,177.16331135192272
31,29.974813610021386,29.432710123843556,True,0,79.76704723849492,173.6779749005712
32,30.878910295834242,28.570956408361976,True,0,81.68750324655655,170.10842339021286
33,31.777432941785058,27.763098473568558,True,0,83.753523012478,166.39110872488442
34,32.670179429630984,27.004443054874436,True,0,85.86321167404336,162.73927946410592
35,33.557108175561865,26.290704055437523,True,0,87.71708250172442,159.67370987058843
36,34.43809891796251,25.618138855505574,True,0,90.0392533683215,155.93176343235052
37,35.31299214291329,24.983439421659163,True,0,92.46950585262552,152.1807831996259
38,36.181725399411256,24.383580115677837,True,0,94.93440514966976,148.54527705310792
39,37.04414051207772,23.81591225506658,True,4,97.14172321388797,145.44133858510128
40,37.90014594811065,23.27801062317493,True,20,100.04692978041501,141.50085870729689
