segment,dist_start_km,dist_end_km,mean_speed_kmh,h2_l,wheel_energy_wh,elec_energy_wh
0,0.0,0.24666666666666667,25.584772040650446,3.4379017069615,3.589827871172077,6.149537026294725
1,0.24666666666666667,0.49333333333333335,25.868088930068826,4.344429612988502,4.713816868005488,7.096535963026851
2,0.49333333333333335,0.74,25.680815586992676,3.132739249619299,3.6483228809292023,5.800877014508524
3,0.74,0.9866666666666667,24.635162346651217,6.864148795838703,7.949775930852529,12.121307020230745
4,0.9866666666666667,1.2333333333333334,25.902494817712732,3.0693020077047946,3.3255682318503625,5.026180361931033
5,1.2333333333333334,1.48,26.159400966592766,1.4486394534615061,1.3660502829906793,2.2459919320731663
6,1.48,1.7266666666666668,26.385879601025394,0.5774661793827999,0.46553022230586144,0.8563654865218362
7,1.7266666666666668,1.9733333333333334,25.91029536584384,3.341997126843398,3.621263309774724,5.489717775919082
8,1.9733333333333334,2.22,25.848794467569146,4.567646882675296,5.116315982836144,7.524486907509408
9,2.22,2.466666666666667,25.907854420081488,3.0659896777718023,3.232037514951137,5.043173715076371
10,2.466666666666667,2.7133333333333334,26.05116458974495,1.4714636280849063,1.4443137020314856,2.435258877504966
11,2.7133333333333334,2.96,25.986684070904367,1.9218130414378944,1.9266380963550596,3.204895421847434
12,2.96,3.2066666666666666,25.911833562863283,2.9953866081936007,3.0340810266796416,5.006476416520363
13,3.2066666666666666,3.4533333333333336,25.927014688149445,2.3650286251941064,2.389835959914815,4.03631203978632
14,3.4533333333333336,3.7,23.94472938468362,3.7668469568722958,4.628139018161087,7.154920190573261
