segment,dist_start_km,dist_end_km,v_target_kmh,v_coast_kmh
0,0.0,0.12087325593696076,44.67845578896754,34.04360889122884
1,0.12087325593696076,0.24174651187392152,28.100047098797194,28.100047098797194
2,0.24174651187392152,0.3626197678108823,19.8551169757106,19.8551169757106
3,0.3626197678108823,0.48349302374784303,44.83233119194511,26.307438592816567
4,0.48349302374784303,0.6043662796848038,31.62907917374729,31.62907917374729
5,0.6043662796848038,0.7252395356217646,22.42988173358421,19.527650816758126
6,0.7252395356217646,0.8461127915587253,18.530475607857433,18.530475607857433
7,0.8461127915587253,0.9669860474956861,16.797592848573892,16.797592848573892
8,0.9669860474956861,1.087859303432647,28.849450208443052,27.2254733114199
9,1.087859303432647,1.2087325593696077,36.98926821351092,20.382355474432227
10,1.2087325593696077,1.3296058153065684,31.882188828750422,23.047804937954155
11,1.3296058153065684,1.4504790712435291,37.45301255822007,31.110691163495147
12,1.4504790712435291,1.57135232718049,19.527809269994254,19.527809269994254
13,1.57135232718049,1.6922255831174506,36.929589568323635,16.53262331825004
14,1.6922255831174506,1.8130988390544114,25.265654279919737,25.265654279919737
15,1.8130988390544114,1.9339720949913721,33.70250146733216,33.70250146733216
16,1.9339720949913721,2.054845350928333,32.28463411542681,32.28463411542681
17,2.054845350928333,2.175718606865294,40.65642310994719,28.38582986092007
18,2.175718606865294,2.2965918628022544,41.43529619616504,24.001990500851498
19,2.2965918628022544,2.4174651187392153,30.299528170299624,23.348815680781666
20,2.4174651187392153,2.538338374676176,17.293688979243406,17.293688979243406
21,2.538338374676176,2.659211630613137,21.12171667781054,21.12171667781054
22,2.659211630613137,2.7800848865500973,42.301791831867575,26.40395762337552
23,2.7800848865500973,2.9009581424870583,43.17979067999354,26.198957876965753
24,2.9009581424870583,3.021831398424019,36.78540385151703,18.589291700661537
25,3.021831398424019,3.14270465436098,42.98912486021488,28.73199154405922
26,3.14270465436098,3.2635779102979403,19.08520274373513,19.08520274373513
27,3.2635779102979403,3.3844511662349013,25.284070184460408,20.258318576958118
28,3.3844511662349013,3.505324422171862,18.991937746463975,18.991937746463975
29,3.505324422171862,3.6261976781088228,18.801924310566978,18.801924310566978
