segment,dist_start_km,dist_end_km,v_target_kmh,v_coast_kmh
0,0.0,0.12083975327377915,29.96536715363136,23.881469679941297
1,0.12083975327377915,0.2416795065475583,28.479638094355906,28.173609517533492
2,0.2416795065475583,0.3625192598213374,29.563230414978584,25.182963963303227
3,0.3625192598213374,0.4833590130951166,21.621249606082866,20.767932434170337
4,0.4833590130951166,0.6041987663688957,22.030412259508026,22.030412259508026
5,0.6041987663688957,0.7250385196426749,24.965377407792044,24.965377407792044
6,0.7250385196426749,0.845878272916454,16.28416585068869,16.28416585068869
7,0.845878272916454,0.9667180261902332,25.09886662533011,20.825882768188393
8,0.9667180261902332,1.0875577794640123,28.70047896025857,27.575731053101208
9,1.0875577794640123,1.2083975327377914,29.48634300291876,26.162137587655227
10,1.2083975327377914,1.3292372860115707,26.214888885311034,26.214888885311034
11,1.3292372860115707,1.4500770392853497,26.581976779115585,18.703539083530295
12,1.4500770392853497,1.570916792559129,29.693490127359425,29.14948296143034
13,1.570916792559129,1.691756545832908,25.52636279886633,20.955296718605446
14,1.691756545832908,1.8125962991066873,28.54215074491821,27.563932697508445
15,1.8125962991066873,1.9334360523804663,17.53184205692127,17.53184205692127
16,1.9334360523804663,2.0542758056542456,23.23552909727261,21.492677293600693
17,2.0542758056542456,2.1751155589280247,27.446661627089707,25.54774121179992
18,2.1751155589280247,2.2959553122018037,29.431782993530867,22.94920043878947
19,2.2959553122018037,2.4167950654755828,28.56124637487505,28.56124637487505
20,2.4167950654755828,2.5376348187493623,16.762957191062792,16.762957191062792
21,2.5376348187493623,2.6584745720231413,27.290069605180825,27.290069605180825
22,2.6584745720231413,2.7793143252969204,18.776507071512487,18.776507071512487
23,2.7793143252969204,2.9001540785706994,29.311910444703315,28.772863717041467
24,2.9001540785706994,3.0209938318444784,22.394889246123395,22.394889246123395
25,3.0209938318444784,3.141833585118258,28.635739335700425,25.237630779557737
26,3.141833585118258,3.262673338392037,25.70448033311203,25.22817948197278
27,3.262673338392037,3.383513091665816,24.3489298193342,24.3489298193342
28,3.383513091665816,3.504352844939595,28.69902288111991,17.56761677124025
29,3.504352844939595,3.6251925982133746,22.998199700300106,15.048210706762333
