latitude,longitude,distance_m,distance_km,r_min_m,v_safe_kmh,altitude_m,heading_deg,grade_pct,stop_event
25.488415852960205,51.45018741356243,0.0,0.0,1242.1002872317251,366.3741285301944,11.7,330.44049736846927,-0.8187942298030916,True
25.488456810871455,51.45016167989994,5.223524091758317,0.0052235240917583164,1525.8146332279932,406.066680406635,11.7,330.2495218245918,-0.8392799134999422,False
25.48849576814852,51.45013701273625,10.2014187964106,0.0102014187964106,2345.329891037917,503.4408321954021,11.8,330.128194657345,-0.8411753765936891,False
25.48853472553825,51.4501122241018,15.185423535453964,0.015185423535453964,3360.0949378534524,602.590445696919,11.9,330.0432498598987,-0.8411753765936891,False
25.4885738405863,51.45008724963076,20.193905701219883,0.020193905701219882,4261.472153369187,678.6194373426551,11.9,329.9761251656322,-0.8576684402443792,False
25.488612910321496,51.4500622364867,25.19999877471134,0.025199998774711338,5701.379017303223,784.9399328660421,11.9,329.9259954219963,-0.8516365069275059,False
25.4886519152098,51.45003721439266,30.200335127485587,0.030200335127485586,7781.435191896543,917.014746678196,11.8,329.8893149772072,-0.8485427460642863,False
25.488690850091363,51.45001220031393,35.19356512303047,0.035193565123030464,14407.925783183897,1247.806370914295,11.8,329.86949202717216,-0.8335768133093668,False
25.488729896217265,51.44998709475425,40.20207593336746,0.040202075933367463,20363.71796720456,1483.4571429647626,11.8,329.8554394424393,-0.8109709434539965,False
25.488768982163656,51.44996194938349,45.21641503002024,0.04521641503002024,25215.022487357823,1650.7303918388366,11.8,329.84409372048543,-0.7794308177102452,False
25.48880800656967,51.449936832146506,50.22344031167242,0.05022344031167242,89105.94440034128,3103.12882898437,11.7,329.8408904185914,-0.7427801314807252,False
25.488847050794792,51.44991169891056,55.23317301975447,0.055233173019754465,609509.3058507952,8115.8990737321055,11.6,329.8413679251447,-0.6685149289630988,False
25.488886066974786,51.449886584201295,60.23928324418042,0.060239283244180424,29267.63148649472,1778.4442530329045,11.5,329.8511632267157,-0.6190894032072582,False
25.488925202404417,51.44986140263631,65.26019169505861,0.0652601916950586,44936.57037111319,2203.66933836097,11.3,329.85753570461975,-0.5645365436545289,False
25.4889641019494,51.44983637925188,70.2505124709438,0.0702505124709438,24328.800075631952,1621.4621378932395,11.1,329.86924072147167,-0.5052107503007282,False
25.4890028566592,51.449811460756216,75.22165849044302,0.07522165849044302,14736.872234765697,1261.97027790655,10.9,329.88851684744384,-0.4796030106902728,False
25.489041598866116,51.44978656959153,80.19022295768362,0.08019022295768362,8142.056613240304,938.023084119349,10.7,329.9235296806812,-0.44804099755063764,False
25.48908066455373,51.44976150591752,85.19848404831043,0.08519848404831043,13347.89652380456,1201.0273101483272,10.5,329.9449834929448,-0.3959369950804005,False
25.48911976946973,51.4497364387244,90.21067883410372,0.09021067883410372,19411.65806197784,1448.3642067233766,10.3,329.95972872000186,-0.3463093041370266,False
25.48915879983308,51.44971143416436,95.21256734174209,0.09521256734174209,9265.338074173347,1000.6382558388262,10.0,329.99065118584974,-0.3041829741875622,False
25.489198021495017,51.44968633832471,100.2373909557018,0.1002373909557018,10371.604227818048,1058.69152222139,9.9,330.0183622651881,-0.24568231492972198,False
25.489237319341864,51.44966122180209,105.27055787768528,0.10527055787768527,13574.933488823192,1211.198495020249,9.8,330.0394963813771,-0.2052093440735671,False
25.489276413327804,51.4496362568532,110.27654114827055,0.11027654114827055,14056.766469495706,1232.5063974634509,9.7,330.05980007318925,-0.18050533970672747,False
25.489315319804547,51.44961143198214,115.2574884191524,0.1152574884191524,12250.848768877098,1150.6137422577094,9.7,330.0830862203044,-0.16083170800502836,False
25.48935439971008,51.44958651987105,120.25945857796953,0.12025945857796952,18180.20457015661,1401.670232285373,9.7,330.0988078909495,-0.1435840229730088,False
25.48939345883159,51.449561636803125,125.25797311491752,0.12525797311491751,20029.72118700216,1471.2413392529843,9.7,330.1130739521193,-0.1435840229730088,False
25.48943252540295,51.44953676331861,130.25671971629765,0.13025671971629765,21890.83671518116,1538.0754778833234,9.7,330.12612640589117,-0.13121978214162494,False
25.489471586982717,51.4495119061167,135.25416823853908,0.13525416823853909,21045.152493785583,1508.0734904970072,9.8,330.1397019664,-0.11876558844599389,False
25.489510658162743,51.44948705643528,140.25215946239058,0.14025215946239059,15948.624418881078,1312.828761541369,9.9,330.1576408485305,-0.10882449739776222,False
25.489549853143345,51.449462146079775,145.26507912400345,0.14526507912400344,21081.43344901519,1509.372858268422,10.0,330.17121912517666,-0.09607433933641116,False
25.489588966618424,51.44943730116367,150.26688914939552,0.1502668891493955,17235.65282139895,1364.7727298066911,10.0,330.18781414183206,-0.09890971522757605,False
25.48962812090112,51.4494124470094,155.27307971717948,0.1552730797171795,14702.471636080934,1260.4964951151169,10.1,330.20729868997705,-0.10738404123312477,False
25.489667376304205,51.449387548299065,160.29121381448638,0.16029121381448638,13208.0690000737,1194.7199941024694,10.2,330.2289828423577,-0.14120311348849326,False
25.48970653265889,51.44936273419842,165.29559333140327,0.16529559333140326,12253.833994508095,1150.7539216231885,10.3,330.25229867973496,-0.16346648836751945,False
25.489745617174822,51.44933798899557,170.28961977815888,0.17028961977815887,11296.943579667915,1104.9101094415914,10.3,330.2775754840212,-0.18823328793348337,False
25.48978475198131,51.449313237311735,175.28880172709887,0.17528880172709888,9010.63026106866,986.7884373044184,10.3,330.3091931654983,-0.2130237252083702,False
25.489823684658656,51.449288645009815,180.2605844831068,0.1802605844831068,7353.731071117959,891.4568758573023,10.3,330.34782790101127,-0.2130237252083702,False
25.48986263568592,51.44926407965077,185.232783921784,0.185232783921784,5675.339373283672,783.1453715875947,10.3,330.39807588464606,-0.23777488537615982,False
25.4899018994304,51.44923936754629,190.2423821731063,0.1902423821731063,11584.6325248652,1118.890530695165,10.2,330.42278068083544,-0.25508095815210896,False
25.489941147569898,51.44921469004834,195.2487532967984,0.19524875329679842,11370.420378015198,1108.4975255606814,10.1,330.4479613099678,-0.26745775599297333,False
25.48998046412003,51.4491899948308,200.262590133342,0.200262590133342,16245.359790475555,1324.9855269635705,10.0,330.46559013188096,-0.27976205779393964,False
25.490019738513432,51.44916534377175,205.27017046141492,0.2052701704614149,20545.524741292087,1490.0645624925862,9.8,330.47951024803655,-0.28693058903655544,False
25.490058950980128,51.44914074551372,210.26916147291092,0.21026916147291091,22336.278336810137,1553.6452933578266,9.6,330.49230531604496,-0.2883680706672411,False
25.49009817671188,51.44911615174068,215.26920636046123,0.21526920636046123,25303.55728150606,1653.6258683868682,9.4,330.5036024750781,-0.2941365528293086,False
25.490137409827668,51.44909156464353,220.2696301450099,0.2202696301450099,27823.478387887066,1734.01232002678,9.2,330.5138739405083,-0.2970150658546453,False
25.49017661922064,51.44906700268326,225.26651970246309,0.22526651970246309,24135.43658535796,1615.0056532571073,9.0,330.5257173304467,-0.29207227881195574,False
25.490215884969466,51.44904241727726,230.27000193095807,0.23027000193095806,28334.39725229385,1749.8606157313643,8.8,330.5358101462518,-0.28569261537855317,False
25.49025512920261,51.44901785543863,235.2702408449697,0.2352702408449697,26246.050476896504,1684.1409938139846,8.6,330.5467033725866,-0.25985715293490047,False
25.49029438879461,51.44899329488641,240.27189528654125,0.24027189528654125,22716.560489877145,1566.8151243197565,8.4,330.5592865478281,-0.25452519702787146,False
25.490333634214995,51.448968755783575,245.271119419512,0.245271119419512,18695.83131417627,1421.4083349959064,8.3,330.5745727124942,-0.2347119962604591,False
25.490372897507367,51.4489442207972,250.27186117794795,0.250271861177948,16309.582668730156,1327.6019802178494,8.1,330.59208553602247,-0.2147643358302337,False
25.490412117169097,51.44891973056969,255.26617804787804,0.25526617804787805,11421.60008550077,1110.9894687060755,7.9,330.6171133266596,-0.21254904656053292,False
25.49045147132302,51.44889518144092,260.2763780314726,0.2602763780314726,7517.12703865326,901.3063114175228,7.6,330.6551807530926,-0.1950096749515171,False
25.490490807216048,51.44887068181407,265.2823656495086,0.26528236564950863,5770.316574889178,789.6711787104084,7.4,330.70484320075667,-0.20329843180293708,False
25.490530312906287,51.4488461263253,270.30749433567894,0.27030749433567897,3697.185028778404,632.0945709445657,7.2,330.78248207875623,-0.2129418862063801,False
25.49056983517075,51.44882163847412,275.3308838962357,0.2753308838962357,2209.19852519526,488.6116747012245,7.2,330.9117291995035,-0.2300898716161456,False
25.490609008866016,51.44879749494476,280.3036539335839,0.2803036539335839,1665.032621955973,424.1874747745521,7.3,331.0812573046642,-0.24724736538333228,False
25.490647748722207,51.44877378480614,285.2132215244281,0.2852132215244281,1559.2726876549727,410.4946518115704,7.4,331.2626684266151,-0.24724736538333228,False
25.49068722475329,51.44874980451098,290.20729899311925,0.29020729899311926,2249.9725195978463,493.1000813997901,7.5,331.390115818148,-0.2673514164318333,False
25.490727157157263,51.448725674812266,295.2529163868818,0.2952529163868818,8151.092757412649,938.543453960232,7.6,331.4254696664829,-0.288738998430783,False
25.490767076549663,51.44870158836279,300.2951790651859,0.3002951790651859,270586.7775395023,5407.540149170442,7.7,331.4265409660162,-0.29736980079514475,False
25.490806915594906,51.44867755145499,305.32724169362507,0.3053272416936251,3691.018388323916,631.5672066615437,7.7,331.34910556692427,-0.3065806361425476,False
25.490846285924828,51.448653720851055,310.3038012550288,0.3103038012550288,3636.393288474025,626.8763578647635,8.0,331.27117620464236,-0.2945528023854492,False
25.4908853906784,51.448629974421,315.25050438066035,0.3152505043806603,3893.5209187405535,648.6609047759073,8.4,331.1982147062902,-0.2945528023854492,False
25.490924895749284,51.4486059123623,320.2513729891294,0.32025137298912937,6330.361646962288,827.1051558827376,8.7,331.1530978432615,-0.26512648821316215,False
25.49096438312865,51.448581816192245,325.25218804136034,0.32525218804136036,8369.216623248167,951.0182953318484,9.1,331.1189740687258,-0.17630074868622078,False
