distance_km,grade_pct,zone_type,stop_event,v_kmh,active_motor,motor_phase
1.251,0.29702970297030173,straight,False,29.48207064439662,BG 42x30 dCore,cruise
1.252,0.29702970297030173,straight,False,29.49040890161447,BG 42x30 dCore,cruise
1.253,0.29702970297030173,straight,False,29.498721626209655,BG 42x30 dCore,cruise
1.254,0.29702970297030173,straight,False,29.507011759539274,BG 42x30 dCore,cruise
1.255,0.3019801980198089,straight,False,29.51527646400337,BG 42x30 dCore,cruise
1.256,0.30445544554455584,straight,False,29.52327428268449,BG 42x30 dCore,cruise
1.257,0.30693069306931164,straight,False,29.531156399874675,BG 42x30 dCore,cruise
1.258,0.30940594059405857,straight,False,29.538907480931705,BG 42x30 dCore,cruise
1.259,0.3143564356435702,straight,False,29.54651002741564,BG 42x30 dCore,cruise
1.26,0.3193069306930685,straight,False,29.553875714366374,BG 42x30 dCore,cruise
1.261,0.32425742574257566,straight,False,29.56101806086274,BG 42x30 dCore,cruise
1.262,0.3292079207920784,straight,False,29.5679146818885,BG 42x30 dCore,cruise
1.263,0.3366336633663325,straight,False,29.57454722877381,BG 42x30 dCore,cruise
1.264,0.34405940594059103,straight,False,29.580844015385257,BG 42x30 dCore,cruise
1.265,0.3514851485148496,straight,False,29.5868116368938,BG 42x30 dCore,cruise
1.266,0.3589108910891037,straight,False,29.592434888592937,BG 42x30 dCore,cruise
1.267,0.36881188118810915,straight,False,29.59771970731652,BG 42x30 dCore,cruise
1.268,0.3762376237623677,straight,False,29.60256058173509,BG 42x30 dCore,cruise
1.269,0.38366336633662623,straight,False,29.607080918803,BG 42x30 dCore,cruise
1.27,0.3910891089108848,straight,False,29.611222606472637,BG 42x30 dCore,cruise
1.271,0.40099009900989907,straight,False,29.615045420067386,BG 42x30 dCore,cruise
1.272,0.41089108910891353,straight,False,29.618427589730068,BG 42x30 dCore,cruise
1.273,0.4207920792079278,straight,False,29.621364792526226,BG 42x30 dCore,cruise
1.274,0.4282178217821864,straight,False,29.62382798211501,BG 42x30 dCore,cruise
1.275,0.43564356435644486,straight,False,29.625967766866573,BG 42x30 dCore,cruise
1.276,0.44306930693070345,straight,False,29.627784814415804,BG 42x30 dCore,cruise
1.277,0.450495049504962,straight,False,29.62925790308218,BG 42x30 dCore,cruise
1.278,0.457920792079225,straight,False,29.630395898697106,BG 42x30 dCore,cruise
1.279,0.46782178217823933,straight,False,29.63121857758464,BG 42x30 dCore,cruise
1.28,0.4777227722772448,straight,False,29.631609502934502,BG 42x30 dCore,cruise
1.281,0.4826732673267431,straight,False,29.631544508199635,BG 42x30 dCore,cruise
1.282,0.4876237623762459,straight,False,29.631258891355532,BG 42x30 dCore,cruise
1.283,0.49257425742573974,straight,False,29.63076425243379,BG 42x30 dCore,cruise
1.284,0.49752475247524686,straight,False,29.630055261042042,BG 42x30 dCore,cruise
1.285,0.502475247524754,straight,False,29.629101786097124,BG 42x30 dCore,cruise
1.286,0.5074257425742523,straight,False,29.627934777699085,BG 42x30 dCore,cruise
1.287,0.5123762376237595,straight,False,29.626560298417736,BG 42x30 dCore,cruise
1.288,0.5173267326732622,straight,False,29.62496459344346,BG 42x30 dCore,cruise
1.289,0.5222772277227739,straight,False,29.623128388101364,BG 42x30 dCore,cruise
1.29,0.5272277227722721,straight,False,29.621085803963037,BG 42x30 dCore,cruise
1.291,0.5321782178217793,straight,False,29.618834377709288,BG 42x30 dCore,cruise
1.292,0.537128712871282,straight,False,29.61634613339408,BG 42x30 dCore,cruise
1.293,0.5420792079207892,straight,False,29.61364124637526,BG 42x30 dCore,cruise
1.294,0.547029702970292,straight,False,29.61072287787057,BG 42x30 dCore,cruise
1.295,0.5495049504950433,straight,False,29.607597071900614,BG 42x30 dCore,cruise
1.296,0.554455445544555,straight,False,29.604361893248896,BG 42x30 dCore,cruise
1.297,0.5594059405940532,straight,False,29.600914019506664,BG 42x30 dCore,cruise
1.298,0.5668316831683162,straight,False,29.59726242189397,BG 42x30 dCore,cruise
1.299,0.5742574257425703,straight,False,29.593295246563542,BG 42x30 dCore,cruise
1.3,0.5816831683168289,straight,False,29.588961254348973,BG 42x30 dCore,cruise
1.301,0.5891089108910874,straight,False,29.584309755587736,BG 42x30 dCore,cruise
1.302,0.5965346534653415,straight,False,29.579355693042576,BG 42x30 dCore,cruise
1.303,0.6039603960396001,straight,False,29.574079362876017,BG 42x30 dCore,cruise
1.304,0.6113861386138586,straight,False,29.568442982581132,BG 42x30 dCore,cruise
1.305,0.6188118811881171,straight,False,29.562496719580903,BG 42x30 dCore,cruise
1.306,0.6262376237623757,straight,False,29.55624096855705,BG 42x30 dCore,cruise
