turn_no,dist_start_km,dist_end_km,length_m_approx,direction,cumulative_angle_deg,r_min_m,r_max_m,confidence,v_safe_kmh
1,0.517,0.786,269,CW,159.0,42.1,2982.7,Racing-line QP (WIDTH_MAX=13m),67.5
2,0.791,0.889,98,CCW,-11.81,182.2,7756.2,Racing-line QP (WIDTH_MAX=13m),140.3
3,1.015,1.077,62,CCW,-20.05,58.2,2374.3,Racing-line QP (WIDTH_MAX=13m),79.3
4,1.083,1.147,64,CW,44.96,99.7,14415.6,Racing-line QP (WIDTH_MAX=13m),103.8
5,1.153,1.227,74,CCW,-19.07,160.1,505.1,Racing-line QP (WIDTH_MAX=13m),131.5
6,1.315,1.442,127,CCW,-20.22,87.3,1332.8,Racing-line QP (WIDTH_MAX=13m),97.1
7,1.829,1.975,146,CW,64.11,62.2,1381.1,Racing-line QP (WIDTH_MAX=13m),82.0
8,2.04,2.146,106,CW,57.48,61.8,975.3,Racing-line QP (WIDTH_MAX=13m),81.7
9,2.246,2.357,111,CW,66.68,69.9,942.3,Racing-line QP (WIDTH_MAX=13m),86.9
10,2.561,2.682,121,CCW,-71.25,33.9,5583.0,Racing-line QP (WIDTH_MAX=13m),60.5
11,3.006,3.176,170,CW,119.64,44.2,6467.9,Racing-line QP (WIDTH_MAX=13m),69.1
