s_m,x_m,y_m,lat,lon,alpha_m,radius_m,v_safe_kmh,station_shell_m
0.0,-320.74219417234764,-49.55272136211694,25.488415852960205,51.45018741356243,-4.262654123247268,1242.1002872317251,366.37412853019435,0.0
5.223524091758317,-323.3302005856713,-45.01538439625524,25.488456810871458,51.45016167989994,-4.246052470013661,1525.8146332279932,406.066680406635,5.0
10.2014187964106,-325.81095037718563,-40.699678641398116,25.48849576814852,51.45013701273625,-4.208297887447008,2345.329891037917,503.44083219540204,10.0
15.185423535453964,-328.3039163494083,-36.383960404517204,25.488534725538255,51.4501122241018,-4.111039015509547,3360.0949378534524,602.590445696919,15.0
20.193905701219883,-330.8155717056484,-32.05077670471103,25.4885738405863,51.45008724963076,-4.005781861813365,4261.472153369187,678.6194373426551,20.0
25.19999877471134,-333.3311163660997,-27.722612784324706,25.488612910321496,51.4500622364867,-3.9046642484022054,5701.379017303223,784.9399328660421,25.0
30.200335127485587,-335.84756111569635,-23.401632633583077,25.488651915209797,51.45003721439266,-3.7943571288910505,7781.435191896543,917.014746678196,30.0
35.19356512303047,-338.3631997743363,-19.08840786230517,25.488690850091363,51.45001220031393,-3.676202939725311,14407.925783183897,1247.806370914295,35.0
40.20207593336746,-340.8880385723289,-14.762859390560383,25.488729896217265,51.44998709475425,-3.5312180078867,20363.717967204557,1483.4571429647626,40.0
45.21641503002024,-343.41688112727263,-10.43289958606723,25.488768982163656,51.44996194938349,-3.420254165818964,25215.022487357826,1650.7303918388366,45.0
50.22344031167242,-345.94289429954375,-6.109757253849042,25.48880800656967,51.449936832146506,-3.3039803026563628,89105.94440034128,3103.12882898437,50.0
55.23317301975447,-348.47051646995897,-1.784419351435804,25.488847050794792,51.449911698910554,-3.2029846521917857,609509.3058507952,8115.8990737321055,55.0
60.23928324418042,-350.99627543132715,2.537811698400654,25.488886066974786,51.449886584201295,-3.107831909376738,29267.63148649472,1778.4442530329043,60.0
65.26019169505861,-353.52875800058484,6.873253280120546,25.488925202404417,51.44986140263631,-3.019159952518863,44936.57037111319,2203.66933836097,65.0
70.2505124709438,-356.0453325234402,11.1825634473221,25.4889641019494,51.44983637925188,-2.987442129273884,24328.800075631952,1621.4621378932397,70.0
75.22165849044302,-358.55135849695193,15.475828704357527,25.489002856659198,51.449811460756216,-2.863295035511083,14736.872234765697,1261.9702779065499,75.0
80.19022295768362,-361.0546358238579,19.767708885551357,25.489041598866113,51.44978656959153,-2.7274643188541376,8142.056613240304,938.023084119349,80.0
85.19848404831043,-363.57526222647397,24.09542441343916,25.48908066455373,51.449761505917515,-2.4797216009709078,13347.89652380456,1201.0273101483272,85.0
90.21067883410373,-366.09624254080205,28.427485680954177,25.489119769469735,51.4497364387244,-2.3500996930332883,19411.658061977836,1448.3642067233766,90.0
95.21256734174209,-368.61092391560726,32.75128796899331,25.489158799833078,51.44971143416436,-2.138684425302498,9265.338074173349,1000.6382558388262,95.0
100.23739095570181,-371.13478518081655,37.096282406893486,25.489198021495017,51.44968633832471,-1.9959178404060054,10371.604227818047,1058.69152222139,100.0
105.27055787768529,-373.6607265097733,41.44971664519509,25.489237319341864,51.44966122180209,-1.8925282992910193,13574.933488823192,1211.198495020249,105.0
110.27654114827055,-376.17142423414225,45.78056707464059,25.489276413327804,51.449636256853196,-1.918375561181686,14056.766469495706,1232.5063974634509,110.0
115.2574884191524,-378.6680344828013,50.090645146044366,25.489315319804547,51.44961143198214,-1.8432602022214513,12250.848768877098,1150.6137422577094,115.0
120.25945857796953,-381.17341836739934,54.41993574156849,25.48935439971008,51.44958651987105,-1.7671194140882025,18180.204570156606,1401.670232285373,120.0
125.25797311491752,-383.67588141177083,58.74692387277885,25.48939345883159,51.449561636803125,-1.6996837947510277,20029.721187002157,1471.2413392529843,125.0
130.25671971629765,-386.17738066309374,63.07473730226496,25.48943252540295,51.44953676331861,-1.6109008098065454,21890.836715181158,1538.0754778833234,130.0
135.25416823853908,-388.6772423914485,67.4019977602869,25.489471586982713,51.4495119061167,-1.530821446264583,21045.152493785583,1508.0734904970072,135.0
140.25215946239058,-391.17634779128764,71.73032174009612,25.489510658162743,51.44948705643528,-1.4195908804664998,15948.624418881078,1312.828761541369,140.0
145.26507912400345,-393.68155511803076,76.07236040687667,25.489549853143345,51.449462146079775,-1.3174585798825635,21081.43344901519,1509.372858268422,145.0
150.26688914939552,-396.1801812754283,80.40536985247927,25.489588966618424,51.44943730116367,-1.2946295054809775,17235.65282139895,1364.7727298066911,150.0
