s_m,grade_pct,heading_deg,v_safe_kmh,r_min_m,stop_event,lap,distance_km,altitude_m,v_kmh,weather_scenario,motor_name,fc_name,active_motor
0.0,-0.8290370374079981,330.34484999406027,366.41422193653057,1242.372155535356,True,1,0.0,11.7,0.0,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
10.201419080871254,-0.841175336255639,330.08559529987804,503.4781387345691,2345.6774964672454,False,1,0.010201419080871254,11.8,14.4,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
20.193906526567613,-0.8546524336293775,329.9509541171386,678.6702000149966,4262.109717793444,False,1,0.020193906526567613,11.9,19.8,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
30.20033638770401,-0.8410597532290831,329.87930877509484,917.0840800706978,7782.611909496834,False,1,0.03020033638770401,11.8,23.400000000000002,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
40.20207774386499,-0.7952008740012833,329.8496779457267,1483.6146262319246,20368.041806388308,False,1,0.04020207774386499,11.8,26.1,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
50.22344209473759,-0.70564750034028,329.8410430130939,3103.7357596396746,89140.80368010786,False,1,0.05022344209473759,11.7,27.900000000000002,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
60.239284970841624,-0.5918129175371927,329.85426343320324,1778.4295455619708,29267.147410529156,False,1,0.060239284970841626,11.5,29.7,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
70.2505141573693,-0.49240683939221086,329.87879142218003,1261.996178328276,14737.47715411976,False,1,0.0702505141573693,11.1,30.6,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
80.19022834460228,-0.4219889792399426,329.9341671602107,938.0377547862192,8142.311298516871,False,1,0.08019022834460228,10.7,31.5,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
90.2106842351089,-0.32524614150432574,329.9750976475589,1000.6719475791332,9265.962017177268,False,1,0.0902106842351089,10.3,31.5,typical_january,"BLDC 650W + BG 42x30 dCore (two-motor, rule mode)",SZFC-1000,BLDC 650W
