#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1751.0,+154/-108,0.852,8.6,2.44,5.35,36.24,5.432,✔️,0.0,False,GPU,model,
1,📊,System,[TabFM+](https://github.com/google-research/tabfm),1742.0,+172/-118,0.849,8.93,2.4,5.447,27.53,6.622,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1707.0,+117/-66,0.717,10.3,5.09,9.868,12.38,0.674,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1682.0,+115/-64,0.722,11.41,5.15,11.842,5.27,0.436,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1655.0,+88/-54,0.653,12.66,6.63,10.532,7.44,0.485,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1637.0,+96/-56,0.642,13.54,6.68,13.271,3.85,0.374,✔️,0.0,False,GPU,model,
6,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1583.0,+94/-75,0.541,16.57,7.07,10.972,368.19,6.655,✔️,0.0,False,GPU,system,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1571.0,+122/-80,0.596,17.28,8.08,13.533,2.09,0.152,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1560.0,+94/-62,0.53,18.02,10.12,14.599,5.48,0.433,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1550.0,+76/-40,0.505,18.61,13.19,15.163,5.96,0.554,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1549.0,+120/-59,0.487,18.72,10.55,14.666,2052.28,8.252,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1525.0,+110/-51,0.46,20.29,10.37,15.246,2052.28,1.265,✔️,0.0,False,GPU,model,
