,TabFM (default),TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),Mitra (default),TabPFNv2 (T+E),LimiX (default),TabDPT-Turbo (default),TabICL (default),RealMLP (T+E),TabM (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT (T+E),BetaTabPFN (default),TabSwift (default),LightGBM (T+E),iLTM (T+E),SAP-RPT-OSS (default),CatBoost (T+E),ChimeraBoost (T+E),xRFM (T+E),ModernNCA (T+E),XGBoost (T+E),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),TabSTAR (T+E),OrionMSP (default),ExtraTrees (T+E),PerpetualBooster (T+E),RandomForest (T+E),TabFlex (default),Linear (T+E),KNN (T+E)
Mitra (default),0.13544974,0.12857144,0.1820106,0.17037039,0.23756616,0.20793651,0.35211644,0.3399471,0.34656087,0.30317464,,0.51481485,0.49232805,0.5962963,0.5772487,0.5962963,0.6624339,0.6132275,0.58941793,0.68412715,0.65608466,0.6687831,0.7002645,0.7455027,0.73068786,0.7746032,0.731746,0.7412699,0.75529104,0.83809525,0.8201058,0.83174604,0.7740741,0.7928571,0.8507937,0.82169306,0.85449743,0.8904762,0.91216934,0.89523804
TabPFNv2 (T+E),0.0957672,0.09312171,0.119312175,0.1457672,0.18862434,0.21904764,0.2968254,0.29417995,0.32857147,0.30846563,0.48518518,,0.4809524,0.54708993,0.52751327,0.6309524,0.64074075,0.64285713,0.5582011,0.6642857,0.61428577,0.66587305,0.68624336,0.67433864,0.68994707,0.7761905,0.7650793,0.7804233,0.7415345,0.7933863,0.7534392,0.77116406,0.7449736,0.77301586,0.8510583,0.8243386,0.8973545,0.8396825,0.88042325,0.93333346
LimiX (default),0.07804233,0.08359789,0.15608466,0.14814815,0.2179894,0.23174603,0.28941798,0.2669312,0.2873016,0.29153436,0.50767195,0.5190476,,0.47248676,0.5513228,0.6132275,0.6206349,0.62010586,0.54365087,0.59576726,0.5910053,0.6814815,0.7775132,0.75026447,0.7169312,0.80423284,0.7222223,0.7375661,0.74867725,0.78518516,0.77830684,0.73518515,0.7402116,0.8108466,0.82222223,0.84338623,0.85449725,0.8063493,0.873545,0.8767196
TabDPT-Turbo (default),0.12645504,0.14338624,0.16666667,0.20740743,0.18201059,0.24074075,0.36031747,0.2814815,0.35026458,0.4005291,0.4037037,0.45291007,0.5275132,,0.47830692,0.5947091,0.55740744,0.562963,0.61587304,0.56243384,0.6801588,0.62169313,0.64973545,0.65555555,0.6804233,0.68095237,0.69312173,0.64656085,0.6952381,0.710582,0.7322751,0.80529106,0.752381,0.8513228,0.8261905,0.8333333,0.884127,0.9121694,0.878836,0.9391535
TabICL (default),0.07724868,0.089417994,0.089417994,0.14391534,0.13333334,0.19708994,0.22619048,0.2357143,0.27460316,0.32513228,0.42275134,0.47248676,0.44867724,0.5216931,,0.5280423,0.5724868,0.573545,0.5828042,0.5793651,0.61322755,0.6396826,0.71137565,0.7084657,0.6883598,0.7031747,0.7529101,0.7195767,0.74973553,0.72380954,0.8005291,0.79629636,0.74179894,0.8216931,0.8645503,0.88253963,0.8830688,0.86931217,0.878836,0.93597883
RealMLP (T+E),0.10846561,0.10634921,0.14444445,0.12222223,0.17089948,0.15396826,0.18015875,0.21746032,0.22116405,0.26031744,0.40370375,0.3690476,0.3867725,0.40529102,0.47195765,,0.5015873,0.49814814,0.48333332,0.53015876,0.49523807,0.67777777,0.7343916,0.6259259,0.74126995,0.6873015,0.7306879,0.6555556,0.7751323,0.74021167,0.7650793,0.8092593,0.7285715,0.7502645,0.8095238,0.8984126,0.87460315,0.7994709,0.8645503,0.8904761
TabM (T+E),0.111640215,0.10608465,0.12063493,0.12380953,0.17142856,0.16984127,0.1719577,0.22010583,0.22116405,0.23650797,0.33756614,0.35925928,0.37936512,0.44259262,0.42751318,0.49841276,,0.5068784,0.5060847,0.5619048,0.54550266,0.64761907,0.6642858,0.637037,0.67460316,0.662963,0.6449736,0.6693122,0.7301587,0.7746032,0.75291,0.7539683,0.7354497,0.7095237,0.79365087,0.8513227,0.8158731,0.815873,0.88994706,0.87724864
"AutoGluon 1.4 (best, 4h)",0.088359796,0.083068796,0.112698406,0.13280423,0.14285715,0.20899473,0.15238097,0.20476191,0.21005292,0.20899473,0.3867725,0.35714287,0.3798942,0.43703705,0.42645505,0.5018519,0.49312174,,0.5037038,0.5460318,0.5124339,0.6608466,0.6592593,0.5825397,0.71164024,0.6687831,0.65370375,0.6232804,0.7571429,0.68412703,0.7804233,0.7650793,0.71851856,0.7230159,0.73968256,0.9089948,0.8492064,0.81164026,0.860582,0.90423286
TabDPT (T+E),0.096296296,0.09788361,0.08333334,0.1457672,0.08783069,0.16878307,0.22962964,0.22248676,0.2804233,0.31322753,0.41058204,0.44179893,0.45634913,0.38412702,0.41719577,0.5166667,0.49391538,0.4962963,,0.4883598,0.5399471,0.5428571,0.62010586,0.64656085,0.60952383,0.63068783,0.6642858,0.6613757,0.6071429,0.6833334,0.691799,0.7333333,0.70105815,0.8063493,0.82592595,0.81798935,0.88148147,0.8412698,0.8396825,0.90714294
BetaTabPFN (default),0.12619047,0.14232805,0.14444445,0.12592593,0.1936508,0.18333335,0.24603176,0.21269841,0.25714287,0.23756613,0.315873,0.33571428,0.40423283,0.43756622,0.4206349,0.46984124,0.43809527,0.45396823,0.51164025,,0.5370371,0.6074074,0.5878307,0.6121693,0.5835979,0.62222224,0.6465609,0.58888894,0.6645502,0.72962964,0.668254,0.6973545,0.7751323,0.71428573,0.80793655,0.78518516,0.8582011,0.82222223,0.9137566,0.9026456
