#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠🔁,Neural Network,RealMLP (tuned + ensembled),1278.0,+31/-27,0.494,7.84,4.31,10.996,1303.63,13.741,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,TabPFN-3 (default),1276.0,+45/-43,0.594,7.9,2.71,8.468,19.77,3.456,✔️,0.0,False,GPU
2,🧠⚡,Foundation Model,TabPFN-2.6 (default) [14.65% IMPUTED],1221.0,+42/-39,0.498,9.56,3.52,11.134,24.91,2.368,✔️,14.65,True,GPU
3,🧠🔁,Neural Network,TabM (tuned + ensembled),1214.0,+30/-27,0.364,9.79,5.55,12.417,1079.03,7.011,✔️,0.0,False,GPU
4,🌳,Tree-based,CatBoost (tuned + ensembled),1207.0,+28/-22,0.348,9.99,6.02,12.873,431.45,1.13,✔️,0.0,False,CPU
5,🧠🔁,Neural Network,RealMLP (tuned),1204.0,+31/-23,0.382,10.09,5.22,12.567,1303.63,1.646,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,TabICLv2 (default),1204.0,+43/-41,0.504,10.11,3.32,10.809,11.68,2.38,✔️,0.0,False,GPU
7,🌳,Tree-based,CatBoost (tuned),1191.0,+26/-24,0.333,10.51,6.13,13.044,431.45,0.205,✔️,0.0,False,CPU
8,🌳,Tree-based,LightGBM (tuned + ensembled),1185.0,+28/-22,0.319,10.74,6.53,13.611,151.08,2.401,✔️,0.0,False,CPU
9,🧠🔁,Neural Network,TabM (tuned),1173.0,+28/-30,0.299,11.14,6.01,13.173,1079.03,1.012,✔️,0.0,False,GPU
10,🌳,Tree-based,LightGBM (tuned),1145.0,+28/-22,0.264,12.07,7.34,14.171,151.08,0.578,✔️,0.0,False,CPU
11,🌳,Tree-based,XGBoost (tuned + ensembled),1141.0,+31/-24,0.263,12.22,7.94,15.266,270.68,6.023,✔️,0.0,False,CPU
12,🌳,Tree-based,CatBoost (default),1133.0,+31/-20,0.262,12.5,8.27,14.627,13.17,0.162,✔️,0.0,False,CPU
13,🌳,Tree-based,XGBoost (tuned),1119.0,+28/-24,0.22,12.98,8.37,15.487,270.68,1.73,✔️,0.0,False,CPU
14,🧠🔁,Neural Network,TabM (default),1101.0,+26/-26,0.22,13.6,8.69,14.797,29.29,0.957,✔️,0.0,False,GPU
15,🧠🔁,Neural Network,RealMLP (default),1053.0,+21/-26,0.161,15.26,9.14,16.664,44.4,1.567,✔️,0.0,False,GPU
16,🧠⚡,Foundation Model,TabDPT (default) [14.65% IMPUTED],1049.0,+38/-47,0.245,15.43,6.2,18.248,108.07,10.559,✔️,14.65,True,GPU
17,🌳,Tree-based,ExtraTrees (tuned + ensembled),1013.0,+21/-30,0.086,16.66,11.75,18.837,110.05,1.51,✔️,0.0,False,CPU
18,🌳,Tree-based,XGBoost (default),1000.0,+30/-24,0.117,17.1,12.46,18.237,6.69,1.353,✔️,0.0,False,CPU
19,🌳,Tree-based,LightGBM (default),989.0,+26/-21,0.07,17.47,13.42,18.409,3.44,0.228,✔️,0.0,False,CPU
20,🌳,Tree-based,ExtraTrees (tuned),979.0,+28/-34,0.069,17.82,12.22,19.652,110.05,0.272,✔️,0.0,False,CPU
21,🌳,Tree-based,RandomForest (tuned + ensembled),962.0,+23/-28,0.062,18.35,13.59,20.032,143.1,1.542,✔️,0.0,False,CPU
22,🌳,Tree-based,RandomForest (tuned),940.0,+26/-32,0.048,19.07,14.45,20.594,143.1,0.436,✔️,0.0,False,CPU
23,📏,Baseline,Linear (tuned + ensembled),881.0,+29/-40,0.091,20.84,11.84,26.942,204.92,0.895,✔️,0.0,False,CPU
24,🌳,Tree-based,RandomForest (default),874.0,+30/-34,0.042,21.02,15.78,22.699,9.98,0.746,✔️,0.0,False,CPU
25,🌳,Tree-based,ExtraTrees (default),866.0,+37/-42,0.058,21.27,14.15,23.462,6.19,0.787,✔️,0.0,False,CPU
26,📏,Baseline,Linear (tuned),851.0,+32/-44,0.076,21.67,12.79,27.725,204.92,0.204,✔️,0.0,False,CPU
27,📏,Baseline,Linear (default),796.0,+38/-52,0.055,23.02,15.57,30.204,6.33,0.216,✔️,0.0,False,CPU
