,TabFM (default),TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.5 (extreme, 4h)",LimiX (default),RealMLP (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT-Turbo (default),TabPFNv2 (T+E),Mitra (default),TabDPT (T+E),TabSwift (default),TabM (T+E),TabICL (default),BetaTabPFN (default),iLTM (T+E),ChimeraBoost (T+E),LightGBM (T+E),CatBoost (T+E),EBM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),xRFM (T+E),ModernNCA (T+E),TorchMLP (T+E),TabSTAR (T+E),FastaiMLP (T+E),PerpetualBooster (T+E),ExtraTrees (T+E),OrionMSP (default),RandomForest (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
LimiX (default),0.0952381,0.14285715,0.14285715,0.1904762,0.1904762,0.33333334,0.3809524,0.2857143,0.33333334,0.42857143,,0.61904764,0.52380955,0.52380955,0.61904764,0.5714286,0.47619048,0.5714286,0.6666667,0.5714286,0.6666667,0.7380952,0.8095238,0.8095238,0.71428573,0.8095238,0.7619048,0.8095238,0.7619048,0.7619048,0.8095238,0.7619048,0.7619048,0.8095238,0.85714287,0.88095236,0.85714287,0.85714287,0.95238096,0.95238096
RealMLP (T+E),0.1904762,0.1904762,0.23809524,0.14285715,0.23809524,0.23809524,0.2857143,0.3809524,0.33333334,0.2857143,0.3809524,,0.5714286,0.52380955,0.47619048,0.5714286,0.52380955,0.5714286,0.6666667,0.61904764,0.6666667,0.7619048,0.6666667,0.8095238,0.9047619,0.8095238,0.8095238,0.7619048,0.71428573,0.7619048,0.8095238,0.6666667,0.85714287,0.9047619,0.85714287,0.9047619,0.8095238,0.8095238,0.95238096,0.95238096
"AutoGluon 1.4 (best, 4h)",0.0952381,0.14285715,0.0952381,0.1904762,0.1904762,0.3809524,0.23809524,0.33333334,0.3809524,0.33333334,0.47619048,0.42857143,,0.5714286,0.47619048,0.5714286,0.52380955,0.5714286,0.6666667,0.61904764,0.6666667,0.7619048,0.6666667,0.7619048,0.7619048,0.6666667,0.7619048,0.71428573,0.7619048,0.6666667,0.85714287,0.71428573,0.8095238,0.9047619,0.85714287,0.9047619,0.9047619,0.9047619,0.95238096,0.95238096
TabDPT-Turbo (default),0.0952381,0.14285715,0.0952381,0.23809524,0.14285715,0.2857143,0.33333334,0.33333334,0.47619048,0.52380955,0.47619048,0.47619048,0.42857143,,0.52380955,0.52380955,0.7619048,0.5952381,0.5714286,0.5714286,0.52380955,0.5714286,0.6666667,0.71428573,0.5714286,0.6666667,0.6666667,0.71428573,0.71428573,0.5714286,0.6666667,0.7619048,0.8095238,0.71428573,0.85714287,0.9047619,0.85714287,0.95238096,1.0,0.9047619
TabPFNv2 (T+E),0.04761905,0.04761905,0.04761905,0.0952381,0.14285715,0.2857143,0.2857143,0.2857143,0.1904762,0.33333334,0.3809524,0.52380955,0.52380955,0.47619048,,0.5,0.47619048,0.5714286,0.6666667,0.64285713,0.71428573,0.61904764,0.61904764,0.71428573,0.6666667,0.8095238,0.8095238,0.6666667,0.71428573,0.8095238,0.7619048,0.6666667,0.7619048,0.7619048,0.8095238,0.8095238,0.95238096,0.8095238,0.95238096,0.95238096
Mitra (default),0.0,0.04761905,0.04761905,0.0952381,0.1904762,0.14285715,0.2857143,0.23809524,0.1904762,0.3809524,0.42857143,0.42857143,0.42857143,0.47619048,0.5,,0.52380955,0.5714286,0.7619048,0.64285713,0.61904764,0.61904764,0.7619048,0.71428573,0.71428573,0.71428573,0.61904764,0.71428573,0.6666667,0.8095238,0.71428573,0.71428573,0.7619048,0.7619048,0.7619048,0.8333333,0.7619048,0.85714287,0.9047619,0.95238096
TabDPT (T+E),0.04761905,0.04761905,0.0952381,0.1904762,0.0952381,0.23809524,0.1904762,0.3809524,0.3809524,0.2857143,0.52380955,0.47619048,0.47619048,0.23809524,0.52380955,0.47619048,,0.52380955,0.52380955,0.52380955,0.47619048,0.61904764,0.61904764,0.5714286,0.6666667,0.61904764,0.61904764,0.71428573,0.61904764,0.61904764,0.61904764,0.71428573,0.6666667,0.6666667,0.8095238,0.95238096,0.7619048,0.9047619,0.9047619,0.9047619
TabSwift (default),0.0952381,0.14285715,0.0952381,0.1904762,0.14285715,0.14285715,0.1904762,0.2857143,0.2857143,0.33333334,0.42857143,0.42857143,0.42857143,0.4047619,0.42857143,0.42857143,0.47619048,,0.42857143,0.3809524,0.47619048,0.47619048,0.47619048,0.52380955,0.61904764,0.6666667,0.5714286,0.71428573,0.71428573,0.61904764,0.52380955,0.7619048,0.85714287,0.6666667,0.8095238,0.85714287,0.71428573,0.95238096,0.95238096,0.95238096
TabM (T+E),0.0952381,0.0952381,0.0952381,0.0952381,0.14285715,0.14285715,0.23809524,0.2857143,0.23809524,0.23809524,0.33333334,0.33333334,0.33333334,0.42857143,0.33333334,0.23809524,0.47619048,0.5714286,,0.5714286,0.52380955,0.5714286,0.61904764,0.61904764,0.61904764,0.6666667,0.61904764,0.6666667,0.61904764,0.6666667,0.6666667,0.7619048,0.7619048,0.71428573,0.71428573,0.7619048,0.7619048,0.85714287,0.85714287,0.9047619
TabICL (default),0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.0952381,0.2857143,0.0952381,0.33333334,0.23809524,0.42857143,0.3809524,0.3809524,0.42857143,0.35714287,0.35714287,0.47619048,0.61904764,0.42857143,,0.47619048,0.64285713,0.52380955,0.52380955,0.52380955,0.5714286,0.61904764,0.71428573,0.61904764,0.61904764,0.8095238,0.71428573,0.8095238,0.7619048,0.8095238,0.8095238,0.8095238,0.85714287,0.9047619,0.95238096
BetaTabPFN (default),0.04761905,0.04761905,0.14285715,0.04761905,0.23809524,0.04761905,0.0952381,0.14285715,0.1904762,0.23809524,0.33333334,0.33333334,0.33333334,0.47619048,0.2857143,0.3809524,0.52380955,0.52380955,0.47619048,0.52380955,,0.61904764,0.5714286,0.6666667,0.61904764,0.71428573,0.71428573,0.61904764,0.6666667,0.5714286,0.61904764,0.71428573,0.6666667,0.71428573,0.8095238,0.71428573,0.85714287,0.8095238,0.95238096,0.95238096
iLTM (T+E),0.14285715,0.14285715,0.0952381,0.14285715,0.14285715,0.23809524,0.23809524,0.14285715,0.23809524,0.23809524,0.26190478,0.23809524,0.23809524,0.42857143,0.3809524,0.3809524,0.3809524,0.52380955,0.42857143,0.35714287,0.3809524,,0.52380955,0.61904764,0.47619048,0.61904764,0.5714286,0.6666667,0.61904764,0.5714286,0.71428573,0.61904764,0.8095238,0.8095238,0.8095238,0.7619048,0.9047619,0.85714287,0.95238096,0.9047619
ChimeraBoost (T+E),0.0952381,0.0952381,0.0952381,0.04761905,0.14285715,0.14285715,0.1904762,0.14285715,0.14285715,0.14285715,0.1904762,0.33333334,0.33333334,0.33333334,0.3809524,0.23809524,0.3809524,0.52380955,0.3809524,0.47619048,0.42857143,0.47619048,,0.61904764,0.61904764,0.61904764,0.61904764,0.61904764,0.5714286,0.61904764,0.61904764,0.6666667,0.6666667,0.71428573,0.71428573,0.7619048,0.8095238,0.8095238,0.85714287,0.9047619
LightGBM (T+E),0.04761905,0.04761905,0.023809524,0.0952381,0.04761905,0.04761905,0.1904762,0.0952381,0.0952381,0.14285715,0.1904762,0.1904762,0.23809524,0.2857143,0.2857143,0.2857143,0.42857143,0.47619048,0.3809524,0.47619048,0.33333334,0.3809524,0.3809524,,0.5714286,0.61904764,0.52380955,0.5714286,0.6666667,0.5714286,0.71428573,0.71428573,0.7619048,0.7619048,0.8095238,0.71428573,0.8095238,0.7619048,1.0,0.95238096
CatBoost (T+E),0.0,0.0,0.0952381,0.04761905,0.14285715,0.0952381,0.1904762,0.14285715,0.0952381,0.0952381,0.2857143,0.0952381,0.23809524,0.42857143,0.33333334,0.2857143,0.33333334,0.3809524,0.3809524,0.47619048,0.3809524,0.52380955,0.3809524,0.42857143,,0.5714286,0.52380955,0.71428573,0.52380955,0.52380955,0.61904764,0.6666667,0.6666667,0.8095238,0.7619048,0.61904764,0.85714287,0.71428573,0.85714287,0.95238096
EBM (T+E),0.0952381,0.0952381,0.04761905,0.0952381,0.04761905,0.1904762,0.1904762,0.14285715,0.1904762,0.23809524,0.1904762,0.1904762,0.33333334,0.33333334,0.1904762,0.2857143,0.3809524,0.33333334,0.33333334,0.42857143,0.2857143,0.3809524,0.3809524,0.3809524,0.42857143,,0.47619048,0.5714286,0.52380955,0.47619048,0.6666667,0.6666667,0.7619048,0.61904764,0.8095238,0.71428573,0.7619048,0.85714287,0.95238096,0.95238096
XGBoost (T+E),0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.0952381,0.1904762,0.1904762,0.0952381,0.14285715,0.23809524,0.1904762,0.23809524,0.33333334,0.1904762,0.3809524,0.3809524,0.42857143,0.3809524,0.3809524,0.2857143,0.42857143,0.3809524,0.47619048,0.47619048,0.52380955,,0.52380955,0.52380955,0.47619048,0.5714286,0.71428573,0.71428573,0.61904764,0.8095238,0.71428573,0.9047619,0.71428573,0.85714287,0.85714287
SAP-RPT-OSS (default),0.0952381,0.0952381,0.14285715,0.0952381,0.14285715,0.1904762,0.1904762,0.1904762,0.1904762,0.23809524,0.1904762,0.23809524,0.2857143,0.2857143,0.33333334,0.2857143,0.2857143,0.2857143,0.33333334,0.2857143,0.3809524,0.33333334,0.3809524,0.42857143,0.2857143,0.42857143,0.47619048,,0.47619048,0.52380955,0.61904764,0.5714286,0.7619048,0.71428573,0.6666667,0.6666667,0.6666667,0.8095238,0.7619048,0.9047619
xRFM (T+E),0.04761905,0.0952381,0.0,0.04761905,0.0,0.0952381,0.0952381,0.0952381,0.14285715,0.0952381,0.23809524,0.2857143,0.23809524,0.2857143,0.2857143,0.33333334,0.3809524,0.2857143,0.3809524,0.3809524,0.33333334,0.3809524,0.42857143,0.33333334,0.47619048,0.47619048,0.47619048,0.52380955,,0.52380955,0.52380955,0.61904764,0.6666667,0.61904764,0.6666667,0.7619048,0.7619048,0.8095238,0.85714287,0.9047619
ModernNCA (T+E),0.0952381,0.04761905,0.0952381,0.04761905,0.0952381,0.0952381,0.0952381,0.0952381,0.14285715,0.14285715,0.23809524,0.23809524,0.33333334,0.42857143,0.1904762,0.1904762,0.3809524,0.3809524,0.33333334,0.3809524,0.42857143,0.42857143,0.3809524,0.42857143,0.47619048,0.52380955,0.52380955,0.47619048,0.47619048,,0.52380955,0.61904764,0.61904764,0.6666667,0.6666667,0.6666667,0.71428573,0.6666667,0.78571427,0.71428573
TorchMLP (T+E),0.0,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.0952381,0.04761905,0.14285715,0.14285715,0.1904762,0.1904762,0.14285715,0.33333334,0.23809524,0.2857143,0.3809524,0.47619048,0.33333334,0.1904762,0.3809524,0.2857143,0.3809524,0.2857143,0.3809524,0.33333334,0.42857143,0.3809524,0.47619048,0.47619048,,0.5714286,0.61904764,0.61904764,0.61904764,0.6666667,0.71428573,0.85714287,0.85714287,0.85714287
TabSTAR (T+E),0.14285715,0.0952381,0.23809524,0.1904762,0.1904762,0.23809524,0.1904762,0.2857143,0.2857143,0.23809524,0.23809524,0.33333334,0.2857143,0.23809524,0.33333334,0.2857143,0.2857143,0.23809524,0.23809524,0.2857143,0.2857143,0.3809524,0.33333334,0.2857143,0.33333334,0.33333334,0.2857143,0.42857143,0.3809524,0.3809524,0.42857143,,0.47619048,0.52380955,0.42857143,0.47619048,0.52380955,0.52380955,0.61904764,0.6666667
FastaiMLP (T+E),0.0952381,0.0952381,0.0952381,0.14285715,0.04761905,0.14285715,0.0,0.14285715,0.1904762,0.1904762,0.23809524,0.14285715,0.1904762,0.1904762,0.23809524,0.23809524,0.33333334,0.14285715,0.23809524,0.1904762,0.33333334,0.1904762,0.33333334,0.23809524,0.33333334,0.23809524,0.2857143,0.23809524,0.33333334,0.3809524,0.3809524,0.52380955,,0.6666667,0.5714286,0.6666667,0.52380955,0.8095238,0.85714287,0.7619048
PerpetualBooster (T+E),0.0,0.0,0.04761905,0.0,0.04761905,0.04761905,0.0952381,0.04761905,0.0952381,0.14285715,0.1904762,0.0952381,0.0952381,0.2857143,0.23809524,0.23809524,0.33333334,0.33333334,0.2857143,0.23809524,0.2857143,0.1904762,0.2857143,0.23809524,0.1904762,0.3809524,0.3809524,0.2857143,0.3809524,0.33333334,0.3809524,0.47619048,0.33333334,,0.47619048,0.47619048,0.61904764,0.61904764,0.7619048,0.8095238
ExtraTrees (T+E),0.04761905,0.04761905,0.0,0.04761905,0.0,0.0,0.14285715,0.0952381,0.04761905,0.0952381,0.14285715,0.14285715,0.14285715,0.14285715,0.1904762,0.23809524,0.1904762,0.1904762,0.2857143,0.1904762,0.1904762,0.1904762,0.2857143,0.1904762,0.23809524,0.1904762,0.1904762,0.33333334,0.33333334,0.33333334,0.3809524,0.5714286,0.42857143,0.52380955,,0.52380955,0.5714286,0.6666667,0.9047619,0.8095238
OrionMSP (default),0.0,0.04761905,0.0,0.04761905,0.04761905,0.0,0.0952381,0.04761905,0.04761905,0.0,0.11904762,0.0952381,0.0952381,0.0952381,0.1904762,0.16666667,0.04761905,0.14285715,0.23809524,0.1904762,0.2857143,0.23809524,0.23809524,0.2857143,0.3809524,0.2857143,0.2857143,0.33333334,0.23809524,0.33333334,0.33333334,0.52380955,0.33333334,0.52380955,0.47619048,,0.5714286,0.71428573,0.6666667,0.8095238
RandomForest (T+E),0.04761905,0.04761905,0.0,0.0,0.0,0.04761905,0.0952381,0.0,0.04761905,0.0952381,0.14285715,0.1904762,0.0952381,0.14285715,0.04761905,0.23809524,0.23809524,0.2857143,0.23809524,0.1904762,0.14285715,0.0952381,0.1904762,0.1904762,0.14285715,0.23809524,0.0952381,0.33333334,0.23809524,0.2857143,0.2857143,0.47619048,0.47619048,0.3809524,0.42857143,0.42857143,,0.52380955,0.71428573,0.71428573
TabFlex (default),0.0,0.04761905,0.0,0.0952381,0.0,0.0952381,0.0,0.14285715,0.1904762,0.0952381,0.14285715,0.1904762,0.0952381,0.04761905,0.1904762,0.14285715,0.0952381,0.04761905,0.14285715,0.14285715,0.1904762,0.14285715,0.1904762,0.23809524,0.2857143,0.14285715,0.2857143,0.1904762,0.1904762,0.33333334,0.14285715,0.47619048,0.1904762,0.3809524,0.33333334,0.2857143,0.47619048,,0.5714286,0.71428573
KNN (T+E),0.04761905,0.04761905,0.0,0.0,0.0,0.0,0.04761905,0.0,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.0,0.04761905,0.0952381,0.0952381,0.04761905,0.14285715,0.0952381,0.04761905,0.04761905,0.14285715,0.0,0.14285715,0.04761905,0.14285715,0.23809524,0.14285715,0.21428572,0.14285715,0.3809524,0.14285715,0.23809524,0.0952381,0.33333334,0.2857143,0.42857143,,0.61904764
Linear (T+E),0.04761905,0.0,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.0952381,0.04761905,0.04761905,0.04761905,0.04761905,0.0952381,0.04761905,0.04761905,0.0952381,0.04761905,0.0952381,0.04761905,0.04761905,0.0952381,0.0952381,0.04761905,0.04761905,0.04761905,0.14285715,0.0952381,0.0952381,0.2857143,0.14285715,0.33333334,0.23809524,0.1904762,0.1904762,0.1904762,0.2857143,0.2857143,0.3809524,
