,TabFM (default),TabFM+,"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)",TabPFN-3 (default),TabICLv2 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),"AutoGluon 1.5 (extreme, 4h)",LimiX (default),RealMLP (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT-Turbo (default),TabPFNv2 (T+E),Mitra (default),TabDPT (T+E),TabSwift (default),TabM (T+E),TabICL (default),BetaTabPFN (default),iLTM (T+E),ChimeraBoost (T+E),LightGBM (T+E),CatBoost (T+E),EBM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),xRFM (T+E),ModernNCA (T+E),TorchMLP (T+E),TabSTAR (T+E),FastaiMLP (T+E),PerpetualBooster (T+E),ExtraTrees (T+E),OrionMSP (default),RandomForest (T+E),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM (default),,0.42857143,0.71428573,0.85714287,0.7619048,0.85714287,0.85714287,0.85714287,0.95238096,0.8095238,0.9047619,0.8095238,0.9047619,0.9047619,0.95238096,1.0,0.95238096,0.9047619,0.9047619,0.95238096,0.95238096,0.85714287,0.9047619,0.95238096,1.0,0.9047619,0.95238096,0.9047619,0.95238096,0.9047619,1.0,0.85714287,0.9047619,1.0,0.95238096,1.0,0.95238096,1.0,0.95238096,0.95238096
TabFM+,0.5714286,,0.6666667,0.7619048,0.71428573,0.8095238,0.8095238,0.9047619,0.9047619,0.8095238,0.85714287,0.8095238,0.85714287,0.85714287,0.95238096,0.95238096,0.95238096,0.85714287,0.9047619,0.95238096,0.95238096,0.85714287,0.9047619,0.95238096,1.0,0.9047619,0.95238096,0.9047619,0.9047619,0.95238096,0.95238096,0.9047619,0.9047619,1.0,0.95238096,0.95238096,0.95238096,0.95238096,0.95238096,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.2857143,0.33333334,,0.6666667,0.7380952,0.7619048,0.7619048,0.7619048,0.9047619,0.8095238,0.85714287,0.7619048,0.9047619,0.9047619,0.95238096,0.95238096,0.9047619,0.9047619,0.9047619,0.95238096,0.85714287,0.9047619,0.9047619,0.97619045,0.9047619,0.95238096,0.95238096,0.85714287,1.0,0.9047619,0.95238096,0.7619048,0.9047619,0.95238096,1.0,1.0,1.0,1.0,1.0,0.95238096
EXAONE-Tabular (default),0.14285715,0.23809524,0.33333334,,0.52380955,0.52380955,0.7619048,0.8095238,0.71428573,0.71428573,0.8095238,0.85714287,0.8095238,0.7619048,0.9047619,0.9047619,0.8095238,0.8095238,0.9047619,0.95238096,0.95238096,0.85714287,0.95238096,0.9047619,0.95238096,0.9047619,0.95238096,0.9047619,0.95238096,0.95238096,0.95238096,0.8095238,0.85714287,1.0,0.95238096,0.95238096,1.0,0.9047619,1.0,0.95238096
"AutoGluon 1.6 (extreme, 4h)",0.23809524,0.2857143,0.26190478,0.47619048,,0.61904764,0.71428573,0.6666667,0.6666667,0.6666667,0.8095238,0.7619048,0.8095238,0.85714287,0.85714287,0.8095238,0.9047619,0.85714287,0.85714287,0.95238096,0.7619048,0.85714287,0.85714287,0.95238096,0.85714287,0.95238096,0.95238096,0.85714287,1.0,0.9047619,0.95238096,0.8095238,0.95238096,0.95238096,1.0,0.95238096,1.0,1.0,1.0,0.95238096
TabPFN-3 (default),0.14285715,0.1904762,0.23809524,0.47619048,0.3809524,,0.52380955,0.5714286,0.5952381,0.61904764,0.6666667,0.7619048,0.61904764,0.71428573,0.71428573,0.85714287,0.7619048,0.85714287,0.85714287,0.9047619,0.95238096,0.7619048,0.85714287,0.95238096,0.9047619,0.8095238,0.9047619,0.8095238,0.9047619,0.9047619,0.95238096,0.7619048,0.85714287,0.95238096,1.0,1.0,0.95238096,0.9047619,1.0,0.95238096
TabICLv2 (default),0.14285715,0.1904762,0.23809524,0.23809524,0.2857143,0.47619048,,0.5714286,0.42857143,0.61904764,0.61904764,0.71428573,0.7619048,0.6666667,0.71428573,0.71428573,0.8095238,0.8095238,0.7619048,0.71428573,0.9047619,0.7619048,0.8095238,0.8095238,0.8095238,0.8095238,0.8095238,0.8095238,0.9047619,0.9047619,0.9047619,0.8095238,1.0,0.9047619,0.85714287,0.9047619,0.9047619,1.0,0.95238096,0.95238096
TabPFN-2.6 (default),0.14285715,0.0952381,0.23809524,0.1904762,0.33333334,0.42857143,0.42857143,,0.47619048,0.42857143,0.71428573,0.61904764,0.6666667,0.6666667,0.71428573,0.7619048,0.61904764,0.71428573,0.71428573,0.9047619,0.85714287,0.85714287,0.85714287,0.9047619,0.85714287,0.85714287,0.8095238,0.8095238,0.9047619,0.9047619,0.95238096,0.71428573,0.85714287,0.95238096,0.9047619,0.95238096,1.0,0.85714287,1.0,0.95238096
RealTabPFN-2.5 (T+E),0.04761905,0.0952381,0.0952381,0.2857143,0.33333334,0.4047619,0.5714286,0.52380955,,0.47619048,0.6666667,0.6666667,0.61904764,0.52380955,0.8095238,0.8095238,0.61904764,0.71428573,0.7619048,0.6666667,0.8095238,0.7619048,0.85714287,0.9047619,0.9047619,0.8095238,0.9047619,0.8095238,0.85714287,0.85714287,0.85714287,0.71428573,0.8095238,0.9047619,0.95238096,0.95238096,0.95238096,0.8095238,0.95238096,0.9047619
"AutoGluon 1.5 (extreme, 4h)",0.1904762,0.1904762,0.1904762,0.2857143,0.33333334,0.3809524,0.3809524,0.5714286,0.52380955,,0.5714286,0.71428573,0.6666667,0.47619048,0.6666667,0.61904764,0.71428573,0.6666667,0.7619048,0.7619048,0.7619048,0.7619048,0.85714287,0.85714287,0.9047619,0.7619048,0.85714287,0.7619048,0.9047619,0.85714287,0.85714287,0.7619048,0.8095238,0.85714287,0.9047619,1.0,0.9047619,0.9047619,0.95238096,0.95238096
