,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),RealTabPFN-2.5 (T+E),TabICLv2 (default),EXAONE-Tabular (default),RealMLP (T+E),TabDPT (T+E),TabDPT-Turbo (default),TabM (T+E),LightGBM (T+E),iLTM (T+E),CatBoost (T+E),ModernNCA (T+E),LimiX (default),XGBoost (T+E),TabSwift (default),xRFM (T+E),TabPFNv2 (T+E),ChimeraBoost (T+E),Mitra (default),TabICL (default),EBM (T+E),TorchMLP (T+E),BetaTabPFN (default),SAP-RPT-OSS (default),ExtraTrees (T+E),Nori-30M (default),RandomForest (T+E),Nori (default),FastaiMLP (T+E),TabSTAR (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
TorchMLP (T+E),0.039215688,0.09803922,0.078431375,0.13725491,0.13725491,0.23529412,0.15686275,0.25490198,0.25490198,0.25490198,0.23529412,0.23529412,0.25490198,0.3529412,0.33333334,0.27450982,0.43137255,0.39215687,0.43137255,0.37254903,0.4509804,0.43137255,0.49019608,,0.5294118,0.50980395,0.627451,0.5882353,0.6862745,0.5882353,0.6666667,0.7647059,0.7058824,0.78431374,0.9019608,0.88235295,0.92156863
BetaTabPFN (default),0.039215688,0.05882353,0.11764706,0.09803922,0.09803922,0.14705883,0.21568628,0.33333334,0.3529412,0.23529412,0.33333334,0.37254903,0.3529412,0.3137255,0.3529412,0.39215687,0.39215687,0.39215687,0.34313726,0.47058824,0.39215687,0.46078432,0.5294118,0.47058824,,0.5294118,0.50980395,0.5882353,0.5294118,0.5882353,0.5686275,0.7647059,0.6666667,0.71568626,0.7941176,0.88235295,0.92156863
SAP-RPT-OSS (default),0.078431375,0.15686275,0.13725491,0.11764706,0.1764706,0.23529412,0.19607843,0.27450982,0.29411766,0.29411766,0.33333334,0.27450982,0.25490198,0.37254903,0.37254903,0.39215687,0.29411766,0.4117647,0.4117647,0.39215687,0.47058824,0.43137255,0.4117647,0.49019608,0.47058824,,0.54901963,0.5686275,0.5686275,0.5882353,0.64705884,0.6862745,0.74509805,0.6862745,0.8235294,0.8039216,0.9019608
ExtraTrees (T+E),0.039215688,0.039215688,0.05882353,0.05882353,0.11764706,0.27450982,0.13725491,0.21568628,0.1764706,0.25490198,0.15686275,0.15686275,0.1764706,0.23529412,0.33333334,0.1764706,0.33333334,0.25490198,0.4509804,0.33333334,0.47058824,0.4117647,0.3529412,0.37254903,0.49019608,0.4509804,,0.64705884,0.64705884,0.64705884,0.50980395,0.7254902,0.64705884,0.78431374,0.84313726,0.92156863,0.8235294
Nori-30M (default),0.05882353,0.11764706,0.1764706,0.15686275,0.19607843,0.27450982,0.23529412,0.1764706,0.29411766,0.37254903,0.25490198,0.29411766,0.27450982,0.27450982,0.27450982,0.29411766,0.3529412,0.3137255,0.37254903,0.3529412,0.4117647,0.3137255,0.37254903,0.4117647,0.4117647,0.43137255,0.3529412,,0.3529412,0.54901963,0.4509804,0.5294118,0.54901963,0.54901963,0.627451,0.64705884,0.7058824
RandomForest (T+E),0.039215688,0.05882353,0.039215688,0.078431375,0.11764706,0.25490198,0.15686275,0.21568628,0.1764706,0.19607843,0.13725491,0.09803922,0.11764706,0.21568628,0.29411766,0.13725491,0.3137255,0.19607843,0.3529412,0.23529412,0.43137255,0.4117647,0.37254903,0.3137255,0.47058824,0.43137255,0.3529412,0.64705884,,0.64705884,0.47058824,0.7058824,0.5686275,0.7058824,0.7647059,0.84313726,0.8039216
Nori (default),0.039215688,0.09803922,0.13725491,0.11764706,0.19607843,0.27450982,0.21568628,0.1764706,0.23529412,0.33333334,0.23529412,0.29411766,0.27450982,0.25490198,0.27450982,0.27450982,0.37254903,0.3137255,0.3529412,0.3529412,0.4117647,0.3137255,0.37254903,0.4117647,0.4117647,0.4117647,0.3529412,0.4509804,0.3529412,,0.4509804,0.5294118,0.5294118,0.54901963,0.627451,0.64705884,0.7058824
FastaiMLP (T+E),0.078431375,0.09803922,0.078431375,0.11764706,0.05882353,0.21568628,0.078431375,0.25490198,0.21568628,0.1764706,0.1764706,0.13725491,0.21568628,0.19607843,0.3137255,0.21568628,0.1764706,0.27450982,0.33333334,0.23529412,0.33333334,0.37254903,0.3137255,0.33333334,0.43137255,0.3529412,0.49019608,0.54901963,0.5294118,0.54901963,,0.6666667,0.60784316,0.6666667,0.8039216,0.78431374,0.8627451
TabSTAR (T+E),0.078431375,0.09803922,0.11764706,0.11764706,0.09803922,0.15686275,0.15686275,0.21568628,0.21568628,0.13725491,0.1764706,0.19607843,0.1764706,0.23529412,0.23529412,0.15686275,0.21568628,0.23529412,0.3137255,0.19607843,0.27450982,0.21568628,0.19607843,0.23529412,0.23529412,0.3137255,0.27450982,0.47058824,0.29411766,0.47058824,0.33333334,,0.5294118,0.4509804,0.54901963,0.5686275,0.7058824
PerpetualBooster (T+E),0.0,0.039215688,0.019607844,0.039215688,0.078431375,0.19607843,0.039215688,0.15686275,0.15686275,0.15686275,0.09803922,0.09803922,0.078431375,0.15686275,0.25490198,0.15686275,0.19607843,0.19607843,0.3137255,0.1764706,0.3137255,0.29411766,0.33333334,0.29411766,0.33333334,0.25490198,0.3529412,0.4509804,0.43137255,0.47058824,0.39215687,0.47058824,,0.5294118,0.64705884,0.60784316,0.74509805
OrionMSP (default),0.019607844,0.0,0.019607844,0.019607844,0.078431375,0.14705883,0.039215688,0.039215688,0.05882353,0.09803922,0.11764706,0.11764706,0.15686275,0.13725491,0.18627451,0.11764706,0.11764706,0.09803922,0.2254902,0.1764706,0.2254902,0.2254902,0.29411766,0.21568628,0.28431374,0.3137255,0.21568628,0.4509804,0.29411766,0.4509804,0.33333334,0.54901963,0.47058824,,0.65686274,0.6666667,0.7647059
TabFlex (default),0.0,0.039215688,0.05882353,0.078431375,0.039215688,0.16666667,0.078431375,0.05882353,0.039215688,0.05882353,0.09803922,0.05882353,0.11764706,0.13725491,0.1764706,0.11764706,0.05882353,0.078431375,0.2254902,0.11764706,0.21568628,0.20588236,0.1764706,0.09803922,0.20588236,0.1764706,0.15686275,0.37254903,0.23529412,0.37254903,0.19607843,0.4509804,0.3529412,0.34313726,,0.54901963,0.6666667
KNN (T+E),0.05882353,0.039215688,0.019607844,0.05882353,0.039215688,0.05882353,0.039215688,0.078431375,0.05882353,0.09803922,0.05882353,0.039215688,0.09803922,0.10784314,0.11764706,0.09803922,0.09803922,0.05882353,0.19607843,0.13725491,0.19607843,0.11764706,0.11764706,0.11764706,0.11764706,0.19607843,0.078431375,0.3529412,0.15686275,0.3529412,0.21568628,0.43137255,0.39215687,0.33333334,0.4509804,,0.6862745
Linear (T+E),0.019607844,0.039215688,0.019607844,0.05882353,0.039215688,0.019607844,0.019607844,0.09803922,0.11764706,0.039215688,0.019607844,0.05882353,0.019607844,0.13725491,0.09803922,0.05882353,0.11764706,0.039215688,0.11764706,0.05882353,0.11764706,0.078431375,0.039215688,0.078431375,0.078431375,0.09803922,0.1764706,0.29411766,0.19607843,0.29411766,0.13725491,0.29411766,0.25490198,0.23529412,0.33333334,0.3137255,
