#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1756.0,+87/-63,0.774,7.85,3.1,9.347,4.98,0.517,✔️,0.0,False,GPU
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1749.0,+126/-115,0.85,8.06,1.8,5.314,38.57,7.109,✔️,0.0,False,GPU
2,📊,Reference Pipeline,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1662.0,+87/-74,0.617,11.54,4.92,9.737,267.31,3.981,✔️,0.0,False,GPU
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1635.0,+82/-66,0.617,12.86,5.31,12.072,3.64,0.391,✔️,0.0,False,GPU
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1585.0,+60/-58,0.53,15.6,9.08,13.399,5.17,0.539,✔️,0.0,False,GPU
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1575.0,+81/-68,0.566,16.16,6.06,12.657,2.07,0.167,✔️,0.0,False,GPU
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1561.0,+70/-68,0.497,17.0,8.11,13.223,2046.25,8.969,✔️,0.0,False,GPU
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1538.0,+66/-60,0.474,18.48,8.67,13.892,2046.25,1.329,✔️,0.0,False,GPU
8,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1527.0,+57/-53,0.467,19.25,11.22,14.133,5.76,0.794,✔️,0.0,False,GPU
9,📊,Reference Pipeline,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1482.0,+64/-53,0.357,22.5,10.19,15.281,1684.65,1.969,✔️,0.0,False,CPU
10,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1465.0,+53/-39,0.335,23.77,14.75,15.925,2879.46,12.484,✔️,0.0,False,GPU
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1445.0,+56/-43,0.298,25.37,13.17,16.865,2168.86,2.347,✔️,0.0,False,GPU
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1422.0,+75/-58,0.311,27.24,11.81,17.319,1.94,0.19,➖,0.0,False,GPU
13,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1413.0,+46/-32,0.235,27.97,19.92,17.602,382.09,1.487,✔️,0.0,False,CPU
14,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [5.26% IMPUTED],1410.0,+51/-56,0.291,28.25,15.95,17.767,8.68,1.742,✔️,5.26,True,GPU
15,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1397.0,+74/-47,0.265,29.32,14.76,17.382,4941.98,307.735,✔️,0.0,False,GPU
16,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1397.0,+53/-44,0.239,29.38,17.25,17.266,1107.0,0.329,✔️,0.0,False,CPU
17,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1395.0,+54/-44,0.24,29.51,15.22,17.711,2168.86,0.258,✔️,0.0,False,GPU
18,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1395.0,+86/-76,0.327,29.52,9.96,17.609,18.41,4.667,➖,0.0,False,GPU
19,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1391.0,+47/-43,0.219,29.83,20.01,17.644,12597.42,502.448,✔️,0.0,False,GPU
