,TabFM+,"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)",TabFM (default),EXAONE-Tabular (default),Nori-30M (default),TabPFN-3 (default),"AutoGluon 1.5 (extreme, 4h)",Nori (default),TabPFN-2.6 (default),TabDPT (T+E),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabDPT-Turbo (default),"AutoGluon 1.4 (best, 4h)",iLTM (T+E),TabSwift (default),CatBoost (T+E),ModernNCA (T+E),TabM (T+E),LightGBM (T+E),xRFM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),ChimeraBoost (T+E),ExtraTrees (T+E),LimiX (default),TorchMLP (T+E),EBM (T+E),TabSTAR (T+E),RandomForest (T+E),PerpetualBooster (T+E),FastaiMLP (T+E),KNN (T+E),Linear (T+E)
iLTM (T+E),0.025,0.025,0.033333335,0.033333335,0.06666667,0.14166667,0.112500004,0.08750001,0.18611111,0.20416665,0.10000001,0.16666667,0.24722223,0.24027778,0.31527776,0.3611111,,0.55972224,0.5388889,0.5069445,0.54444444,0.5902778,0.5430556,0.6875,0.6486111,0.6791667,0.8027778,0.7902778,0.8361111,0.78194445,0.79861104,0.9361111,0.92777777,0.9777778,0.9569444,0.9861111
TabSwift (default),0.033333335,0.029166667,0.033333335,0.10555556,0.18055555,0.1,0.068055555,0.125,0.21944445,0.18194444,0.20416667,0.24166667,0.2263889,0.3375,0.35555556,0.40138888,0.44027779,,0.5125,0.45833337,0.6277778,0.5027778,0.51944447,0.5555556,0.6583333,0.5958333,0.7638889,0.7652778,0.83055556,0.77916664,0.79583335,0.875,0.89166665,0.9375,0.9708333,1.0
CatBoost (T+E),0.029166669,0.029166669,0.029166669,0.033333335,0.029166669,0.054166667,0.125,0.18333334,0.033333335,0.08888889,0.19444445,0.18194444,0.23888889,0.25,0.31944445,0.3694445,0.46111113,0.48749998,,0.6055556,0.5013889,0.6333333,0.49861112,0.725,0.6611111,0.7708334,0.7513889,0.7722222,0.75416666,0.85,0.81250006,0.9152778,0.97083336,0.8541666,0.95,1.0
ModernNCA (T+E),0.072222225,0.13055556,0.15277778,0.08611111,0.14166667,0.14861111,0.17361112,0.15833335,0.17500001,0.19166666,0.19444446,0.19722222,0.32361114,0.31666666,0.34583333,0.34166667,0.49305555,0.5416666,0.39444447,,0.50972223,0.5347222,0.46805558,0.6138889,0.5291667,0.62083334,0.71250004,0.6652778,0.76666665,0.7333333,0.7833333,0.8666667,0.87916666,0.93333334,0.9583334,0.99583334
TabM (T+E),0.029166667,0.029166667,0.025,0.041666668,0.075,0.097222224,0.10972223,0.083333336,0.15833333,0.11944446,0.19444445,0.16666667,0.13194445,0.26944447,0.38333336,0.3638889,0.45555556,0.37222224,0.49861112,0.4902778,,0.4486111,0.5833333,0.5791667,0.6194444,0.6861111,0.6666666,0.70555556,0.7972222,0.75416666,0.79583335,0.7583334,0.8833333,0.9361111,0.90694445,1.0
LightGBM (T+E),0.008333334,0.020833334,0.020833334,0.025,0.020833336,0.0625,0.07638889,0.11388889,0.07638889,0.14166667,0.14027779,0.18611111,0.17222223,0.23611112,0.33194447,0.20694447,0.40972224,0.49722221,0.36666667,0.46527776,0.5513889,,0.5069444,0.6847222,0.5375,0.7625,0.7416667,0.7013889,0.69305557,0.825,0.7916667,0.8805555,0.975,0.95555556,0.9291667,1.0
xRFM (T+E),0.045833334,0.045833334,0.0375,0.045833334,0.054166667,0.072222225,0.08888889,0.112500004,0.09027778,0.11111111,0.1,0.18888889,0.225,0.17916667,0.22083333,0.30277777,0.45694444,0.48055553,0.5013889,0.53194445,0.4166667,0.49305555,,0.5652778,0.6333333,0.6527778,0.7444445,0.81666666,0.70416665,0.8208333,0.7833333,0.85,0.8541666,0.82916665,0.9708333,0.99583334
XGBoost (T+E),0.029166669,0.012500001,0.012500001,0.033333335,0.033333335,0.075,0.07638889,0.07083334,0.097222224,0.09722223,0.09583333,0.15833333,0.14444445,0.1375,0.24027778,0.16805556,0.3125,0.44444448,0.275,0.3861111,0.4208333,0.31527779,0.43472221,,0.5236111,0.70555556,0.7125,0.70972216,0.6847222,0.8125,0.7875,0.8444444,0.95416665,0.9013889,0.93333334,1.0
SAP-RPT-OSS (default),0.07083333,0.06666667,0.07083333,0.0625,0.075,0.087500006,0.116666675,0.17083335,0.104166664,0.14166667,0.1875,0.083333336,0.20972222,0.19166666,0.25,0.2791667,0.3513889,0.34166667,0.33888888,0.47083333,0.38055557,0.46249998,0.36666667,0.47638887,,0.55833334,0.6583333,0.7375,0.6430556,0.6458333,0.79999995,0.7722222,0.7361111,0.79861116,0.9236111,0.99583334
ChimeraBoost (T+E),0.016666668,0.0125,0.016666668,0.029166667,0.025000002,0.016666668,0.09305556,0.08472223,0.0375,0.041666668,0.12222222,0.18055555,0.075,0.18611112,0.24027778,0.17777778,0.32083336,0.40416667,0.22916667,0.3791667,0.31388888,0.2375,0.3472222,0.29444444,0.44166666,,0.6125,0.5708334,0.65,0.80833334,0.79583335,0.7125,0.93194443,0.79444444,0.83750004,1.0
ExtraTrees (T+E),0.030555557,0.029166667,0.033333335,0.034722224,0.041666668,0.033333335,0.059722222,0.058333337,0.045833334,0.068055555,0.045833334,0.17222224,0.19583333,0.09305556,0.083333336,0.15972222,0.19722223,0.2361111,0.24861112,0.28750002,0.3333333,0.25833333,0.25555557,0.2875,0.34166667,0.3875,,0.56527776,0.4,0.5833334,0.7125,0.8486112,0.64444447,0.625,0.975,1.0
LimiX (default),0.031944446,0.020833334,0.020833334,0.031944446,0.03888889,0.016666668,0.13472223,0.17916667,0.09861112,0.12222223,0.16666667,0.15,0.16666667,0.17222223,0.2,0.23055556,0.20972222,0.23472223,0.22777778,0.33472222,0.29444444,0.29861113,0.18333334,0.29027778,0.26250002,0.42916667,0.43472224,,0.5375,0.5611111,0.75,0.49444446,0.6125,0.6541667,0.7902778,0.9375
TorchMLP (T+E),0.0,0.0,0.027777778,0.027777778,0.013888889,0.07361112,0.054166667,0.012500001,0.101388894,0.11527778,0.07777778,0.12916666,0.04027778,0.15555556,0.14166668,0.10138889,0.1638889,0.16944444,0.24583335,0.23333332,0.20277777,0.30694446,0.29583332,0.31527779,0.35694444,0.35000002,0.6,0.4625,,0.54444444,0.75416666,0.64166665,0.52916664,0.8041666,0.7833333,0.93333334
EBM (T+E),0.020833334,0.0125,0.0125,0.025,0.016666668,0.012500001,0.054166667,0.033333335,0.016666668,0.025,0.083333336,0.08472222,0.041666668,0.108333334,0.15416667,0.13750002,0.21805556,0.22083333,0.15,0.26666665,0.24583334,0.175,0.17916667,0.1875,0.3541667,0.19166666,0.4166667,0.4388889,0.45555553,,0.7416667,0.49166667,0.6180556,0.5958333,0.7833333,0.9875
TabSTAR (T+E),0.075,0.083333336,0.083333336,0.07083333,0.087500006,0.07916667,0.12916666,0.09583333,0.09166667,0.09166667,0.15833333,0.12083334,0.125,0.17083333,0.2,0.1875,0.2013889,0.20416668,0.1875,0.21666667,0.20416667,0.20833333,0.21666667,0.2125,0.2,0.20416668,0.28750002,0.25,0.24583334,0.25833333,,0.3375,0.375,0.3375,0.5333333,0.75416666
RandomForest (T+E),0.0,0.008333334,0.004166667,0.004166667,0.0125,0.012500001,0.020833334,0.029166669,0.008333334,0.008333334,0.016666668,0.097222224,0.1,0.016666668,0.054166667,0.07916667,0.06388889,0.125,0.08472222,0.13333334,0.24166667,0.119444445,0.15,0.15555556,0.22777778,0.2875,0.1513889,0.50555557,0.35833335,0.5083333,0.6625,,0.5888889,0.48333335,0.9291667,1.0
PerpetualBooster (T+E),0.004166667,0.004166667,0.004166667,0.008333334,0.0,0.008333334,0.008333334,0.008333334,0.008333334,0.004166667,0.012500001,0.07361112,0.012500001,0.020833334,0.041666668,0.029166669,0.072222225,0.108333334,0.029166669,0.12083334,0.116666675,0.025,0.14583333,0.045833334,0.2638889,0.068055555,0.35555556,0.3875,0.47083336,0.38194445,0.625,0.41111112,,0.61527777,0.7041667,0.98333335
FastaiMLP (T+E),0.0,0.0,0.0,0.0,0.0,0.004166667,0.0,0.004166667,0.041666668,0.055555556,0.0,0.125,0.0,0.0,0.02638889,0.004166667,0.022222223,0.0625,0.14583333,0.06666667,0.06388889,0.044444446,0.17083333,0.09861112,0.20138888,0.20555556,0.37500003,0.34583336,0.19583334,0.40416667,0.6625,0.51666665,0.38472223,,0.7791667,0.9791666
KNN (T+E),0.0125,0.0125,0.0125,0.0125,0.025,0.016666668,0.029166667,0.020833334,0.020833334,0.0125,0.016666668,0.016666668,0.029166667,0.029166667,0.029166667,0.058333334,0.043055557,0.029166667,0.05,0.041666668,0.093055554,0.07083333,0.029166667,0.06666667,0.076388896,0.16250001,0.025,0.20972224,0.21666667,0.21666667,0.4666667,0.07083334,0.29583332,0.22083333,,0.8875
Linear (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888889,0.0,0.0,0.004166667,0.0,0.0,0.004166667,0.0,0.004166667,0.0,0.0,0.0625,0.06666667,0.012500001,0.24583334,0.0,0.016666668,0.020833334,0.1125,
