#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
59,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1061.0,+96/-156,0.023,55.43,52.55,29.669,514.72,211.976,✔️,0.0,False,GPU,model,
60,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1010.0,+77/-142,0.0,58.56,55.31,34.889,21.06,3.367,➖,0.0,False,GPU,model,
61,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1008.0,+220/-325,0.061,58.63,27.91,41.555,151.75,2.345,✔️,0.0,False,CPU,model,
62,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1008.0,+110/-194,0.0,58.64,52.96,33.356,40588.15,31.228,✔️,0.0,False,GPU,model,
63,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1001.0,+102/-176,0.0,59.05,55.11,33.468,40588.15,8.466,✔️,0.0,False,GPU,model,
64,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+94/-154,0.0,59.1,55.04,38.147,0.74,0.137,✔️,0.0,False,CPU,model,
65,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),980.0,+107/-243,0.0,60.19,56.82,42.464,893.09,0.818,✔️,0.0,False,CPU,model,
66,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),948.0,+106/-156,0.0,61.91,59.56,39.385,4.85,0.786,✔️,0.0,False,CPU,model,
67,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),947.0,+93/-250,0.0,61.97,58.4,43.296,893.09,0.146,✔️,0.0,False,CPU,model,
68,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),945.0,+126/-176,0.0,62.07,59.1,36.852,8.52,0.734,✔️,0.0,False,CPU,model,
69,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),888.0,+118/-195,0.0,64.8,56.73,51.934,1409.51,10.372,✔️,0.0,False,CPU,model,
70,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),863.0,+111/-174,0.0,65.87,65.23,41.621,5.06,1.013,➖,0.0,False,GPU,model,
71,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),852.0,+96/-212,0.0,66.3,64.48,41.942,724.31,8.133,✔️,0.0,False,GPU,model,
72,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),847.0,+272/-438,0.052,66.51,48.08,51.28,151.75,0.258,✔️,0.0,False,CPU,model,
73,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),840.0,+117/-209,0.0,66.79,40.66,53.687,1409.51,3.696,✔️,0.0,False,CPU,model,
74,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),810.0,+134/-275,0.0,67.92,34.5,57.935,228.95,0.465,✔️,0.0,False,CPU,model,
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),746.0,+86/-235,0.0,69.97,69.37,49.089,4.53,0.164,✔️,0.0,False,CPU,model,
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),356.0,+59/-303,0.0,76.21,76.18,71.637,0.52,0.076,✔️,0.0,False,CPU,model,
