#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware
55,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1177.0,+67/-78,0.009,48.83,46.3,16.609,49.61,0.015,✔️,0.0,False,CPU
56,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1170.0,+76/-110,0.037,49.34,44.31,18.818,88.27,9.62,✔️,0.0,False,GPU
57,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1125.0,+57/-66,0.003,52.42,50.31,18.462,2.18,0.039,✔️,0.0,False,CPU
58,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),1109.0,+102/-124,0.026,53.54,46.34,21.856,20.26,0.515,✔️,0.0,False,CPU
59,🧠🔁,Neural Network,[FastaiMLP (tuned)](https://arxiv.org/abs/2003.06505),1090.0,+90/-102,0.017,54.79,48.81,19.606,351.94,0.114,✔️,0.0,False,CPU
60,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),1063.0,+95/-121,0.011,56.48,51.45,22.965,20.26,0.2,✔️,0.0,False,CPU
61,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1042.0,+141/-173,0.024,57.71,50.55,26.256,2.49,0.145,✔️,0.0,False,GPU
62,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),1022.0,+132/-158,0.02,58.93,52.62,23.165,1.51,0.111,✔️,0.0,False,CPU
63,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+52/-87,0.0,60.17,59.02,21.499,0.2,0.021,✔️,0.0,False,CPU
64,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),984.0,+88/-118,0.006,61.04,54.56,24.653,150.3,10.071,✔️,0.0,False,CPU
65,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818) [33.33% IMPUTED],984.0,+56/-86,0.0,61.06,59.81,22.992,10.1,3.716,➖,33.33,True,GPU
66,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),981.0,+60/-85,0.0,61.2,59.32,26.094,3381.77,1.724,✔️,0.0,False,GPU
67,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),980.0,+63/-80,0.0,61.26,59.51,26.067,3381.77,5.283,✔️,0.0,False,GPU
68,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),973.0,+90/-120,0.0,61.61,59.3,23.09,0.48,0.073,✔️,0.0,False,CPU
69,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584) [33.33% IMPUTED],938.0,+80/-112,0.0,63.4,62.01,27.979,0.25,0.045,➖,33.33,True,GPU
70,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),936.0,+147/-214,0.006,63.53,57.91,33.186,43.64,0.081,✔️,0.0,False,CPU
71,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),897.0,+148/-234,0.003,65.34,60.65,34.036,43.64,0.018,✔️,0.0,False,CPU
72,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),893.0,+105/-163,0.004,65.5,63.04,29.598,1.5,0.015,✔️,0.0,False,CPU
73,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),850.0,+52/-88,0.0,67.3,66.5,30.944,110.78,1.964,✔️,0.0,False,GPU
74,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),813.0,+53/-103,0.0,68.68,68.32,30.226,150.3,0.482,✔️,0.0,False,CPU
75,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),808.0,+126/-228,0.0,68.86,66.62,36.085,0.19,0.019,✔️,0.0,False,CPU
76,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),580.0,+81/-141,0.0,74.48,74.36,43.672,0.1,0.072,✔️,0.0,False,CPU
