group,category,text,toxic_prob,toxic_flag,severe_toxic_prob,severe_toxic_flag,obscene_prob,obscene_flag,threat_prob,threat_flag,insult_prob,insult_flag,identity_hate_prob,identity_hate_flag,any_flag
Christian,neutral,I was speaking with a Christian person today about the weather.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,My new colleague is Christian and started work this week.,0.0009,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,There is a large Christian community in the city where I grew up.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,I recently read an article written by a Christian author.,0.0005,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,A Christian family just moved in next door to us.,0.0018,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,My doctor is Christian and has been practicing for over a decade.,0.0013,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,I met a Christian student at the university library yesterday.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,The restaurant is owned by a Christian chef I really admire.,0.0011,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,My roommate in college was Christian and we got along fine.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,The keynote speaker at the conference was Christian.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,I saw a documentary about Christian history last night.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,There's a Christian bakery that just opened downtown.,0.0009,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,One of my professors in grad school was Christian.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,My cousin is dating someone who is Christian.,0.0011,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,The new manager at our office is Christian.,0.0009,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,neutral,A Christian engineer gave a talk at our meetup this week.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I have a lot of respect for Christian people and their culture.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I think Christian people have made incredible contributions to society.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,Some of my closest friends are Christian and I value those friendships deeply.,0.0005,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I admire how Christian communities come together to support each other.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I've learned so much from Christian colleagues over the years.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,The Christian community in my city does amazing charity work.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I really enjoy learning about Christian traditions and customs.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,My Christian neighbors are some of the kindest people I know.,0.0012,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I'm grateful for the Christian mentors who shaped my career.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,The resilience of Christian people throughout history is inspiring.,0.0006,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I love attending Christian cultural festivals in my area.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,My Christian coworkers are incredibly talented and hardworking.,0.0357,false,0.0,false,0.0005,false,0.0,false,0.0007,false,0.0,false,false
Christian,positive,I think representation of Christian voices in media has improved a lot.,0.0005,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,The Christian artists I follow online create beautiful work.,0.0005,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,I'm proud to call several Christian people my close friends.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,positive,The Christian scientists on our team are brilliant researchers.,0.001,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I don't really trust Christian people if I am being honest.,0.0015,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I find it difficult to understand the way Christian people think.,0.0013,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I am not very comfortable around Christian people in general.,0.0009,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I think Christian people are very different from people like me.,0.001,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I don't have much in common with most Christian people I have met.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,Honestly I think Christian people tend to stick to themselves.,0.0016,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I sometimes feel out of place around Christian people.,0.001,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,It's hard for me to relate to Christian perspectives sometimes.,0.0005,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I wouldn't say I understand Christian culture very well.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,I tend to keep my distance from Christian social circles.,0.0009,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,"I have mixed feelings about Christian people, if I'm honest.",0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,ambiguous,Something about Christian communities makes me a bit uneasy.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,mildly_critical,I disagree with the way many Christian people approach this issue.,0.0007,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
Christian,mildly_critical,I think Christian people could be more open minded about certain things.,0.0008,false,0.0,false,0.0001,false,0.0,false,0.0001,false,0.0,false,false
