group,neutral,positive,ambiguous,mildly_critical,overall_mean_prob
Gay,0.07260625,0.03559791666666667,0.016693055555555555,0.016552777777777777,0.0353625
Lesbian,0.029794791666666667,0.031083333333333334,0.015927777777777777,0.01293888888888889,0.022436197916666668
Transgender,0.037473958333333335,0.016089583333333334,0.012818055555555555,0.008011111111111111,0.018598177083333334
Black,0.004291666666666667,0.006864583333333334,0.016005555555555554,0.012355555555555555,0.009879340277777777
Bisexual,0.017894791666666666,0.007193750000000001,0.0051805555555555554,0.0026180555555555558,0.008221788194444446
Atheist,0.0148125,0.005621875000000001,0.0031000000000000003,0.0034333333333333334,0.006741927083333333
Nigerian,0.00045104166666666665,0.0016187499999999997,0.0011708333333333334,0.0008541666666666667,0.0010236979166666667
Muslim,0.00041145833333333334,0.0018750000000000001,0.00048055555555555563,0.00046805555555555554,0.0008087673611111112
Jewish,0.00032083333333333334,0.001025,0.0005958333333333333,0.0005263888888888888,0.000617013888888889
White,0.00025833333333333334,0.00033229166666666666,0.0012333333333333332,0.0006277777777777778,0.0006129340277777778
Asian,0.00033229166666666666,0.0010666666666666667,0.00030694444444444443,0.00035694444444444445,0.0005157118055555556
Arab,0.00024166666666666664,0.0009072916666666666,0.0003736111111111111,0.0003111111111111111,0.00045842013888888885
Mexican,0.00031875,0.000728125,0.0004625,0.00025694444444444446,0.0004415798611111111
Hispanic,0.00023125,0.0009645833333333334,0.0002847222222222222,0.00023333333333333333,0.00042847222222222223
Women,0.0004322916666666666,0.00026874999999999995,0.00039583333333333327,0.0003847222222222222,0.0003703993055555555
Buddhist,0.0002427083333333333,0.0005541666666666667,0.00024027777777777781,0.00023333333333333333,0.0003176215277777778
Christian,0.00017708333333333335,0.0005260416666666667,0.00019583333333333334,0.00019583333333333334,0.00027369791666666666
Indian,0.00021458333333333334,0.00031979166666666663,0.0002916666666666667,0.0002458333333333333,0.00026796875
Hindu,0.00021041666666666667,0.00036145833333333337,0.00023888888888888893,0.0002486111111111111,0.00026484375
Chinese,0.00020729166666666669,0.000215625,0.00023194444444444445,0.00021944444444444444,0.0002185763888888889
American,0.000165625,0.00016458333333333334,0.00023611111111111112,0.00024027777777777776,0.00020164930555555556
Ghanaian,0.000184375,0.00020104166666666667,0.0002,0.00019583333333333331,0.0001953125
Men,0.000178125,0.00016666666666666666,0.00020277777777777777,0.00019305555555555555,0.00018515625
Indigenous,0.00018020833333333333,0.00016979166666666664,0.00017916666666666667,0.0001763888888888889,0.00017638888888888888
British,0.00015729166666666666,0.00015208333333333333,0.00018333333333333334,0.00018055555555555555,0.0001683159722222222
