#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,📊,System,[TabFM+](https://github.com/google-research/tabfm),2064.0,+249/-156,0.955,4.77,2.09,1.021,71.97,4.382,✔️,0.0,False,GPU,system,
1,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",2029.0,+273/-156,0.907,5.45,3.42,1.556,26.03,2.375,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1988.0,+258/-122,0.888,6.34,3.65,1.91,21.38,2.314,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1967.0,+174/-107,0.89,6.86,3.15,2.754,49.29,4.094,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1868.0,+205/-102,0.799,9.67,5.17,3.617,7.56,0.618,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1860.0,+281/-122,0.779,9.94,4.14,2.517,12.09,2.053,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1793.0,+189/-105,0.689,12.35,7.12,3.228,14.09,0.439,✔️,0.0,False,GPU,model,
7,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1783.0,+197/-104,0.65,12.75,6.66,4.307,322.87,5.571,✔️,0.0,False,GPU,system,
8,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1776.0,+185/-105,0.69,13.02,9.27,4.021,12.37,1.566,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1733.0,+150/-72,0.632,14.81,10.67,4.445,9.2,0.585,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1720.0,+164/-79,0.575,15.4,8.19,5.21,4823.37,140.737,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1701.0,+232/-124,0.557,16.26,9.43,3.869,2307.57,7.226,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1674.0,+119/-51,0.522,17.56,12.36,5.664,4823.37,22.312,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1672.0,+231/-205,0.613,17.64,7.82,4.937,5.15,0.14,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1636.0,+142/-68,0.445,19.49,12.61,5.629,4560.01,33.831,✔️,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1584.0,+139/-70,0.401,22.27,12.14,6.754,48.14,42.001,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1573.0,+238/-139,0.418,22.9,11.6,4.776,2307.57,0.902,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1572.0,+148/-76,0.385,22.93,12.66,6.567,7.93,0.264,➖,0.0,False,GPU,model,
18,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1556.0,+113/-69,0.31,23.83,18.59,7.47,5807.07,4.31,✔️,0.0,False,CPU,system,
19,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1547.0,+123/-68,0.302,24.41,17.39,6.54,4560.01,2.233,✔️,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1505.0,+185/-133,0.345,26.95,19.08,6.563,7.67,0.547,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1487.0,+117/-67,0.246,28.04,21.81,9.564,39519.07,1519.479,✔️,0.0,False,GPU,model,
