#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1730.0,+140/-86,0.88,7.75,1.85,4.022,39.57,5.358,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1714.0,+82/-64,0.79,8.29,3.46,8.593,6.5,0.551,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1621.0,+77/-51,0.66,12.17,5.28,10.691,9.17,0.416,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1580.0,+67/-44,0.597,14.34,8.01,11.801,7.03,0.548,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1578.0,+77/-62,0.578,14.4,6.76,10.986,2289.39,8.048,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1555.0,+101/-74,0.621,15.72,5.97,11.483,3.93,0.152,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1540.0,+66/-55,0.534,16.69,7.76,11.785,2289.39,1.143,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1526.0,+75/-50,0.521,17.56,10.23,12.267,6.76,0.636,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1461.0,+56/-44,0.388,22.01,12.97,14.612,3771.85,21.902,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [8.33% IMPUTED],1454.0,+87/-59,0.42,22.55,10.89,14.677,3528.13,48.589,✔️,8.33,True,GPU,model,
10,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [8.33% IMPUTED],1436.0,+68/-55,0.4,23.93,11.74,15.484,126.87,3.093,✔️,8.33,True,GPU,model,
11,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1433.0,+71/-56,0.387,24.15,10.26,15.205,5119.78,218.453,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1432.0,+67/-51,0.379,24.21,10.32,15.37,4.69,0.192,➖,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1409.0,+48/-44,0.31,26.06,13.65,15.695,2585.58,3.838,✔️,0.0,False,GPU,model,
