#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
51,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1214.0,+65/-81,0.0,43.7,39.98,27.286,19.64,7.682,✔️,0.0,False,GPU,model,
52,❓,Other,[xRFM (default)](https://arxiv.org/abs/2508.10053),1167.0,+96/-161,0.065,46.9,40.6,28.858,10.84,2.189,✔️,0.0,False,GPU,model,
53,🧠🔁,Neural Network,[TorchMLP (default)](https://arxiv.org/abs/2003.06505),1103.0,+65/-128,0.0,50.97,37.92,31.19,14.75,0.337,✔️,0.0,False,CPU,model,
54,📏,Baseline,[KNN (tuned + ensembled)](https://scikit-learn.org/stable/modules/neighbors.html),1081.0,+215/-318,0.07,52.27,24.59,39.008,173.46,1.637,✔️,0.0,False,CPU,model,
55,📏,Baseline,[Linear (tuned + ensembled)](https://scikit-learn.org/stable/modules/linear_model.html),1045.0,+111/-221,0.0,54.3,50.65,40.81,905.41,0.875,✔️,0.0,False,CPU,model,
56,🧠⚡,Foundation Model,[OrionMSP (default)](https://arxiv.org/abs/2511.02818),1043.0,+75/-147,0.0,54.4,50.82,34.513,22.95,3.32,➖,0.0,False,GPU,model,
57,🧠⚡,Foundation Model,[iLTM (default)](https://arxiv.org/abs/2511.15941),1043.0,+99/-150,0.0,54.45,53.22,30.908,581.49,277.193,✔️,0.0,False,GPU,model,
58,🧠⚡,Foundation Model,[TabSTAR (tuned + ensembled)](https://arxiv.org/abs/2505.18125),1040.0,+146/-188,0.0,54.6,48.17,32.754,42561.15,35.622,✔️,0.0,False,GPU,model,
59,🧠⚡,Foundation Model,[TabSTAR (tuned)](https://arxiv.org/abs/2505.18125),1031.0,+133/-181,0.0,55.05,50.68,32.888,42561.15,9.171,✔️,0.0,False,GPU,model,
60,📏,Baseline,[Linear (tuned)](https://scikit-learn.org/stable/modules/linear_model.html),1013.0,+105/-238,0.0,56.04,52.34,41.312,905.41,0.175,✔️,0.0,False,CPU,model,
61,🌳,Tree-based,[RandomForest (default)](https://link.springer.com/article/10.1023/A:1010933404324),1000.0,+122/-224,0.0,56.7,52.16,39.74,0.85,0.148,✔️,0.0,False,CPU,model,
62,🌳,Tree-based,[ExtraTrees (default)](https://link.springer.com/article/10.1007/s10994-006-6226-1),993.0,+128/-218,0.0,57.07,54.13,37.614,5.99,1.009,✔️,0.0,False,CPU,model,
63,🧠🔁,Neural Network,[FastaiMLP (default)](https://arxiv.org/abs/2003.06505),990.0,+161/-189,0.008,57.18,53.76,34.447,8.97,0.742,✔️,0.0,False,CPU,model,
64,🌳,Tree-based,[PerpetualBooster (tuned + ensembled)](https://perpetual-ml.com/),932.0,+91/-216,0.0,59.92,51.74,52.329,1838.94,13.381,✔️,0.0,False,CPU,model,
65,🧠⚡,Foundation Model,[TabFlex (default)](https://arxiv.org/abs/2506.05584),917.0,+48/-108,0.0,60.55,60.1,39.196,5.83,1.167,➖,0.0,False,GPU,model,
66,📏,Baseline,[KNN (tuned)](https://scikit-learn.org/stable/modules/neighbors.html),910.0,+265/-392,0.057,60.87,43.86,48.289,173.46,0.147,✔️,0.0,False,CPU,model,
67,🌳,Tree-based,[PerpetualBooster (tuned)](https://perpetual-ml.com/),884.0,+96/-241,0.0,61.89,36.76,53.886,1838.94,5.572,✔️,0.0,False,CPU,model,
68,🌳,Tree-based,[PerpetualBooster (default)](https://perpetual-ml.com/),872.0,+110/-274,0.0,62.33,30.76,57.764,295.36,0.573,✔️,0.0,False,CPU,model,
69,🧠⚡,Foundation Model,[TabSTAR (default)](https://arxiv.org/abs/2505.18125),867.0,+131/-235,0.0,62.52,60.49,41.53,801.38,8.877,✔️,0.0,False,GPU,model,
70,📏,Baseline,[Linear (default)](https://scikit-learn.org/stable/modules/linear_model.html),800.0,+92/-262,0.0,64.77,64.03,47.882,4.72,0.188,✔️,0.0,False,CPU,model,
71,📏,Baseline,[KNN (default)](https://scikit-learn.org/stable/modules/neighbors.html),418.0,+50/-262,0.0,71.09,71.06,69.941,0.57,0.067,✔️,0.0,False,CPU,model,
